Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
1,哈佛大学Harvard University,USA,1,100.0,100.0,100.0,100.0,100.0,79.5,100.0,免费评估
2,斯坦福大学Stanford University,USA,2,44.5,88.5,87.3,74.4,73.7,56.8,76.5,免费评估
3,剑桥大学University of Cambridge,UK,1,81.4,95.4,54.6,57.3,69.8,59.1,70.9,免费评估
4,麻省理工学院Massachusetts Institute of Technology,USA,3,68.7,82.3,56.7,72.4,63.5,70.8,70.4,免费评估
5,"加州大学伯克利分校University of California,Berkeley",USA,4,64.4,78.4,63.6,68.1,66.7,58.7,69.1,免费评估
6,普林斯顿大学Princeton University,USA,5,54.4,97.9,47.6,46.6,43.3,73.5,61.1,免费评估
7,牛津大学University of Oxford,UK,2,50.8,54.2,62.7,52.5,75.8,47.2,60.1,免费评估
8,哥伦比亚大学Columbia University,USA,6,62.8,65.1,50.0,53.8,70.3,34.3,58.8,免费评估
9,加利福尼亚理工学院California Institute of Technology,USA,7,50.5,65.8,39.3,56.0,44.0,100.0,57.3,免费评估
10,芝加哥大学The University of Chicago,USA,8,59.2,85.1,36.2,41.1,50.3,43.1,53.9,免费评估
11,耶鲁大学Yale University,USA,9,47.1,49.7,48.8,57.1,61.0,37.2,52.8,免费评估
12,"加州大学洛杉矶分校University of California,Los Angeles",USA,10,29.2,46.4,63.6,44.9,70.9,33.6,52.5,免费评估
13,"西雅图华盛顿大学University of Washington,Seattle Campus",USA,11,20.9,37.4,56.7,51.2,74.3,32.7,50.3,免费评估
14,康奈尔大学Cornell University,USA,12,43.1,49.1,43.6,46.1,61.1,42.6,49.6,免费评估
15,"加利福尼亚大学圣地亚哥分校University of California,San Diego",USA,13,19.0,35.1,58.8,56.4,63.7,38.3,49.5,免费评估
16,伦敦大学学院University College London,UK,3,27.8,35.8,47.6,39.6,77.0,33.5,47.1,免费评估
17,宾夕法尼亚大学University of Pennsylvania,USA,14,31.3,33.4,50.0,38.7,68.0,39.5,46.0,免费评估
18,约翰霍普金斯大学Johns Hopkins University,USA,15,37.3,33.2,40.8,42.8,73.3,30.0,45.7,免费评估
19,Swiss Federal Institute of Technology Zurich,Switzerland,1,29.2,35.1,36.2,49.5,56.9,47.4,44.1,免费评估
20,圣路易斯华盛顿大学Washington University in St Louis,USA,16,22.7,24.6,60.7,43.3,52.0,40.0,43.3,免费评估
21,旧金山大学University of San Francisco,USA,17,0.0,39.4,39.3,50.8,61.4,33.3,42.4,免费评估
22,西北大学Northwestern University,USA,18,15.2,27.6,59.8,34.1,59.3,34.3,41.9,免费评估
23,多伦多大学University of Toronto,Canada,1,19.7,17.0,40.8,39.6,80.6,31.7,41.6,免费评估
24,The University of Tokyo,Japan,1,38.3,25.0,28.9,45.2,70.3,29.5,41.5,免费评估
24,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",USA,19,34.1,0.0,54.6,40.7,77.9,26.0,41.5,免费评估
26,杜克大学Duke University,USA,20,15.2,19.0,61.7,37.8,61.5,26.5,41.0,免费评估
27,帝国理工学院Imperial College London,UK,4,14.4,35.4,42.3,30.9,64.8,39.5,40.9,免费评估
28,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,USA,21,32.5,34.3,34.5,33.4,63.5,24.5,39.7,免费评估
