Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,226,,3.33,87.3,1000,免费评估
2,牛津大学University of Oxford,217,,3.34,85.0,997,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,200,3.71,3.35,87.1,935,免费评估
4,帝国理工学院Imperial College London,219,4.07,3.36,90.5,930,免费评估
5,圣安德鲁斯大学University of St Andrews,206,4.32,3.13,81.6,928,免费评估
6,杜伦大学Durham University,197,4.13,3.14,84.0,895,免费评估
7,拉夫堡大学Loughborough University,162,4.24,2.95,82.2,883,免费评估
8,兰卡斯特大学Lancaster University,157,4.2,3.15,85.0,881,免费评估
9,华威大学The University of Warwick,181,4.13,3.22,80.6,874,免费评估
10,伦敦大学学院University College London,191,,3.22,82.0,870,免费评估
11,巴斯大学University of Bath,186,4.11,3.17,85.2,836,免费评估
12,埃克塞特大学University of Exeter,176,4.11,3.08,84.1,828,免费评估
13,利兹大学University of Leeds,166,4.12,3.13,81.1,820,免费评估
14,东英吉利大学University of East Anglia,154,4.09,3.11,77.4,816,免费评估
15,布里斯托大学University of Bristol,184,,3.18,80.2,800,免费评估
15,伯明翰大学University of Birmingham,164,4.06,3.07,85.9,800,免费评估
17,诺丁汉大学University of Nottingham,165,4.09,3.09,83.3,796,免费评估
18,曼彻斯特大学The University of Manchester,169,,3.16,82.4,792,免费评估
19,萨里大学University of Surrey,166,4.12,2.98,76.4,779,免费评估
20,南安普顿大学University of Southampton,160,4.0,3.15,80.1,776,免费评估
21,约克大学The University of York,159,4.18,3.17,81.1,770,免费评估
22,纽卡斯尔大学Newcastle University,161,4.09,3.09,81.5,763,免费评估
23,爱丁堡大学The University of Edinburgh,180,3.93,3.18,74.9,762,免费评估
24,格拉斯哥大学University of Glasgow,200,4.08,3.1,83.3,757,免费评估
25,萨塞克斯大学University of Sussex,146,4.05,3.01,80.2,746,免费评估
26,埃塞克斯大学University of Essex,116,4.08,3.05,79.3,742,免费评估
26,伦敦国王学院King's College London,172,,3.23,84.1,742,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,143,4.05,3.09,71.8,740,免费评估
28,阿伯丁大学University of Aberdeen,185,4.08,2.97,77.0,740,免费评估
30,谢菲尔德大学The University of Sheffield,156,,3.17,82.5,735,免费评估
31,邓迪大学University of Dundee,177,4.15,3.03,85.3,730,免费评估
32,雷丁大学University of Reading,138,3.98,3.03,75.2,724,免费评估
33,卡迪夫大学Cardiff University,154,3.99,3.27,79.2,723,免费评估
34,莱斯特大学University of Leicester,136,4.05,2.93,75.6,722,免费评估
35,赫瑞瓦特大学Heriot Watt University,163,3.98,3.06,76.6,713,免费评估
36,英国女王大学Queen's University Belfast,152,4.05,2.99,80.0,705,免费评估
36,利物浦大学The University of Liverpool,147,,3.06,78.5,705,免费评估
38,伦敦大学玛丽女王学院Queen Mary University of London,148,3.97,3.18,73.7,696,免费评估
39,斯旺西大学Swansea University,129,4.09,3.09,82.2,690,免费评估
40,思克莱德大学University of Strathclyde,201,3.99,3.04,80.0,687,免费评估
40,斯特林大学University of Stirling,158,3.99,2.96,73.9,687,免费评估
42,诺丁汉特伦特大学Nottingham Trent University,143,4.16,2.59,76.4,682,免费评估
43,Lincoln,129,4.15,2.54,76.0,676,免费评估
44,肯特大学University of Kent,137,4.04,2.95,82.4,675,免费评估
45,阿斯顿大学Aston University,136,4.14,3.05,79.4,670,免费评估
46,伦敦大学亚非学院SOAS University of London,148,,2.82,69.3,663,免费评估
47,考文垂大学Coventry University,126,4.15,2.67,81.1,659,免费评估
48,哈珀亚当斯大学Harper Adams University,128,4.18,2.66,68.9,652,免费评估
49,伯恩茅斯艺术大学Arts University Bournemouth,161,4.09,2.3,79.2,647,免费评估
50,布鲁内尔大学Brunel University,131,3.99,2.67,72.8,646,免费评估
51,朴茨茅斯大学University of Portsmouth,120,4.1,2.75,80.0,642,免费评估
52,"圣乔治医学院St George's, University of London",164,3.89,2.99,93.6,638,免费评估
