Ranking,University Name,Guardian score,Satisfied with teaching,Satisfied with feedback,Spend per student,Student:taff ratio,Career prospects,Value added score,Entry Tariff,Free
1,牛津大学University of Oxford,100.0,92.0,68.0,10.0,11.8,79,6.7,522.0,免费评估
2,剑桥大学University of Cambridge,97.0,92.0,76.0,9.46,12.1,83,4.9,535.0,免费评估
3,圣安德鲁斯大学University of St Andrews,87.0,94.0,75.0,6.55,12.8,74,7.2,466.0,免费评估
4,华大,84.0,86.0,60.0,8.76,15.2,76,6.0,461.0,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,82.4,73.0,63.0,7.62,14.5,86,5.4,481.0,免费评估
6,伦大学,81.5,85.0,60.0,8.34,11.2,79,7.0,451.0,免费评估
7,爱堡学,78.3,85.0,45.0,9.26,15.4,74,6.2,442.0,免费评估
8,帝国理工学院Imperial College London,77.9,81.0,50.0,8.82,12.2,84,4.4,487.0,免费评估
9,巴大,75.6,86.0,57.0,5.54,16.0,80,6.0,438.0,免费评估
10,拉堡学,74.6,90.0,72.0,5.72,18.7,73,5.4,368.0,免费评估
11,约学,74.4,89.0,64.0,7.48,14.2,65,4.7,431.0,免费评估
12,伦大亚学,74.2,90.0,64.0,6.99,12.8,65,6.5,366.0,免费评估
13,艾斯大,73.0,92.0,73.0,4.55,17.6,68,6.5,390.0,免费评估
14,杜大,72.7,87.0,64.0,4.54,16.5,75,5.5,456.0,免费评估
15,莱特学,72.0,90.0,71.0,6.18,18.2,73,6.5,359.0,免费评估
16,兰斯大,71.4,87.0,63.0,6.88,15.0,61,5.2,386.0,免费评估
17,格斯大,70.7,89.0,60.0,5.65,15.0,73,5.8,407.0,免费评估
18,萨克大,70.1,88.0,61.0,4.65,17.0,68,7.5,376.0,免费评估
19,阿顿学,69.9,88.0,66.0,5.27,19.8,75,5.1,364.0,免费评估
19,邓大,69.9,85.0,65.0,5.77,15.8,74,6.6,364.0,免费评估
21,伦城大,69.8,80.0,60.0,6.58,18.1,77,6.6,318.0,免费评估
22,赫特学,69.4,81.0,59.0,6.49,17.5,75,6.4,346.0,免费评估
22,南普大,69.4,86.0,59.0,5.94,15.4,73,5.6,405.0,免费评估
24,伯翰学,69.1,87.0,63.0,7.62,16.4,69,5.0,402.0,免费评估
24,伦大国学,69.1,85.0,55.0,7.12,13.1,80,5.7,412.0,免费评估
26,诺汉学,68.7,86.0,54.0,6.58,15.1,74,5.0,407.0,免费评估
27,萨大,68.5,80.0,56.0,6.22,18.4,77,6.0,352.0,免费评估
28,利物浦大学The University of Liverpool,68.4,85.0,60.0,6.94,15.8,69,5.4,391.0,免费评估
29,布斯大,68.1,86.0,50.0,5.77,14.3,79,5.6,444.0,免费评估
30,谢尔大,67.9,88.0,62.0,4.95,16.4,76,5.8,404.0,免费评估
31,伦敦大学皇家霍洛威学院Royal Holloway University of London,67.7,85.0,62.0,5.14,15.7,66,5.3,362.0,免费评估
