Ranking,University Name,Guardian score,Satisfied overall,Satisfied with teaching,Satisfied with feedback,Spend per student,Student:taff ratio,Career prospects,Value added score,Entry Tariff,Free
1,牛津大学University of Oxford,100.0,,,,10.0,10.8,80,6.9,531,免费评估
2,剑桥大学University of Cambridge,94.5,92.0,91.0,72.0,9.59,11.7,78,5.8,546,免费评估
3,华威大学The University of Warwick,81.4,88.0,87.0,61.0,8.39,13.3,75,6.2,463,免费评估
4,圣安德鲁斯大学University of St Andrews,81.3,92.0,93.0,70.0,6.02,13.1,71,6.9,454,免费评估
5,伦敦大学学院University College London,79.5,87.0,86.0,62.0,8.53,8.9,77,7.0,455,免费评估
6,兰卡斯特大学Lancaster University,76.8,89.0,88.0,67.0,6.91,13.5,75,4.6,392,免费评估
7,帝国理工学院Imperial College London,76.0,86.0,81.0,52.0,8.92,10.5,86,4.9,500,免费评估
8,伦敦政治经济学院The London School of Economics and Political Science,75.3,77.0,76.0,61.0,7.54,14.0,76,5.7,493,免费评估
9,拉夫堡大学Loughborough University,73.5,89.0,89.0,72.0,5.38,18.5,69,5.7,369,免费评估
9,约克大学The University of York,73.5,87.0,91.0,67.0,6.83,13.8,68,4.8,421,免费评估
11,伦敦大学亚非学院SOAS University of London,73.1,86.0,87.0,65.0,6.45,12.7,68,6.4,381,免费评估
12,莱斯特大学University of Leicester,71.9,92.0,90.0,71.0,5.77,14.8,70,5.9,374,免费评估
13,巴斯大学University of Bath,71.4,87.0,86.0,59.0,5.2,15.9,79,5.8,450,免费评估
14,埃克塞特大学University of Exeter,71.1,89.0,90.0,71.0,4.85,19.1,62,6.7,406,免费评估
15,爱丁堡大学The University of Edinburgh,70.4,83.0,85.0,46.0,9.28,13.4,73,6.2,434,免费评估
15,萨塞克斯大学University of Sussex,70.4,87.0,89.0,65.0,4.97,15.4,70,6.9,369,免费评估
17,杜伦大学Durham University,70.1,88.0,87.0,64.0,4.64,15.9,74,5.7,466,免费评估
18,南安普顿大学University of Southampton,70.0,87.0,88.0,60.0,6.4,13.5,73,6.4,406,免费评估
19,东英吉利大学University of East Anglia,67.9,90.0,92.0,69.0,6.43,15.5,67,6.2,363,免费评估
20,萨里大学University of Surrey,67.7,85.0,84.0,63.0,6.73,18.0,76,6.4,371,免费评估
21,诺丁汉大学University of Nottingham,67.3,87.0,86.0,60.0,6.58,13.8,72,5.4,411,免费评估
22,邓迪大学University of Dundee,67.0,87.0,88.0,67.0,5.9,17.4,66,6.2,339,免费评估
23,格拉斯哥大学University of Glasgow,66.5,90.0,90.0,64.0,5.79,14.2,69,5.4,394,免费评估
24,伦敦城市大学City University London,66.3,77.0,78.0,58.0,7.13,18.2,72,6.5,338,免费评估
25,伦敦国王学院King's College London,65.9,83.0,85.0,57.0,7.1,11.3,77,5.9,420,免费评估
25,斯凯莱德大学,65.9,85.0,84.0,61.0,6.12,17.6,71,5.7,384,免费评估
27,肯特大学University of Kent,65.7,86.0,86.0,68.0,5.77,14.8,65,4.7,319,免费评估
27,罗伯特高登大学The Robert Gordon University,65.7,84.0,84.0,66.0,4.35,19.2,82,6.5,310,免费评估
27,斯特林大学University of Stirling,65.7,88.0,88.0,69.0,5.19,17.0,65,7.1,310,免费评估
30,伯明翰大学University of Birmingham,65.4,85.0,86.0,63.0,7.39,15.6,66,5.2,403,免费评估
31,谢菲尔德大学The University of Sheffield,65.1,88.0,88.0,62.0,4.83,14.3,69,5.7,409,免费评估
32,赫瑞瓦特大学Heriot Watt University,64.8,81.0,78.0,52.0,7.06,17.0,74,6.3,336,免费评估
33,阿伯丁大学University of Aberdeen,64.7,89.0,89.0,66.0,5.01,15.9,76,5.9,353,免费评估
33,布里斯托大学University of Bristol,64.7,84.0,89.0,55.0,6.12,13.8,76,5.2,447,免费评估
35,利兹大学University of Leeds,64.6,84.0,86.0,61.0,6.83,14.7,68,5.4,396,免费评估
36,阿斯顿大学Aston University,63.7,84.0,82.0,59.0,5.36,18.1,73,6.3,363,免费评估
37,纽卡斯尔大学Newcastle University,63.6,87.0,87.0,62.0,5.39,15.1,70,5.1,399,免费评估
38,伯恩茅斯大学Bournemouth University,63.4,79.0,81.0,66.0,6.7,23.1,68,6.8,296,免费评估
39,利物浦大学The University of Liverpool,63.2,84.0,84.0,57.0,6.96,12.7,67,5.6,401,免费评估
40,法尔茅茨大学,62.9,80.0,82.0,74.0,5.94,24.0,50,6.0,295,免费评估
41,伦敦大学皇家霍洛威学院Royal Holloway University of London,62.7,85.0,85.0,63.0,4.71,14.9,58,5.3,365,免费评估
42,奇切斯特大学University of Chichester,61.9,88.0,89.0,73.0,3.89,15.9,56,3.9,268,免费评估
43,埃塞克斯大学University of Essex,61.1,85.0,84.0,65.0,6.44,13.9,56,4.1,309,免费评估
44,基尔大学Keele University,60.7,87.0,87.0,66.0,4.43,13.3,64,6.3,299,免费评估
45,雷丁大学University of Reading,60.5,87.0,86.0,61.0,4.8,16.6,64,5.5,349,免费评估
46,卡迪夫大学Cardiff University,60.4,85.0,86.0,54.0,6.14,14.2,71,5.1,390,免费评估
46,伦敦大学玛丽女王学院Queen Mary University of London,60.4,85.0,83.0,61.0,6.82,13.2,72,4.7,354,免费评估
48,牛津布鲁克斯大学Oxford Brookes University,60.2,85.0,84.0,66.0,5.15,17.7,63,7.1,302,免费评估
49,亚伯大学Aberystwyth University,60.1,90.0,89.0,71.0,4.41,16.0,57,4.4,292,免费评估
49,普利茅斯大学University of Plymouth,60.1,81.0,84.0,64.0,7.06,15.8,54,6.5,274,免费评估
51,曼彻斯特大学The University of Manchester,60.0,77.0,81.0,50.0,7.74,14.9,67,5.5,415,免费评估
52,桑德兰大学University of Sunderland,58.9,83.0,84.0,71.0,5.6,16.7,53,6.3,229,免费评估
53,诺丁汉特伦特大学Nottingham Trent University,58.5,81.0,81.0,65.0,4.27,18.2,68,4.1,273,免费评估
54,哈德斯菲尔德大学University of Huddersfield,58.3,79.0,82.0,71.0,4.34,15.9,57,6.0,266,免费评估
55,龙比亚大学Napier University,58.2,81.0,81.0,64.0,3.67,19.0,69,8.2,262,免费评估
56,英国女王大学Queen's University Belfast,57.8,83.0,85.0,56.0,5.03,15.3,71,5.9,366,免费评估
57,威尔士大学卡迪夫学院,57.7,79.0,80.0,70.0,4.11,20.1,56,6.2,259,免费评估
58,伦敦大学金史密斯学院Goldsmiths University of London,57.6,80.0,85.0,64.0,3.85,16.8,53,5.3,315,免费评估
59,赫尔大学The University of Hull,57.0,87.0,87.0,70.0,4.43,19.8,66,4.7,286,免费评估
60,赫特福德大学University of Hertfordshire,56.8,81.0,82.0,62.0,5.6,16.2,57,7.0,240,免费评估
60,兰彼得大学University of Wales Lampeter,56.8,87.0,88.0,73.0,3.61,18.6,46,4.0,257,免费评估
62,西英格兰大学University of the West of England,56.6,83.0,83.0,65.0,3.97,19.6,57,7.8,270,免费评估
63,玛格丽特女王大学Queen Margaret University,56.4,,,,2.66,18.3,63,7.5,294,免费评估
64,格罗斯特大学University of Gloucestershire,56.0,80.0,82.0,65.0,5.84,19.7,55,7.7,247,免费评估
64,班戈大学Bangor University,55.4,85.0,86.0,65.0,5.97,17.3,51,4.6,283,免费评估
66,伯明翰城市大学Birmingham City University,55.0,77.0,80.0,65.0,5.85,19.0,64,5.9,253,免费评估
67,诺桑比亚大学Northumbria University,54.7,80.0,81.0,65.0,4.27,21.9,68,6.3,298,免费评估
67,巴斯斯巴大学Bath Spa University,54.7,83.0,88.0,74.0,3.09,26.5,51,7.5,279,免费评估
69,中央兰开夏大学University of Central Lancashire,54.6,82.0,82.0,70.0,6.49,17.6,57,3.4,262,免费评估
69,斯塔福德大学,54.6,78.0,80.0,65.0,6.3,19.0,63,5.2,239,免费评估
71,谢菲尔德哈莱姆大学Sheffield Hallam University,54.3,76.0,80.0,59.0,4.6,19.0,59,7.8,270,免费评估
72,林肯大学University of Lincoln,54.2,80.0,83.0,70.0,2.93,20.3,59,5.0,269,免费评估
73,德蒙福特大学De Montfort University,54.1,83.0,82.0,67.0,4.16,16.5,63,4.4,243,免费评估
74,布拉德福德大学University of Bradford,54.0,83.0,80.0,63.0,5.65,16.0,67,5.4,270,免费评估
75,布鲁内尔大学Brunel University,53.9,76.0,77.0,60.0,4.07,19.8,62,7.1,315,免费评估
76,格拉摩根大学University of Glamorgan,53.8,79.0,79.0,66.0,4.63,18.1,50,5.8,268,免费评估
77,泰晤士河谷大学Thames Valley University,53.7,72.0,76.0,64.0,6.51,17.3,57,7.2,197,免费评估
78,布莱顿大学University of Brighton,53.6,80.0,83.0,64.0,4.38,20.3,59,6.0,279,免费评估
79,切斯特大学University of Chester,52.6,82.0,85.0,68.0,3.39,18.4,62,4.6,265,免费评估
79,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,52.6,83.0,81.0,63.0,3.62,21.5,58,5.9,325,免费评估
79,阿尔斯特大学University of Ulster,52.6,85.0,82.0,63.0,4.16,16.3,56,5.7,268,免费评估
79,蒂赛德大学Teesside University,52.6,84.0,83.0,73.0,4.6,20.1,54,5.5,255,免费评估
81,德比大学University of Derby,49.5,79.0,84.0,68.0,5.03,19.8,54,4.2,238,免费评估
83,哥比亚大学University of Cumbria,52.0,77.0,80.0,65.0,6.02,16.2,63,3.6,268,免费评估
84,安格里亚鲁斯金大学,51.6,70.0,77.0,64.0,8.13,20.0,54,5.6,252,免费评估
85,朴茨茅斯大学University of Portsmouth,51.4,85.0,86.0,67.0,4.87,20.6,51,4.1,272,免费评估
86,圣玛丽大学,51.3,84.0,86.0,67.0,2.56,21.6,64,5.1,243,免费评估
87,考文垂大学Coventry University,51.2,78.0,79.0,64.0,3.44,18.7,61,7.7,272,免费评估
88,艾芝西尔大学Edge Hill University,50.8,82.0,86.0,71.0,3.73,18.0,60,3.7,258,免费评估
89,纽曼大学学院,50.2,81.0,88.0,69.0,2.89,17.7,74,5.3,235,免费评估
90,约克圣约翰大学York St John University,49.9,80.0,83.0,69.0,5.29,20.2,56,3.8,278,免费评估
92,伍斯特大学University of Worcester,49.2,81.0,82.0,66.0,4.6,20.6,58,4.3,257,免费评估
93,斯旺西大学Swansea University,48.6,87.0,85.0,64.0,3.96,15.4,55,3.8,296,免费评估
94,北安普顿大学The University of Northampton,48.4,83.0,84.0,69.0,4.08,21.3,50,6.8,239,免费评估
95,格林多大学Glyndwr University,48.2,77.0,82.0,73.0,4.03,21.1,59,4.3,219,免费评估
96,温切斯特大学University of Winchester,47.7,83.0,86.0,65.0,2.36,17.8,48,4.9,265,免费评估
97,三学,47.6,82.0,85.0,62.0,2.96,16.2,65,1.2,255,免费评估
98,金斯顿大学Kingston University,47.4,80.0,81.0,61.0,4.47,20.2,54,7.1,231,免费评估
99,纽波特大学University of Wales Newport,46.7,75.0,79.0,76.0,3.78,23.0,56,5.9,248,免费评估
100,索尔福德大学University of Salford,46.3,78.0,80.0,62.0,4.11,18.7,56,4.0,263,免费评估
101,利兹都会大学Leeds Metropolitan University,46.0,69.0,73.0,56.0,4.9,22.8,61,4.8,263,免费评估
102,格林威治大学The University of Greenwich,45.8,83.0,84.0,70.0,3.87,25.6,55,4.7,234,免费评估
103,贝德福德大学University of Bedfordshire,45.7,79.0,82.0,68.0,4.36,19.3,57,5.3,199,免费评估
104,曼彻斯特城市大学Manchester Metropolitan University,44.6,76.0,78.0,63.0,3.26,20.0,53,5.0,267,免费评估
105,威斯敏斯特大学University of Westminster,44.4,71.0,73.0,57.0,3.85,16.4,48,6.6,263,免费评估
106,罗汉普顿大学Roehampton University,44.3,80.0,81.0,61.0,3.52,19.2,52,4.8,242,免费评估
107,坎特伯雷大学Canterbury Christ Church University,43.0,84.0,87.0,65.0,3.18,21.0,62,3.5,245,免费评估
108,圣马克与圣约翰学院,41.9,81.0,86.0,70.0,2.32,24.4,60,4.4,226,免费评估
109,利物浦约翰摩尔斯大学Liverpool John Moores University,40.7,79.0,79.0,64.0,3.47,20.3,50,4.6,243,免费评估
110,阿伯泰邓迪大学University of Abertay Dundee,40.6,,,,2.73,21.4,52,5.9,251,免费评估
110,利兹三一学院,40.6,80.0,84.0,68.0,2.35,23.0,60,2.3,239,免费评估
112,米德塞斯大学Middlesex University,38.1,69.0,73.0,58.0,6.87,23.4,50,4.4,182,免费评估
113,新白金汉大学Buckinghamshire New University,37.7,72.0,77.0,64.0,5.46,20.6,42,3.0,208,免费评估
114,伦敦南岸大学London South Bank University,37.3,80.0,80.0,63.0,3.61,22.2,54,6.4,191,免费评估
115,南安普顿索伦特大学Southampton Solent University,35.7,72.0,76.0,64.0,3.4,22.2,46,2.4,237,免费评估
116,波尔顿大学University of Bolton,35.6,77.0,79.0,63.0,2.53,19.6,50,3.9,202,免费评估
117,东伦敦大学University of East London,35.0,71.0,76.0,60.0,4.12,21.8,46,4.3,180,免费评估
