Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,88.0,91.3,73.6,11.0,9.7,600.1,5.7,89.6,免费评估
2,牛津大学University of Oxford,95.4,91.6,92.9,71.5,10.5,10,576.9,6.8,87.6,免费评估
3,圣安德鲁斯大学University of St Andrews,90.8,89.6,91.1,74.5,11.6,6.9,524.1,7.0,83.2,免费评估
4,萨里大学University of Surrey,85.0,92.3,92.6,79.2,13.9,6.2,424.2,6.4,78.7,免费评估
4,拉夫堡大学Loughborough University,85.0,89.4,89.1,76.2,14.6,6.8,411.3,6.4,83.2,免费评估
6,杜伦大学Durham University,84.9,89.5,90.0,71.7,14.7,5.5,527.5,7.1,83.4,免费评估
7,帝国理工学院Imperial College London,84.4,85.2,87.4,66.7,11.1,8.4,566.9,6.1,90.1,免费评估
8,兰卡斯特大学Lancaster University,82.6,89.4,89.8,72.1,13.4,7.7,421.4,4.5,83.2,免费评估
9,华威大学The University of Warwick,82.0,86.4,87.7,72.6,12.5,8.6,489.7,5.8,78.5,免费评估
10,巴斯大学University of Bath,79.9,90.2,90.2,74.2,15.5,6,481.1,5.9,84.9,免费评估
11,埃克塞特大学University of Exeter,78.2,89.1,89.5,74.1,15.7,6,471.1,6.3,79.9,免费评估
12,伦敦政治经济学院The London School of Economics and Political Science,78.1,80.3,81.2,67.2,11.6,7.9,540.7,5.5,79.0,免费评估
13,伯明翰大学University of Birmingham,76.6,87.3,90.4,70.0,14.0,7.3,429.0,6.7,86.5,免费评估
14,伦敦大学学院University College London,76.3,81.8,85.2,63.0,10.2,8.3,506.2,6.6,82.3,免费评估
15,考文垂大学Coventry University,75.3,90.3,91.6,82.2,14.6,4.7,316.9,6.9,74.5,免费评估
16,利兹大学University of Leeds,74.9,90.8,91.8,75.5,13.5,5.7,436.5,6.7,78.3,免费评估
16,南安普顿大学University of Southampton,74.9,89.4,89.8,69.9,12.0,6.7,417.0,6.5,78.0,免费评估
18,伦敦城市大学City University London,73.8,88.2,88.9,76.6,16.6,7.8,374.4,5.6,78.5,免费评估
19,约克大学The University of York,73.7,87.0,90.9,70.4,14.5,7.1,431.0,4.8,76.2,免费评估
20,萨塞克斯大学University of Sussex,73.6,86.4,87.7,67.9,15.3,7.6,375.9,5.3,83.7,免费评估
21,法尔茅斯大学Falmouth University,72.8,85.6,89.5,78.8,18.9,5.9,318.0,6.7,74.2,免费评估
22,爱丁堡大学The University of Edinburgh,72.7,83.8,86.5,61.2,12.0,9,487.4,6.0,78.4,免费评估
23,肯特大学University of Kent,72.5,87.5,87.3,72.1,12.7,5.1,360.9,6.0,77.2,免费评估
24,东英吉利大学University of East Anglia,71.5,92.0,91.8,70.1,13.2,3.9,422.7,6.7,71.0,免费评估
25,诺丁汉大学University of Nottingham,71.0,87.5,89.0,70.7,13.2,6.8,425.0,6.0,81.5,免费评估
26,格拉斯哥大学University of Glasgow,70.8,89.3,91.6,67.3,14.5,6.4,478.4,5.1,78.5,免费评估
27,赫瑞瓦特大学Heriot Watt University,70.4,89.4,87.7,69.9,15.6,7.3,406.8,6.1,78.2,免费评估
28,邓迪大学University of Dundee,69.9,90.2,91.7,72.5,12.6,5.6,412.2,5.8,79.7,免费评估
29,阿斯顿大学Aston University,69.4,87.9,87.0,76.1,19.0,6.7,365.0,7.5,77.5,免费评估
30,伦敦大学亚非学院SOAS University of London,69.3,88.8,89.5,67.1,11.1,6.9,410.6,6.1,68.6,免费评估
31,曼彻斯特大学The University of Manchester,69.2,86.3,87.8,70.1,13.4,8,439.3,4.5,78.3,免费评估
32,雷丁大学University of Reading,69.1,88.6,88.6,70.6,14.7,8.1,371.7,6.3,70.0,免费评估
