Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
1,麻省理工学院Massachusetts Institute of Technology,United States,100,100,100,100,96.6,99.9,100.0,免费评估
2,斯坦福大学Stanford University,United States,100,100,100,99.7,74,99.7,98.7,免费评估
3,哈佛大学Harvard University,United States,100,100,98.5,100,70.4,100,98.3,免费评估
4,剑桥大学University of Cambridge,United Kingdom,100,100,100,97.6,97.8,86.5,97.2,免费评估
5,加利福尼亚理工学院California Institute of Technology,United States,99.4,80.7,100,91.2,87.7,100,96.9,免费评估
6,牛津大学University of Oxford,United Kingdom,100,100,100,98.7,98.2,83.6,96.8,免费评估
7,伦敦大学学院University College London,United Kingdom,99.8,99.3,98.7,99.1,100,79.1,95.6,免费评估
8,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,99.6,98.9,73.3,100,98.8,98.3,94.2,免费评估
9,帝国理工学院Imperial College London,United Kingdom,99.6,100,100,100,100,69.8,94.1,免费评估
10,芝加哥大学The University of Chicago,United States,99.9,94.1,95.4,66.5,70.5,88.7,93.0,免费评估
11,普林斯顿大学Princeton University,United States,100,97.9,81.8,65.3,68.7,100,92.8,免费评估
12,National University of Singapore (NUS),Singapore,100,100,88.1,100,90.8,70.9,91.5,免费评估
13,"Nanyang Technological University, Singapore (NTU)",Singapore,91.6,94.1,94,100,93.9,83.6,91.4,免费评估
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,82.1,93.5,93.9,100,100,99.1,91.1,免费评估
15,耶鲁大学Yale University,United States,100,99.9,100,91.1,65,65.2,90.9,免费评估
16,康奈尔大学Cornell University,United States,99.6,94,68.9,91.6,66,95.9,90.1,免费评估
17,约翰霍普金斯大学Johns Hopkins University,United States,94.8,64.7,100,98.1,69.7,81.8,89.3,免费评估
18,宾夕法尼亚大学University of Pennsylvania,United States,97.4,96.5,100,51.1,64.2,72.9,89.0,免费评估
19,爱丁堡大学The University of Edinburgh,United Kingdom,99.2,95,87.6,95.3,99.1,61.7,88.9,免费评估
20,哥伦比亚大学Columbia University,United States,99.9,99.2,100,37.8,93.7,60.5,88.6,免费评估
