Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,加利福尼亚理工学院California Institute of Technology,United States of America,92.2,67.0,98.1,99.7,89.1,94.3,免费评估
2,哈佛大学Harvard University,United States of America,92.9,67.6,98.6,98.9,44,93.3,免费评估
3,牛津大学University of Oxford,United Kingdom,88.6,90.7,97.7,95.5,72.9,93.2,免费评估
4,斯坦福大学Stanford University,United States of America,91.5,69.0,96.7,99.1,63.1,92.9,免费评估
5,剑桥大学University of Cambridge,United Kingdom,89.7,87.8,95.6,95.2,51.1,92.0,免费评估
6,麻省理工学院Massachusetts Institute of Technology,United States of America,89.1,84.3,88.2,100.0,95.7,91.9,免费评估
7,普林斯顿大学Princeton University,United States of America,86.6,61.2,94.7,99.6,82.7,90.9,免费评估
8,"University of California, Berkeley",United States of America,84.2,58.5,96.7,99.1,44.8,89.5,免费评估
9,帝国理工学院Imperial College London,United Kingdom,84.6,92.7,88.3,89.4,72.7,87.5,免费评估
9,耶鲁大学Yale University,United States of America,88.5,59.8,90.8,94.0,42,87.5,免费评估
11,芝加哥大学The University of Chicago,United States of America,83.9,65.2,89.9,97.3,36.8,87.1,免费评估
12,"University of California, Los Angeles",United States of America,82.4,49.2,90.5,95.3,-,85.5,免费评估
13,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,78.2,96.6,90.2,83.5,73.2,84.6,免费评估
14,哥伦比亚大学Columbia University,United States of America,83.9,68.3,79.4,95.3,-,84.4,免费评估
15,约翰霍普金斯大学Johns Hopkins University,United States of America,75.6,59.7,84.2,93.6,100,83.0,免费评估
16,宾夕法尼亚大学University of Pennsylvania,United States of America,79.0,43.8,82.0,94.4,43,81.0,免费评估
17,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States of America,77.0,49.8,86.5,88.9,55.7,80.9,免费评估
18,杜克大学Duke University,United States of America,73.5,50.5,75.2,96.6,100,79.9,免费评估
19,康奈尔大学Cornell University,United States of America,71.6,59.0,83.8,91.5,33.7,79.4,免费评估
20,多伦多大学University of Toronto,Canada,74.4,71.2,85.1,83.0,46.1,79.3,免费评估
21,西北大学Northwestern University,United States of America,72.7,36.7,78.9,96.9,77,79.2,免费评估
22,伦敦大学学院University College London,United Kingdom,70.4,90.6,80.4,85.1,46.2,78.7,免费评估
23,University of Tokyo,Japan,81.4,32.4,85.1,74.7,51.2,76.1,免费评估
24,卡内基梅隆大学Carnegie Mellon University,United States of America,61.6,59.3,74.9,92.0,53,74.3,免费评估
25,National University of Singapore,Singapore,72.0,94.9,78.1,66.0,53.4,73.3,免费评估
26,University of Washington,United States of America,64.5,47.9,68.9,95.0,44.7,73.2,免费评估
27,佐治亚理工学院Georgia Institute of Technology,United States of America,62.5,68.9,71.2,85.8,72.3,72.8,免费评估
28,University of Texas at Austin,United States of America,64.3,33.1,72.0,91.5,58.1,72.3,免费评估
29,LMU Munich,Germany,65.1,56.4,69.1,83.0,100,71.9,免费评估
29,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States of America,67.7,43.9,79.0,77.8,51.7,71.9,免费评估
29,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States of America,67.7,33.6,71.3,87.7,53.3,71.9,免费评估
32,英属哥伦比亚大学University of British Columbia,Canada,60.5,84.8,69.0,85.3,40.1,71.8,免费评估
33,墨尔本大学The University of Melbourne,Australia,60.4,81.3,70.9,80.6,61.2,71.2,免费评估
34,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,65.4,87.4,74.2,71.3,40.6,70.9,免费评估
34,école Polytechnique Fédérale de Lausanne,Switzerland,54.7,98.8,56.9,95.0,61.9,70.9,免费评估
36,爱丁堡大学The University of Edinburgh,United Kingdom,58.9,84.3,62.9,88.3,41.2,70.4,免费评估
37,"University of California, Santa Barbara",United States of America,49.4,64.3,61.4,99.2,87.1,70.0,免费评估
38,New York University,United States of America,68.3,41.2,62.4,89.5,30.2,69.9,免费评估
39,麦吉尔大学McGill University,Canada,63.3,79.0,69.9,76.0,38.6,69.6,免费评估
40,伦敦国王学院King's College London,United Kingdom,55.6,87.0,62.3,88.3,39,69.4,免费评估
41,"University of California, San Diego",United States of America,52.0,37.0,66.6,96.4,54.2,68.6,免费评估
42,圣路易斯华盛顿大学Washington University in St Louis,United States of America,57.6,46.5,55.2,97.1,-,67.8,免费评估
43,University of Hong Kong,Hong Kong,62.1,81.9,72.6,65.1,56,67.5,免费评估
44,Karolinska Institute,Sweden,57.1,60.6,68.0,76.8,65.5,66.8,免费评估
45,澳大利亚国立大学The Australian National University,Australia,53.7,91.3,70.9,71.1,38.9,66.5,免费评估
46,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States of America,59.9,33.8,64.7,82.9,-,65.9,免费评估
46,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,United States of America,57.9,35.3,58.6,91.0,40.5,65.9,免费评估
48,Peking University,China,70.0,53.7,61.9,63.7,100,65.2,免费评估
49,Tsinghua University,China,64.1,44.6,68.3,65.0,99.7,65.1,免费评估
50,Seoul National University,South Korea,75.5,30.3,77.1,48.7,86.3,64.8,免费评估
51,Hong Kong University of Science and Technology,Hong Kong,51.8,77.8,66.8,72.9,57.6,64.7,免费评估
52,Korea Advanced Institute of Science and Technology (KAIST),South Korea,63.5,34.9,63.2,71.4,100,64.5,免费评估
52,曼彻斯特大学The University of Manchester,United Kingdom,58.1,82.0,58.7,74.3,39.4,64.5,免费评估
54,布朗大学Brown University,United States of America,55.5,37.0,54.2,92.0,32.7,64.1,免费评估
55,KU Leuven,Belgium,53.0,62.3,63.6,71.8,99.9,63.7,免费评估
55,"University of California, Davis",United States of America,54.4,52.9,59.7,80.4,55.4,63.7,免费评估
57,波士顿大学Boston University,United States of America,56.4,47.8,46.7,94.4,30.3,63.6,免费评估
58,宾州州立大学Pennsylvania State University,United States of America,54.6,37.4,64.8,76.0,60.4,62.9,免费评估
59,Kyoto University,Japan,70.4,29.0,68.4,57.0,73.3,62.8,免费评估
60,悉尼大学The University of Sydney,Australia,52.8,83.6,60.8,69.0,67.3,62.7,免费评估
61,Nanyang Technological University,Singapore,43.9,92.5,55.9,75.9,100,62.2,免费评估
61,école Polytechnique,France,50.5,94.5,47.1,79.9,76.8,62.2,免费评估
63,Scuola Normale Superiore di Pisa,Italy,48.2,50.1,46.0,96.4,40.1,61.9,免费评估
64,Leiden University,Netherlands,45.0,59.5,58.2,82.3,47.3,61.3,免费评估
65,昆士兰大学The University of Queensland,Australia,45.8,80.4,58.4,74.2,66.2,61.2,免费评估
66,Pohang University of Science and Technology,South Korea,52.7,36.0,49.3,84.4,100,61.1,免费评估
67,University of G?ttingen,Germany,46.9,53.9,48.0,92.3,32.8,61.0,免费评估
68,俄亥俄州立大学Ohio State University,United States of America,54.0,51.5,51.1,80.4,46.8,60.7,免费评估
69,莱斯大学Rice University,United States of America,41.7,70.8,37.1,99.9,34.6,59.8,免费评估
70,Heidelberg University,Germany,52.6,63.1,45.4,81.4,41.6,59.6,免费评估
71,Delft University of Technology,Netherlands,55.5,77.9,71.4,42.6,100,59.2,免费评估
72,Erasmus University Rotterdam,Netherlands,39.8,66.2,53.7,82.3,54.4,59.1,免费评估
73,Wageningen University and Research Center,Netherlands,44.3,78.7,46.8,77.5,100,59.0,免费评估
74,布里斯托大学University of Bristol,United Kingdom,43.7,76.6,44.7,85.1,42.1,58.9,免费评估
