Ranking,University Name,Student Satisfaction,Research Assessment,Student-Staff Ratio,Entry Standards,Completion,Good Honors,Graduate Prospects,Total Scores,Free
1,牛津大学University of Oxford,87.0,1.3,11.1,574,98.1,90.9,79.8,1000,免费评估
2,剑桥大学University of Cambridge,87.0,1.4,11.8,596,98.8,87.4,84.4,990,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,79.0,1.2,11.8,527,96.5,80.9,87.8,911,免费评估
4,帝国理工学院Imperial College London,78.0,1.0,11.6,556,95.9,81.7,87.1,835,免费评估
5,杜伦大学Durham University,83.0,0.9,15.3,503,96.2,81.8,78.5,834,免费评估
6,圣安德鲁斯大学University of St Andrews,83.0,0.8,13.6,519,97.4,82.9,74.1,814,免费评估
7,伦敦大学学院University College London,79.0,1.0,10.1,498,93.9,81.0,79.9,811,免费评估
8,华威大学The University of Warwick,81.0,0.9,14.5,496,96.5,80.8,77.6,789,免费评估
9,巴斯大学University of Bath,84.0,0.7,17.1,461,96.4,81.1,79.1,767,免费评估
10,埃克塞特大学University of Exeter,82.0,0.8,18.5,459,96.1,82.8,73.0,764,免费评估
11,布里斯托大学University of Bristol,81.0,0.9,14.3,478,96.4,83.2,79.2,762,免费评估
12,兰卡斯特大学Lancaster University,82.0,0.9,14.8,410,93.4,73.4,73.6,759,免费评估
13,约克大学The University of York,81.0,0.9,15.6,453,94.5,74.7,70.6,749,免费评估
14,爱丁堡大学The University of Edinburgh,76.0,1.0,13.9,476,92.3,82.8,74.5,735,免费评估
15,格拉斯哥大学University of Glasgow,83.0,0.7,15.3,465,88.3,74.1,77.0,734,免费评估
16,拉夫堡大学Loughborough University,84.0,0.7,16.7,393,93.2,70.1,72.1,727,免费评估
17,莱斯特大学University of Leicester,84.0,0.6,13.7,409,92.5,70.4,65.1,724,免费评估
18,南安普顿大学University of Southampton,79.0,0.7,13.4,441,92.7,76.4,72.0,717,免费评估
18,萨塞克斯大学University of Sussex,81.0,0.8,16.6,385,92.4,79.2,71.1,717,免费评估
20,诺丁汉大学University of Nottingham,80.0,0.7,14.0,436,94.9,74.9,76.0,715,免费评估
21,谢菲尔德大学The University of Sheffield,82.0,0.8,15.4,445,94.0,73.9,72.7,714,免费评估
22,伦敦国王学院King's College London,78.0,0.7,11.7,458,92.3,78.7,79.6,710,免费评估
23,纽卡斯尔大学Newcastle University,82.0,0.7,15.3,427,93.8,74.6,76.5,702,免费评估
24,伯明翰大学University of Birmingham,78.0,0.7,15.5,435,94.4,76.1,74.0,690,免费评估
24,雷丁大学University of Reading,81.0,0.7,14.9,377,92.3,73.4,69.3,690,免费评估
26,萨里大学University of Surrey,81.0,0.6,17.9,399,89.6,67.6,72.5,688,免费评估
27,伦敦大学皇家霍洛威学院Royal Holloway University of London,78.0,0.8,15.6,399,92.2,71.8,66.1,680,免费评估
28,东英吉利大学University of East Anglia,82.0,0.6,13.9,396,88.4,69.6,62.8,675,免费评估
29,利物浦大学The University of Liverpool,79.0,0.6,13.0,409,92.7,72.7,71.0,673,免费评估
30,利兹大学University of Leeds,81.0,0.7,15.7,413,90.9,77.3,73.0,672,免费评估
31,伦敦大学亚非学院SOAS University of London,72.0,0.7,11.3,419,84.8,75.4,64.5,662,免费评估
32,卡迪夫大学Cardiff University,79.0,0.6,14.4,437,92.9,71.7,76.1,661,免费评估
33,曼彻斯特大学The University of Manchester,76.0,0.9,15.2,425,93.0,71.8,70.5,660,免费评估
34,肯特大学University of Kent,80.0,0.5,14.6,352,89.7,67.8,69.6,657,免费评估
35,英国女王大学Queen's University Belfast,79.0,0.6,15.3,387,91.9,73.4,71.9,653,免费评估
36,思克莱德大学University of Strathclyde,79.0,0.5,17.9,440,84.2,76.0,72.0,646,免费评估
36,阿斯顿大学Aston University,80.0,0.4,17.0,383,89.7,67.8,75.7,646,免费评估
38,伦敦大学玛丽女王学院Queen Mary University of London,80.0,0.7,12.8,396,87.8,62.7,71.1,638,免费评估
39,阿伯丁大学University of Aberdeen,81.0,0.6,16.2,401,81.6,68.7,71.5,630,免费评估
40,埃塞克斯大学University of Essex,81.0,0.7,15.9,331,87.6,62.5,53.7,620,免费评估
41,白金汉大学The University of Buckingham,87.0,,10.7,276,79.3,42.2,76.4,618,免费评估
42,赫瑞瓦特大学Heriot Watt University,81.0,0.5,18.8,384,81.8,68.8,71.5,613,免费评估
43,布鲁内尔大学Brunel University,81.0,0.5,18.0,343,86.1,63.1,61.3,612,免费评估
44,邓迪大学University of Dundee,80.0,0.5,14.2,382,81.6,71.2,68.2,609,免费评估
45,基尔大学Keele University,83.0,0.4,16.0,339,86.9,66.0,71.8,607,免费评估
46,伦敦城市大学City University London,75.0,0.4,16.6,372,85.7,69.0,71.7,597,免费评估
47,亚伯大学Aberystwyth University,83.0,0.6,19.1,307,85.9,59.2,52.1,576,免费评估
48,伦敦大学金史密斯学院Goldsmiths University of London,76.0,0.7,17.7,347,81.3,70.1,52.2,561,免费评估
49,赫尔大学The University of Hull,81.0,0.3,19.9,329,84.5,53.9,67.8,558,免费评估
50,斯特林大学University of Stirling,80.0,0.4,20.5,342,84.3,64.2,60.5,556,免费评估
51,罗伯特高登大学The Robert Gordon University,80.0,0.2,19.1,335,78.3,60.6,78.4,555,免费评估
52,斯旺西大学Swansea University,74.0,0.5,16.4,343,89.0,61.4,66.3,549,免费评估
52,林肯大学University of Lincoln,78.0,0.2,18.8,316,85.7,58.6,67.0,549,免费评估
52,牛津布鲁克斯大学Oxford Brookes University,76.0,0.2,16.7,333,86.0,67.6,64.1,549,免费评估
55,考文垂大学Coventry University,81.0,0.1,15.4,287,78.0,61.2,66.8,548,免费评估
56,班戈大学Bangor University,81.0,0.5,19.1,295,79.7,60.2,61.9,544,免费评估
57,哈德斯菲尔德大学University of Huddersfield,81.0,0.1,17.9,305,77.7,55.7,69.3,540,免费评估
58,诺桑比亚大学Northumbria University,78.0,0.1,17.4,318,87.7,59.5,63.6,538,免费评估
59,切斯特大学University of Chester,79.0,0.0,16.6,283,78.6,60.0,67.1,527,免费评估
60,伦敦艺术大学University of the Arts London,70.0,0.6,17.4,307,88.3,65.0,55.5,524,免费评估
61,奇切斯特大学University of Chichester,81.0,0.1,18.4,295,89.0,59.0,53.5,522,免费评估
62,西英格兰大学University of the West of England,78.0,0.1,20.8,299,77.6,63.9,65.1,510,免费评估
63,朴茨茅斯大学University of Portsmouth,79.0,0.2,19.8,289,85.1,54.2,61.9,509,免费评估
64,普利茅斯大学University of Plymouth,75.0,0.2,16.5,303,84.5,61.1,62.4,508,免费评估
65,格罗斯特大学University of Gloucestershire,78.0,0.1,21.4,293,83.9,68.7,53.3,506,免费评估
65,阿尔斯特大学University of Ulster,77.0,0.3,16.5,282,78.5,63.4,49.9,506,免费评估
67,布拉德福德大学University of Bradford,78.0,0.3,17.6,279,80.4,50.8,69.0,504,免费评估
68,赫特福德大学University of Hertfordshire,78.0,0.1,19.8,300,78.2,61.8,60.7,500,免费评估
69,布莱顿大学University of Brighton,78.0,0.3,18.6,292,84.8,62.0,52.7,499,免费评估
70,巴斯斯巴大学Bath Spa University,78.0,0.1,21.6,304,87.7,67.0,53.7,497,免费评估
71,中央兰开夏大学University of Central Lancashire,78.0,0.1,18.5,297,74.3,52.3,57.7,492,免费评估
72,德蒙福特大学De Montfort University,79.0,0.2,18.1,288,81.7,52.8,56.0,488,免费评估
73,艾芝西尔大学Edge Hill University,81.0,0.0,18.5,266,79.1,56.4,62.0,487,免费评估
73,谢菲尔德哈莱姆大学Sheffield Hallam University,76.0,0.1,19.6,305,84.5,61.8,57.6,487,免费评估
75,伯明翰城市大学Birmingham City University,78.0,0.1,21.1,283,77.8,59.2,61.9,486,免费评估
75,温切斯特大学University of Winchester,76.0,0.1,18.5,293,85.6,62.4,51.0,486,免费评估
77,桑德兰大学University of Sunderland,79.0,0.1,16.9,278,79.6,50.5,50.2,482,免费评估
78,威尔士大学卡迪夫学院,78.0,0.1,19.9,272,82.9,54.6,52.2,478,免费评估
78,诺丁汉特伦特大学Nottingham Trent University,73.0,0.1,19.0,302,83.9,55.9,59.6,478,免费评估
80,约克圣约翰大学York St John University,79.0,0.0,21.4,282,84.3,58.7,53.1,475,免费评估
81,伯恩茅斯大学Bournemouth University,69.0,0.1,20.4,328,85.0,64.8,65.1,474,免费评估
81,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,76.0,0.1,20.9,338,76.0,66.8,55.5,474,免费评估
83,玛格丽特女王大学Queen Margaret University,73.0,0.1,20.6,336,80.3,71.7,56.8,470,免费评估
84,龙比亚大学Napier University,78.0,0.1,23.6,300,75.4,64.4,65.4,468,免费评估
85,坎特伯雷大学Canterbury Christ Church University,75.0,0.1,17.6,258,85.0,59.0,62.9,467,免费评估
86,罗汉普顿大学Roehampton University,75.0,0.2,20.8,260,77.0,54.8,60.1,463,免费评估
87,蒂赛德大学Teesside University,79.0,0.1,19.5,295,73.0,52.8,58.6,461,免费评估
88,贝德福德大学University of Bedfordshire,77.0,0.1,19.4,206,74.1,53.6,57.4,458,免费评估
89,德比大学University of Derby,78.0,0.0,18.1,278,76.1,52.0,52.2,456,免费评估
90,米德塞斯大学Middlesex University,75.0,0.2,21.9,218,70.0,54.7,55.5,453,免费评估
91,格林威治大学The University of Greenwich,80.0,0.1,22.1,257,74.2,51.5,55.1,452,免费评估
91,索尔福德大学University of Salford,74.0,0.3,16.2,286,75.1,57.1,56.4,452,免费评估
93,伍斯特大学University of Worcester,78.0,0.0,21.5,288,81.9,55.3,56.2,451,免费评估
93,利物浦约翰摩尔斯大学Liverpool John Moores University,76.0,0.1,21.0,277,83.5,60.6,51.8,451,免费评估
95,威斯敏斯特大学University of Westminster,71.0,0.2,18.4,292,78.3,58.3,59.3,447,免费评估
95,格拉摩根大学University of Glamorgan,77.0,0.1,20.5,289,72.2,58.7,54.9,447,免费评估
97,哥比亚大学University of Cumbria,72.0,0.0,17.2,268,81.1,61.1,60.4,446,免费评估
97,格林多大学Glyndwr University,76.0,0.0,21.0,220,73.7,54.4,66.9,446,免费评估
99,北安普顿大学The University of Northampton,76.0,0.0,20.6,240,80.0,57.2,50.4,438,免费评估
100,斯塔福德郡大学Staffordshire University,78.0,0.0,21.6,248,75.8,50.6,58.9,437,免费评估
101,金斯顿大学Kingston University,73.0,0.1,19.8,281,80.2,61.0,56.6,435,免费评估
102,曼彻斯特城市大学Manchester Metropolitan University,72.0,0.1,18.9,293,77.3,58.5,58.1,434,免费评估
103,创意艺术大学University for the Creative Arts,73.0,0.2,19.3,262,80.5,48.9,49.5,430,免费评估
104,利兹都会大学Leeds Metropolitan University,75.0,0.1,19.5,263,80.9,54.5,53.6,429,免费评估
105,圣大卫三一学院University of Wales Trinity Saint David,75.0,0.3,18.8,245,75.6,48.3,51.1,428,免费评估
106,新白金汉大学Buckinghamshire New University,74.0,0.0,23.3,231,83.2,47.2,48.7,413,免费评估
107,剑桥安鲁大学Anglia Ruskin University,74.0,0.1,19.1,241,79.2,55.6,54.8,410,免费评估
108,纽波特大学University of Wales Newport,75.0,0.1,24.8,259,78.0,51.4,50.0,392,免费评估
109,西苏格兰大学University of the West of Scotland,76.0,0.1,22.2,271,69.3,47.9,58.2,387,免费评估
110,西伦敦大学University of West London,73.0,0.1,21.0,235,68.2,47.7,53.8,380,免费评估
111,伦敦南岸大学London South Bank University,73.0,0.1,22.4,212,76.1,55.1,61.0,378,免费评估
112,阿伯泰邓迪大学University of Abertay Dundee,,0.1,25.2,280,67.7,51.3,48.8,366,免费评估
113,南安普顿索伦特大学Southampton Solent University,72.0,0.0,21.2,268,74.9,48.1,41.9,363,免费评估
114,高地与群岛大学University of the Highlands and Islands,,0.1,,269,57.5,77.0,39.4,357,免费评估
115,波尔顿大学University of Bolton,75.0,0.1,19.6,234,62.4,48.6,41.4,328,免费评估
116,东伦敦大学University of East London,76.0,0.1,23.7,205,61.1,43.9,48.6,327,免费评估
116,伦敦城市大学City University London,69.0,0.1,19.2,228,71.3,50.1,47.9,327,免费评估
