Ranking,University Name,Teaching quality,Student Satisfaction,Research Assessment,Ucasentry-points,Graduate Prospects,Firsts/2:1s,Completion,Student-Staff Ratio,Services / facilities Spend,Total Scores,Free
1,剑桥大学University of Cambridge,,,57.3,224,86.8,93.4,98.3,11.2,3854,1000,免费评估
2,牛津大学University of Oxford,,,53.1,215,83.5,94.0,98.6,10.4,3354,962,免费评估
3,圣安德鲁斯大学University of St Andrews,88.5,87.9,40.4,208,79.6,89.8,96.3,11.7,3220,944,免费评估
4,帝国理工学院Imperial College London,75.1,77.9,56.2,206,90.4,89.2,96.5,11.4,3767,845,免费评估
5,拉夫堡大学Loughborough University,83.4,85.8,36.3,162,86.9,83.8,92.1,13.4,3286,834,免费评估
6,伦敦政治经济学院The London School of Economics and Political Science,72.3,68.5,52.8,189,86.2,90.5,95.4,11.1,2968,828,免费评估
7,杜伦大学Durham University,78.8,75.0,39.0,195,84.9,92.1,96.4,15.0,3052,808,免费评估
8,兰卡斯特大学Lancaster University,79.5,79.3,39.1,157,89.1,78.7,93.6,12.6,3427,801,免费评估
9,伦敦大学学院University College London,74.7,75.4,51.0,187,83.8,89.7,94.5,10.5,2671,780,免费评估
10,华威大学The University of Warwick,79.6,79.2,44.6,180,83.2,84.3,95.1,13.0,2537,778,免费评估
11,巴斯大学University of Bath,79.4,81.8,37.3,182,87.5,88.3,96.6,15.6,2541,777,免费评估
12,埃克塞特大学University of Exeter,79.3,80.1,38.0,172,85.5,87.9,95.8,15.5,2987,776,免费评估
13,利兹大学University of Leeds,79.8,80.4,36.8,166,81.2,86.9,92.4,13.4,3043,744,免费评估
14,伯明翰大学University of Birmingham,78.4,77.9,37.1,165,85.8,86.6,94.9,13.9,3036,737,免费评估
15,布里斯托大学University of Bristol,78.7,77.2,47.3,177,80.6,89.8,95.8,13.5,2309,730,免费评估
16,格拉斯哥大学University of Glasgow,77.4,78.2,39.9,200,85.3,84.8,89.9,13.7,2549,718,免费评估
17,哈珀亚当斯大学Harper Adams University,83.4,82.4,5.7,134,72.9,74.4,91.3,13.7,3793,715,免费评估
18,曼彻斯特大学The University of Manchester,77.3,77.2,39.8,167,80.7,83.1,92.9,13.3,3144,708,免费评估
19,伦敦大学皇家霍洛威学院Royal Holloway University of London,81.3,80.6,36.3,140,73.5,82.6,92.1,14.7,2802,704,免费评估
20,南安普顿大学University of Southampton,79.1,78.6,44.9,160,82.1,84.9,89.3,13.5,2454,700,免费评估
21,诺丁汉大学University of Nottingham,78.0,78.0,37.8,161,86.0,84.1,93.8,14.5,2663,693,免费评估
22,约克大学The University of York,82.6,81.0,38.3,158,82.0,80.5,92.8,14.6,1810,692,免费评估
23,东英吉利大学University of East Anglia,79.1,79.0,35.8,147,77.1,87.2,90.7,13.6,2842,691,免费评估
24,邓迪大学University of Dundee,83.5,83.8,31.2,172,81.7,78.9,88.5,13.9,2517,690,免费评估
25,爱丁堡大学The University of Edinburgh,73.3,72.6,43.8,190,77.5,89.5,92.1,11.9,2169,686,免费评估
26,谢菲尔德大学The University of Sheffield,80.6,82.1,37.6,157,84.4,81.5,92.8,15.2,2290,684,免费评估
27,阿伯丁大学University of Aberdeen,80.6,81.1,29.9,184,80.9,87.1,90.2,16.1,2445,680,免费评估
28,纽卡斯尔大学Newcastle University,77.9,78.7,37.7,159,85.8,81.3,95.1,14.2,2304,677,免费评估
29,利物浦大学The University of Liverpool,79.4,80.0,31.5,147,85.4,80.6,92.9,14.3,2445,656,免费评估
30,伦敦国王学院King's College London,74.3,72.5,44.0,169,84.5,86.7,91.8,12.4,2670,654,免费评估
31,斯旺西大学Swansea University,81.2,81.5,33.7,135,85.6,78.0,90.8,15.4,2372,653,免费评估
32,萨里大学University of Surrey,76.9,78.2,29.7,156,81.0,85.0,92.6,16.1,2678,649,免费评估
33,赫瑞瓦特大学Heriot Watt University,77.9,77.9,36.7,163,79.3,79.7,86.8,17.8,3217,648,免费评估
34,卡迪夫大学Cardiff University,78.2,77.5,35.0,159,81.7,83.3,91.8,14.1,2379,645,免费评估
35,英国女王大学Queen's University Belfast,77.5,77.4,39.7,152,82.4,84.0,91.8,15.9,2416,636,免费评估
36,思克莱德大学University of Strathclyde,78.3,78.9,37.7,200,79.6,83.4,88.5,19.5,1867,634,免费评估
37,埃塞克斯大学University of Essex,79.5,80.3,37.2,111,74.3,74.5,85.4,15.9,3521,630,免费评估
38,雷丁大学University of Reading,77.3,75.2,36.5,132,76.0,81.7,93.0,15.8,2785,628,免费评估
38,萨塞克斯大学University of Sussex,76.6,76.4,31.8,148,80.4,75.6,90.7,15.8,2678,628,免费评估
