Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,University of Wageningen,Netherlands,97.5,76.9,86.4,100.0,,291.7,免费评估
2,"University of California, Davis",United States,86.5,72.7,76.0,84.6,,259.0,免费评估
3,China Agricultural University,China,90.6,66.1,62.7,85.5,,254.7,免费评估
4,Swedish University of Agricultural Sciences,Sweden,84.0,68.9,82.7,77.6,,247.2,免费评估
5,Cornell University,United States,73.9,78.5,74.0,72.4,,239.7,免费评估
6,University of Florida,United States,89.0,64.7,66.9,72.0,,239.1,免费评估
7,Nanjing Agricultural University,China,82.1,68.7,52.3,75.6,,236.8,免费评估
8,Aarhus University,Denmark,69.2,73.9,83.1,71.5,,231.3,免费评估
9,Ghent University,Belgium,70.7,75.1,85.0,68.2,,231.0,免费评估
10,University of Copenhagen,Denmark,69.8,73.6,85.2,67.6,,228.1,免费评估
11,Michigan State University,United States,68.5,77.4,63.9,66.3,,225.0,免费评估
12,University of Sao Paulo,Brazil,100.0,50.7,55.0,62.5,,224.2,免费评估
13,University of Wisconsin - Madison,United States,66.8,75.5,65.6,65.7,,221.1,免费评估
14,The University of Western Australia,Australia,67.2,72.9,82.1,63.9,,220.5,免费评估
15,Northwest A&F University,China,79.5,63.9,62.2,64.2,,220.1,免费评估
16,University of British Columbia,Canada,65.0,77.1,80.1,60.0,,218.1,免费评估
17,Zhejiang University,China,71.7,68.2,60.4,66.1,,218.0,免费评估
18,Iowa State University,United States,66.6,72.2,64.5,64.5,,216.2,免费评估
19,"University of Minnesota, Twin Cities",United States,65.5,73.9,62.6,61.9,,213.9,免费评估
20,Huazhong Agricultural University,China,69.8,68.7,55.2,63.4,,212.9,免费评估
21,University of Illinois at Urbana-Champaign,United States,61.3,74.1,66.6,62.2,,210.9,免费评估
22,North Carolina State University - Raleigh,United States,71.5,62.5,60.6,62.4,,208.6,免费评估
23,The University of Queensland,Australia,64.8,69.5,75.8,58.7,,208.1,免费评估
24,AgroParisTech,France,53.7,72.9,76.5,65.5,,207.5,免费评估
25,Oregon State University,United States,67.3,69.5,62.6,58.1,,207.4,免费评估
26,University of Goettingen,Germany,62.2,71.0,78.1,56.9,,205.6,免费评估
27,Purdue University - West Lafayette,United States,60.9,71.2,69.4,58.8,,204.8,免费评估
28,University of Guelph,Canada,64.8,65.3,73.0,59.6,,204.3,免费评估
29,"University of California, Berkeley",United States,52.0,84.8,76.4,50.0,,202.1,免费评估
30,The University of Georgia,United States,67.7,62.5,58.1,58.4,,200.2,免费评估
31,Washington State University,United States,61.4,67.1,66.7,58.2,,200.0,免费评估
32,Pennsylvania State University - University Park,United States,54.6,78.7,64.8,53.3,,199.7,免费评估
33,University of Alberta,Canada,58.8,70.7,72.5,54.6,,198.6,免费评估
34,The Ohio State University - Columbus,United States,61.5,64.5,68.2,58.9,,198.5,免费评估
35,University of Helsinki,Finland,57.4,70.2,81.9,53.7,,197.6,免费评估
36,Swiss Federal Institute of Technology Zurich,Switzerland,52.9,74.6,85.9,52.5,,197.2,免费评估
37,The University of Tokyo,Japan,64.0,64.5,58.9,55.7,,195.9,免费评估
38,Technical University Munich,Germany,51.5,74.8,73.1,50.9,,191.8,免费评估
39,The University of Adelaide,Australia,53.7,72.4,71.7,51.2,,191.6,免费评估
40,UNESP,Brazil,99.1,39.4,41.3,44.6,,191.3,免费评估
41,University of Montpellier,France,50.4,74.1,91.3,48.1,,190.9,免费评估
42,KU Leuven,Belgium,53.8,71.9,88.6,46.5,,189.9,免费评估
43,Norwegian University of Life Sciences,Norway,56.8,68.4,79.4,48.3,,189.4,免费评估
44,University of Sydney,Australia,51.7,72.7,78.0,49.1,,189.1,免费评估
44,University of Tasmania,Australia,51.5,75.5,73.2,47.5,,189.1,免费评估
46,Kansas State University,United States,52.7,70.2,58.4,52.3,,187.0,免费评估
47,The University of Melbourne,Australia,52.0,72.2,70.8,47.6,,186.0,免费评估
48,University of Hohenheim,Germany,53.1,68.4,75.3,49.3,,185.9,免费评估
49,University of Nebraska - Lincoln,United States,51.8,70.7,62.8,49.1,,184.2,免费评估
50,Texas A&M University,United States,59.2,60.5,64.1,51.2,,183.7,免费评估
