Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Harvard University,United States,97.2,84.3,50.3,89.4,,327.1,免费评估
2,Yale University,United States,75.0,92.6,47.0,98.3,,311.0,免费评估
3,Princeton University,United States,69.3,100.0,48.6,100.0,,308.9,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,99.1,72.2,63.1,77.5,,307.3,免费评估
5,Columbia University,United States,81.1,65.5,48.7,79.6,,278.7,免费评估
6,牛津大学University of Oxford,United Kingdom,100.0,71.8,59.5,57.7,,278.5,免费评估
7,Stanford University,United States,71.3,96.1,50.4,75.3,,272.9,免费评估
8,Duke University,United States,56.0,87.8,57.9,65.8,,232.5,免费评估
9,New York University,United States,67.8,76.2,54.3,57.7,,231.9,免费评估
10,Georgetown University,United States,70.9,68.5,45.1,54.8,,227.2,免费评估
11,"University of California, San Diego",United States,51.1,93.0,51.8,65.8,,227.1,免费评估
12,"University of Maryland, College Park",United States,56.5,73.3,53.4,60.6,,217.5,免费评估
13,"University of California, Berkeley",United States,65.6,81.3,45.6,48.3,,216.1,免费评估
14,University of Pennsylvania,United States,57.8,69.4,48.8,57.7,,213.0,免费评估
15,The George Washington University,United States,64.5,67.4,45.9,48.3,,207.5,免费评估
16,Pennsylvania State University - University Park,United States,52.3,89.8,51.3,51.6,,205.9,免费评估
16,University of Michigan-Ann Arbor,United States,66.9,78.8,50.0,40.8,,205.9,免费评估
18,埃塞克斯大学University of Essex,United Kingdom,54.1,83.0,83.3,48.3,,203.4,免费评估
19,University of Chicago,United States,50.2,91.3,42.9,51.6,,202.7,免费评估
20,University of Wisconsin - Madison,United States,50.8,71.4,49.8,54.8,,199.0,免费评估
21,"University of Minnesota, Twin Cities",United States,46.5,72.6,47.9,57.7,,197.5,免费评估
22,The University of Texas at Austin,United States,54.6,77.4,43.9,48.3,,197.4,免费评估
23,Northwestern University,United States,45.7,92.3,50.9,51.6,,197.3,免费评估
24,The Australian National University,Australia,77.7,64.3,61.5,25.8,,193.6,免费评估
25,The Ohio State University - Columbus,United States,44.5,86.6,43.9,51.6,,192.0,免费评估
26,Massachusetts Institute of Technology (MIT),United States,46.9,98.9,44.3,44.7,,191.3,免费评估
27,Swiss Federal Institute of Technology Zurich,Switzerland,47.9,98.4,85.6,40.8,,190.8,免费评估
28,University of Washington,United States,45.6,88.0,52.5,48.3,,190.2,免费评估
29,University of Colorado at Boulder,United States,45.6,68.7,41.1,54.8,,189.1,免费评估
30,Aarhus University,Denmark,58.5,74.5,67.6,36.5,,186.6,免费评估
31,University of Sydney,Australia,63.4,61.9,56.4,36.5,,186.4,免费评估
32,University of Virginia,United States,45.7,63.8,26.2,54.8,,185.3,免费评估
33,Brown University,United States,47.5,71.4,49.7,44.7,,179.1,免费评估
34,Uppsala University,Sweden,53.1,77.4,57.3,36.5,,178.9,免费评估
35,University of Amsterdam,Netherlands,68.5,79.2,72.1,18.3,,177.0,免费评估
36,Emory University,United States,37.3,78.0,41.5,51.6,,176.6,免费评估
37,"University of California, Los Angeles",United States,46.0,83.0,42.6,40.8,,175.9,免费评估
38,American University,United States,55.8,64.1,44.2,36.5,,174.9,免费评估
39,McGill University,Canada,48.8,65.5,74.2,40.8,,174.6,免费评估
40,The Hebrew University of Jerusalem,Israel,53.1,65.7,62.0,36.5,,173.5,免费评估
40,University of Toronto,Canada,64.1,64.8,62.7,25.8,,173.5,免费评估
42,University of Copenhagen,Denmark,55.1,72.9,58.5,31.6,,172.3,免费评估
43,University of North Carolina at Chapel Hill,United States,50.2,87.5,49.7,31.6,,171.4,免费评估
44,Boston University,United States,39.7,79.3,48.2,44.7,,171.2,免费评估
45,"University of Pittsburgh, Pittsburgh Campus",United States,48.3,64.3,46.8,40.8,,170.5,免费评估
46,"Rutgers, The State University of New Jersey - New Brunswick",United States,35.3,88.7,57.8,44.7,,170.1,免费评估
47,华威大学The University of Warwick,United Kingdom,60.0,71.1,56.1,25.8,,170.0,免费评估
48,Vanderbilt University,United States,43.4,78.6,30.5,40.8,,168.7,免费评估
49,Cornell University,United States,50.2,68.7,41.4,36.5,,168.5,免费评估
50,Lund University,Sweden,49.4,60.9,75.0,36.5,,166.8,免费评估
