Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Princeton University,United States,66.7,71.0,60.9,100.0,100.0,349.9,免费评估
2,New York University,United States,60.0,73.2,69.9,65.0,74.3,286.4,免费评估
3,Pierre and Marie Curie University - Paris 6,France,100.0,64.5,69.5,73.4,32.2,284.0,免费评估
4,Massachusetts Institute of Technology (MIT),United States,77.7,70.0,61.6,89.9,32.2,282.1,免费评估
5,University of Paris-Sud (Paris 11),France,69.1,58.5,69.4,62.0,74.3,277.9,免费评估
6,"University of California, Los Angeles",United States,62.8,66.3,69.3,76.0,45.5,264.3,免费评估
7,剑桥大学University of Cambridge,United Kingdom,64.8,63.2,74.3,67.9,52.5,263.3,免费评估
8,Stanford University,United States,63.9,72.4,62.1,62.0,52.5,263.2,免费评估
9,The University of Texas at Austin,United States,62.0,71.6,65.2,58.8,45.5,250.9,免费评估
10,牛津大学University of Oxford,United Kingdom,73.3,63.9,73.5,70.7,26.3,248.8,免费评估
11,The Hebrew University of Jerusalem,Israel,50.6,56.6,77.3,87.7,32.2,242.6,免费评估
12,"University of California, Berkeley",United States,69.3,65.2,62.9,67.9,26.3,241.3,免费评估
13,Stony Brook University,United States,44.2,60.5,59.2,62.0,52.5,231.0,免费评估
14,University of Chicago,United States,57.3,70.6,65.6,89.9,0.0,230.9,免费评估
15,华威大学The University of Warwick,United Kingdom,56.4,61.4,76.3,43.9,52.5,229.4,免费评估
16,Harvard University,United States,46.0,66.9,59.5,65.0,37.1,227.0,免费评估
17,University of Wisconsin - Madison,United States,57.8,65.2,67.3,51.9,37.1,225.5,免费评估
18,"University of California, San Diego",United States,56.3,63.4,66.0,62.0,26.3,221.2,免费评估
19,"Rutgers, The State University of New Jersey - New Brunswick",United States,55.1,59.3,69.2,48.0,37.1,213.4,免费评估
20,Swiss Federal Institute of Technology Zurich,Switzerland,63.8,65.0,82.8,65.0,0.0,210.4,免费评估
21,"The Imperial College of Science, Technology and Medicine",United Kingdom,60.2,67.7,79.2,65.0,0.0,208.9,免费评估
22,Kyoto University,Japan,68.5,57.8,58.4,43.9,26.3,208.1,免费评估
23,Columbia University,United States,56.1,71.0,61.0,67.9,0.0,207.2,免费评估
24,University of Illinois at Urbana-Champaign,United States,71.8,54.0,68.4,39.2,26.3,205.0,免费评估
25,University Paris Diderot - Paris 7,France,66.5,64.3,71.9,58.8,0.0,204.0,免费评估
26,KTH Royal Institute of Technology,Sweden,44.0,56.8,75.3,39.2,45.5,200.6,免费评估
27,University of Toronto,Canada,61.2,57.6,77.1,58.8,0.0,193.1,免费评估
28,King Abdulaziz University,Saudi Arabia,96.0,77.9,94.8,0.0,0.0,192.8,免费评估
29,Texas A&M University,United States,62.1,62.5,69.3,51.9,0.0,190.3,免费评估
30,University of Michigan-Ann Arbor,United States,65.3,56.3,57.9,55.5,0.0,188.7,免费评估
31,Brown University,United States,49.7,66.5,63.9,58.8,0.0,187.8,免费评估
32,University of Bonn,Germany,59.6,64.5,72.6,48.0,0.0,186.7,免费评估
33,爱丁堡大学The University of Edinburgh,United Kingdom,48.3,63.0,76.2,27.7,32.2,186.5,免费评估
34,Paris Dauphine University (Paris 9),France,41.0,66.3,67.8,27.7,37.1,185.7,免费评估
35,Ecole Normale Superieure - Paris,France,45.3,69.8,78.7,51.9,0.0,182.7,免费评估
36,Peking University,China,67.2,60.7,53.7,43.9,0.0,182.5,免费评估
37,University of Geneva,Switzerland,32.0,61.4,78.4,27.7,45.5,182.3,免费评估
37,University of Vienna,Austria,65.1,62.5,77.3,39.2,0.0,182.3,免费评估
39,Ecole Normale Superieure - Lyon,France,35.6,63.4,66.3,34.0,32.2,178.4,免费评估
40,布里斯托大学University of Bristol,United Kingdom,48.6,62.1,77.4,51.9,0.0,178.0,免费评估
41,The Ohio State University - Columbus,United States,53.7,57.3,65.0,51.9,0.0,175.9,免费评估
42,University of Helsinki,Finland,47.2,68.8,79.7,43.9,0.0,175.7,免费评估
43,Swiss Federal Institute of Technology Lausanne,Switzerland,56.6,62.5,86.2,39.2,0.0,175.6,免费评估
44,"University of Minnesota, Twin Cities",United States,59.5,63.4,61.3,39.2,0.0,174.4,免费评估
45,Aix Marseille University,France,67.9,57.1,76.0,34.0,0.0,174.2,免费评估
45,California Institute of Technology,United States,43.8,73.9,62.9,43.9,0.0,174.2,免费评估
47,Indiana University Bloomington,United States,49.0,55.1,68.6,55.5,0.0,173.3,免费评估
48,McGill University,Canada,46.8,61.2,81.0,48.0,0.0,172.2,免费评估
49,University of Seville,Spain,62.8,60.0,74.5,34.0,0.0,171.6,免费评估
50,National University of Singapore,Singapore,51.1,58.5,88.6,43.9,0.0,171.2,免费评估
