Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Stanford University,United States,72.9,91.5,69.3,76.3,86.6,341.2,免费评估
2,Swiss Federal Institute of Technology Zurich,Switzerland,87.8,80.4,83.4,100.0,50.0,334.9,免费评估
3,Harvard University,United States,76.5,83.2,76.6,58.1,100.0,333.1,免费评估
4,"University of California, Davis",United States,83.3,71.6,66.3,60.5,86.6,315.3,免费评估
5,University of Wisconsin - Madison,United States,69.5,80.4,63.5,44.5,100.0,307.1,免费评估
6,"University of California, Berkeley",United States,98.0,80.0,66.4,93.8,0.0,285.0,免费评估
7,Technical University of Denmark,Denmark,69.4,78.0,80.7,44.1,70.7,278.2,免费评估
8,Princeton University,United States,48.9,90.3,78.5,34.2,86.6,275.8,免费评估
9,Massachusetts Institute of Technology (MIT),United States,56.5,83.9,69.8,48.8,70.7,273.8,免费评估
9,University of Alberta,Canada,66.2,68.0,73.7,54.1,70.7,273.8,免费评估
11,University of Copenhagen,Denmark,74.2,76.8,82.9,35.8,61.2,264.6,免费评估
12,"University of Maryland, College Park",United States,70.0,84.7,68.7,34.8,61.2,264.4,免费评估
13,Tsinghua University,China,100.0,72.1,61.9,70.3,0.0,254.8,免费评估
14,Technical University Munich,Germany,47.0,69.8,81.3,25.7,86.6,245.3,免费评估
15,Peking University,China,85.2,75.2,66.6,70.3,0.0,244.1,免费评估
16,The University of Western Australia,Australia,56.8,77.3,80.3,22.6,70.7,243.5,免费评估
17,University of Wageningen,Netherlands,97.0,80.2,82.7,48.8,0.0,242.6,免费评估
18,The Ohio State University - Columbus,United States,64.1,68.3,63.1,36.3,61.2,242.5,免费评估
19,The University of Queensland,Australia,91.1,76.6,76.3,57.4,0.0,240.4,免费评估
20,California Institute of Technology,United States,41.9,96.6,71.3,33.1,50.0,235.9,免费评估
21,Nanjing University,China,87.2,67.3,60.5,65.7,0.0,232.3,免费评估
22,Stockholm University,Sweden,70.4,80.2,83.4,61.4,0.0,228.7,免费评估
23,University of Toronto,Canada,71.6,68.3,72.9,73.6,0.0,228.1,免费评估
24,Johns Hopkins University,United States,46.3,65.9,66.3,38.8,61.2,225.5,免费评估
25,University of Michigan-Ann Arbor,United States,73.6,75.7,62.6,63.2,0.0,225.0,免费评估
26,Duke University,United States,66.2,81.5,68.8,62.6,0.0,224.1,免费评估
27,Zhejiang University,China,87.1,68.3,59.7,54.8,0.0,222.1,免费评估
28,"University of Minnesota, Twin Cities",United States,73.2,76.1,63.1,59.9,0.0,221.9,免费评估
29,University of Colorado at Boulder,United States,67.1,79.1,63.2,62.0,0.0,220.8,免费评估
30,Yale University,United States,58.4,85.9,67.0,60.2,0.0,218.0,免费评估
31,Arizona State University,United States,68.0,77.0,62.4,56.5,0.0,214.0,免费评估
32,Aarhus University,Denmark,74.0,77.3,85.2,44.9,0.0,213.2,免费评估
33,Utrecht University,Netherlands,71.0,84.3,82.1,39.7,0.0,211.4,免费评估
34,University of Florida,United States,80.3,69.6,70.1,46.9,0.0,210.8,免费评估
34,University of Washington,United States,69.9,80.6,67.1,46.9,0.0,210.8,免费评估
36,Georgia Institute of Technology,United States,56.1,77.3,71.9,62.6,0.0,210.3,免费评估
37,Swiss Federal Institute of Technology Lausanne,Switzerland,50.9,91.7,85.4,50.3,0.0,210.0,免费评估
38,Beijing Normal University,China,87.1,66.5,60.5,42.8,0.0,208.4,免费评估
39,University of Illinois at Urbana-Champaign,United States,63.2,70.3,65.5,61.4,0.0,208.0,免费评估
40,Michigan State University,United States,67.9,77.7,72.4,47.7,0.0,207.7,免费评估
41,University of British Columbia,Canada,76.5,76.6,75.6,37.8,0.0,206.0,免费评估
42,Columbia University,United States,64.7,81.5,76.6,43.2,0.0,204.8,免费评估
43,VU University Amsterdam,Netherlands,69.2,79.5,84.7,37.3,0.0,202.9,免费评估
44,Carnegie Mellon University,United States,43.9,80.4,60.0,66.3,0.0,202.6,免费评估
45,King's College London,United Kingdom,38.2,73.3,74.7,13.5,61.2,201.2,免费评估
46,埃克塞特大学University of Exeter,United Kingdom,55.9,89.2,75.2,39.7,0.0,199.8,免费评估
47,Pennsylvania State University - University Park,United States,62.6,73.0,67.2,50.6,0.0,199.7,免费评估
48,Tongji University,China,79.9,64.6,56.9,43.6,0.0,199.5,免费评估
49,Ghent University,Belgium,70.9,70.1,81.5,41.9,0.0,199.2,免费评估
49,University of Saskatchewan,Canada,61.1,68.6,80.5,53.5,0.0,199.2,免费评估
