Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Harvard University,United States,100.0,63.0,72.9,100.0,39.5,317.1,免费评估
2,Massachusetts Institute of Technology (MIT),United States,55.8,76.0,72.0,73.4,75.0,294.6,免费评估
3,剑桥大学University of Cambridge,United Kingdom,61.7,58.7,82.9,55.4,100.0,292.4,免费评估
4,"University of California, San Francisco",United States,56.6,61.3,68.0,55.5,86.6,273.6,免费评估
5,University of Washington,United States,63.6,56.5,65.5,49.2,68.5,250.8,免费评估
6,Stanford University,United States,59.1,61.4,66.6,50.1,63.7,247.7,免费评估
7,伦敦大学学院University College London,United Kingdom,59.2,53.8,82.3,45.9,61.2,236.7,免费评估
8,Rockefeller University,United States,28.3,64.6,69.9,38.1,82.9,227.8,免费评估
9,Johns Hopkins University,United States,62.8,55.5,65.6,47.4,43.3,222.2,免费评估
10,Yale University,United States,54.3,55.7,67.2,43.0,50.0,216.4,免费评估
11,Columbia University,United States,49.0,56.3,68.2,44.6,51.5,215.1,免费评估
12,The University of Texas Southwestern Medical Center at Dallas,United States,39.4,54.3,61.5,36.6,68.5,211.0,免费评估
13,University of North Carolina at Chapel Hill,United States,52.7,55.9,61.7,38.1,43.3,202.4,免费评估
14,Karolinska Institute,Sweden,49.9,54.7,87.1,44.2,35.4,201.6,免费评估
15,"University of California, Los Angeles",United States,56.3,56.5,66.5,39.3,35.4,200.7,免费评估
16,"University of California, Berkeley",United States,55.7,60.3,66.6,34.7,35.4,199.3,免费评估
17,牛津大学University of Oxford,United Kingdom,64.1,56.9,84.2,50.1,0.0,187.9,免费评估
18,University of Massachusetts Medical School - Worcester,United States,31.8,58.2,65.2,29.1,53.0,185.2,免费评估
19,University of Zurich,Switzerland,46.7,52.7,85.2,25.4,43.3,185.1,免费评估
20,University of Toronto,Canada,65.3,52.1,78.7,50.0,0.0,183.1,免费评估
21,King's College London,United Kingdom,40.5,56.8,83.5,40.0,25.0,179.0,免费评估
22,Vanderbilt University,United States,47.0,52.0,59.9,34.9,30.6,176.5,免费评估
23,Kyoto University,Japan,53.9,42.2,58.2,24.5,43.3,175.5,免费评估
24,University of Illinois at Urbana-Champaign,United States,43.5,48.4,62.9,16.2,53.0,173.7,免费评估
25,Norwegian University of Science and Technology - NTNU,Norway,24.6,52.4,80.2,18.4,61.2,172.6,免费评估
26,University of Copenhagen,Denmark,61.9,53.4,84.0,39.8,0.0,171.9,免费评估
27,The University of Texas Health Science Center at Houston,United States,34.6,55.9,68.8,32.1,35.4,171.7,免费评估
28,California Institute of Technology,United States,27.4,61.4,63.6,23.2,46.8,171.5,免费评估
29,University of Pennsylvania,United States,59.7,55.1,63.1,43.7,0.0,171.1,免费评估
30,The University of Western Australia,Australia,40.1,50.6,79.7,26.3,37.5,170.5,免费评估
31,Cornell University,United States,60.8,54.4,67.2,41.7,0.0,170.3,免费评估
32,卡迪夫大学Cardiff University,United Kingdom,31.6,54.3,82.2,22.2,43.3,167.9,免费评估
32,"University of California, San Diego",United States,60.4,54.4,69.2,39.3,0.0,167.9,免费评估
34,University of Michigan-Ann Arbor,United States,59.0,54.3,63.3,40.4,0.0,166.3,免费评估
35,Pierre and Marie Curie University - Paris 6,France,61.4,48.6,77.6,40.4,0.0,166.0,免费评估
36,University of Utah,United States,40.6,53.1,62.8,28.8,30.6,165.7,免费评估
37,诺丁汉大学University of Nottingham,United Kingdom,32.5,48.1,76.1,15.7,53.0,164.5,免费评估
38,University of Strasbourg,France,33.6,50.0,81.0,20.8,43.3,163.9,免费评估
39,"The Imperial College of Science, Technology and Medicine",United Kingdom,51.8,54.1,84.5,40.6,0.0,163.4,免费评估
40,Washington University in St. Louis,United States,49.5,59.4,60.8,41.9,0.0,163.0,免费评估
41,University of Munich,Germany,52.6,53.0,78.8,41.0,0.0,162.4,免费评估
42,University of Gothenburg,Sweden,35.4,51.4,84.3,20.8,35.4,159.7,免费评估
43,Utrecht University,Netherlands,47.7,54.7,80.5,39.3,0.0,157.8,免费评估
44,Princeton University,United States,29.7,55.1,66.2,21.9,35.4,155.3,免费评估
45,Duke University,United States,54.1,53.8,65.5,33.8,0.0,154.8,免费评估
45,The University of Melbourne,Australia,52.2,50.6,74.1,37.2,0.0,154.8,免费评估
47,University of Chicago,United States,46.0,58.9,66.0,35.1,0.0,153.2,免费评估
48,The University of Tokyo,Japan,62.7,42.7,59.1,35.8,0.0,153.0,免费评估
49,爱丁堡大学The University of Edinburgh,United Kingdom,47.1,55.8,80.6,33.3,0.0,152.3,免费评估
50,Erasmus University,Netherlands,38.7,55.8,83.0,39.6,0.0,150.8,免费评估
50,National University of Singapore,Singapore,51.0,47.2,83.4,36.0,0.0,150.8,免费评估
