Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Harvard University,United States,94.9,82.3,55.0,89.4,,323.1,免费评估
2,Stanford University,United States,78.0,85.9,53.5,100.0,,315.4,免费评估
3,University of Michigan-Ann Arbor,United States,92.7,78.9,48.5,79.6,,302.8,免费评估
4,"University of California, Berkeley",United States,85.0,83.2,54.3,79.6,,293.9,免费评估
5,Columbia University,United States,74.7,76.3,57.7,85.6,,284.4,免费评估
6,University of Wisconsin - Madison,United States,80.1,79.3,50.5,77.5,,281.0,免费评估
7,New York University,United States,75.6,83.0,42.6,77.5,,275.3,免费评估
8,Pennsylvania State University - University Park,United States,89.2,73.1,55.6,60.6,,266.7,免费评估
9,Princeton University,United States,67.7,89.1,52.3,73.0,,260.9,免费评估
10,"University of California, Irvine",United States,73.8,81.2,48.0,68.3,,258.6,免费评估
11,Cornell University,United States,85.8,75.0,53.8,57.7,,258.2,免费评估
12,University of North Carolina at Chapel Hill,United States,69.7,82.3,46.2,68.3,,252.7,免费评估
13,"University of California, Los Angeles",United States,74.2,83.7,48.8,57.7,,244.5,免费评估
14,The Ohio State University - Columbus,United States,68.9,78.2,47.9,63.2,,242.1,免费评估
15,牛津大学University of Oxford,United Kingdom,100.0,73.1,78.2,31.6,,241.8,免费评估
16,Indiana University Bloomington,United States,69.1,70.3,47.8,63.2,,238.4,免费评估
17,The University of Texas at Austin,United States,76.1,79.8,46.5,51.6,,236.2,免费评估
18,University of Washington,United States,61.2,91.2,55.3,60.6,,233.8,免费评估
19,University of Chicago,United States,66.1,77.6,40.3,60.6,,232.8,免费评估
20,Duke University,United States,61.2,79.3,63.8,60.6,,228.7,免费评估
21,University of Pennsylvania,United States,69.3,74.3,48.9,54.8,,228.1,免费评估
22,Yale University,United States,68.7,71.9,60.8,51.6,,222.5,免费评估
23,"University of Minnesota, Twin Cities",United States,72.3,69.3,45.7,48.3,,220.1,免费评估
24,Northwestern University,United States,66.5,75.4,47.1,51.6,,219.6,免费评估
25,University of Toronto,Canada,81.1,72.7,66.9,31.6,,212.1,免费评估
26,University of Southern California,United States,62.3,73.5,53.0,48.3,,208.0,免费评估
27,"University of Maryland, College Park",United States,63.6,77.5,56.9,44.7,,206.9,免费评估
28,University of Massachusetts Amherst,United States,56.2,68.9,47.4,51.6,,200.9,免费评估
29,Arizona State University,United States,69.1,70.3,45.4,36.5,,198.1,免费评估
30,University of Amsterdam,Netherlands,82.9,76.2,72.4,18.3,,197.1,免费评估
31,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,85.2,69.5,71.5,18.3,,197.0,免费评估
32,Michigan State University,United States,65.3,74.3,62.0,36.5,,196.0,免费评估
33,Utrecht University,Netherlands,75.4,67.8,85.9,25.8,,194.4,免费评估
34,University of Notre Dame,United States,53.7,71.3,41.3,48.3,,192.8,免费评估
35,"University of California, Santa Barbara",United States,58.5,71.5,55.0,40.8,,190.3,免费评估
36,Purdue University - West Lafayette,United States,61.6,75.0,53.6,36.5,,190.1,免费评估
36,University of Iowa,United States,45.9,77.5,50.9,51.6,,190.1,免费评估
38,曼彻斯特大学The University of Manchester,United Kingdom,99.1,67.4,60.6,0.0,,188.3,免费评估
39,McGill University,Canada,47.3,71.7,93.7,44.7,,183.3,免费评估
39,Stockholm University,Sweden,65.9,75.4,80.9,25.8,,183.3,免费评估
41,Brown University,United States,45.6,74.3,48.6,48.3,,182.8,免费评估
42,University of British Columbia,Canada,71.0,61.9,65.0,25.8,,182.7,免费评估
43,剑桥大学University of Cambridge,United Kingdom,68.7,56.1,67.2,25.8,,176.5,免费评估
44,Washington State University,United States,47.6,79.6,56.0,36.5,,171.6,免费评估
45,University of Connecticut,United States,51.1,72.1,38.2,36.5,,171.3,免费评估
46,Emory University,United States,44.4,69.1,66.6,40.8,,169.0,免费评估
47,University at Albany (State University of New York),United States,56.6,64.1,34.5,31.6,,167.9,免费评估
48,University of Utah,United States,43.7,71.3,44.7,40.8,,167.0,免费评估
49,爱丁堡大学The University of Edinburgh,United Kingdom,68.3,60.5,64.9,18.3,,166.5,免费评估
50,University of Groningen,Netherlands,52.2,76.7,99.1,25.8,,165.3,免费评估
