Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Nanyang Technological University,Singapore,100.0,81.7,78.2,100.0,,297.3,免费评估
2,Massachusetts Institute of Technology (MIT),United States,87.1,78.8,75.1,89.7,,270.6,免费评估
3,Georgia Institute of Technology,United States,80.6,79.5,77.3,84.5,,260.1,免费评估
4,"University of California, Berkeley",United States,81.8,78.0,73.9,84.3,,258.9,免费评估
5,National University of Singapore,Singapore,86.2,72.5,74.5,82.1,,255.7,免费评估
6,Tsinghua University,China,88.0,72.9,57.7,82.1,,254.5,免费评估
7,Peking University,China,84.1,71.4,57.4,83.4,,250.3,免费评估
8,Stanford University,United States,70.1,90.1,68.6,75.6,,249.5,免费评估
9,University of Science and Technology of China,China,76.9,77.6,56.3,77.1,,242.8,免费评估
10,Seoul National University,South Korea,84.5,65.0,54.8,79.9,,240.3,免费评估
11,Korea Advanced Institute of Science and Technology,South Korea,80.0,69.3,54.6,79.4,,239.6,免费评估
12,Harvard University,United States,72.3,76.5,74.8,74.4,,238.2,免费评估
13,Fudan University,China,71.6,78.3,61.6,69.3,,231.6,免费评估
14,Northwestern University,United States,69.1,73.5,65.3,74.1,,229.7,免费评估
15,Zhejiang University,China,74.9,71.8,66.2,69.0,,228.9,免费评估
16,Rice University,United States,57.6,91.2,69.5,66.1,,228.8,免费评估
17,Swiss Federal Institute of Technology Lausanne,Switzerland,66.8,80.7,86.2,61.2,,225.9,免费评估
18,Sungkyunkwan University,South Korea,80.2,65.2,52.2,69.7,,225.5,免费评估
18,"University of California, Los Angeles",United States,62.6,84.8,71.7,63.8,,225.5,免费评估
20,剑桥大学University of Cambridge,United Kingdom,68.3,70.2,89.5,66.1,,222.5,免费评估
21,University of Chicago,United States,66.8,73.8,65.5,66.7,,220.5,免费评估
22,Jilin University,China,76.5,63.3,53.9,68.7,,219.2,免费评估
23,The University of Texas at Austin,United States,62.0,83.0,63.0,60.2,,217.9,免费评估
24,Soochow University (China),China,64.5,76.2,56.8,64.9,,216.9,免费评估
25,Shanghai Jiao Tong University,China,78.8,66.6,57.5,58.3,,215.2,免费评估
26,University of Illinois at Urbana-Champaign,United States,65.8,69.1,65.5,66.7,,214.7,免费评估
27,Nanjing University,China,71.4,67.7,53.6,64.4,,214.2,免费评估
28,牛津大学University of Oxford,United Kingdom,54.2,86.6,84.7,55.0,,212.7,免费评估
29,Pohang University of Science and Technology,South Korea,70.5,65.4,57.8,64.1,,211.6,免费评估
30,Swiss Federal Institute of Technology Zurich,Switzerland,62.3,67.5,80.4,61.2,,207.0,免费评估
31,Korea University,South Korea,71.0,60.2,55.7,62.1,,204.5,免费评估
32,National Taiwan University,China-Taiwan,74.4,58.6,52.4,60.5,,203.9,免费评估
33,Yonsei University,South Korea,70.1,57.9,51.1,65.4,,203.6,免费评估
34,Huazhong University of Science and Technology,China,63.1,74.2,58.5,53.3,,202.3,免费评估
35,National Tsing Hua University,China-Taiwan,68.3,60.4,53.4,58.9,,198.3,免费评估
36,Pennsylvania State University - University Park,United States,60.1,68.1,71.4,55.5,,197.9,免费评估
37,"University of California, Santa Barbara",United States,49.0,83.5,68.3,51.4,,197.6,免费评估
38,"The Imperial College of Science, Technology and Medicine",United Kingdom,54.0,72.0,85.5,54.3,,197.4,免费评估
39,Xiamen University,China,55.6,74.9,63.4,52.5,,195.7,免费评估
40,University of Washington,United States,50.5,80.9,68.4,50.5,,195.5,免费评估
41,University of Michigan-Ann Arbor,United States,62.2,63.5,65.3,56.2,,195.0,免费评估
42,Ulsan National Institute of Science and Technology,South Korea,47.0,81.9,65.1,52.4,,194.3,免费评估
43,Harbin Institute of Technology,China,70.4,60.7,60.6,48.4,,191.5,免费评估
44,City University of Hong Kong,China-Hong Kong,59.6,67.3,59.1,52.7,,191.4,免费评估
45,Wuhan University,China,56.1,70.2,50.3,54.4,,190.8,免费评估
46,The University of Tokyo,Japan,66.2,58.6,60.0,52.7,,189.5,免费评估
47,Sun Yat-sen University,China,53.0,74.0,49.3,50.6,,187.4,免费评估
47,University of Pennsylvania,United States,47.4,76.5,57.6,52.0,,187.4,免费评估
49,TU Dresden,Germany,54.6,65.4,78.5,50.9,,186.6,免费评估
50,Cornell University,United States,48.8,74.2,64.4,50.0,,185.9,免费评估
