Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Massachusetts Institute of Technology (MIT),United States,66.1,67.9,63.7,100.0,85.9,332.6,免费评估
2,University of Illinois at Urbana-Champaign,United States,54.6,55.8,62.2,92.5,99.2,314.5,免费评估
3,"University of California, Santa Barbara",United States,40.8,70.0,77.5,80.5,95.2,301.9,免费评估
4,University of Michigan-Ann Arbor,United States,57.0,63.1,62.1,87.2,79.5,299.3,免费评估
5,"University of California, Berkeley",United States,51.5,64.7,68.5,77.7,87.9,295.5,免费评估
6,"The Imperial College of Science, Technology and Medicine",United Kingdom,50.0,64.7,85.2,74.0,81.0,286.7,免费评估
7,Swiss Federal Institute of Technology Zurich,Switzerland,56.3,72.2,77.7,81.3,54.5,279.8,免费评估
8,Harbin Institute of Technology,China,100.0,81.5,61.0,84.7,0.0,278.4,免费评估
9,Stanford University,United States,37.9,61.8,58.3,59.3,100.0,270.7,免费评估
10,"The University of Newcastle, Australia",Australia,48.1,64.5,86.3,81.3,54.0,265.1,免费评估
11,California Institute of Technology,United States,32.6,64.7,62.8,53.8,88.2,251.8,免费评估
12,KTH Royal Institute of Technology,Sweden,49.4,69.8,80.3,85.8,30.6,251.6,免费评估
13,University of Toronto,Canada,43.5,61.2,66.4,56.1,71.5,245.6,免费评估
14,The University of Melbourne,Australia,38.4,57.7,74.3,69.1,61.2,241.3,免费评估
15,The Australian National University,Australia,36.8,67.3,90.5,59.9,57.3,239.4,免费评估
16,Harvard University,United States,35.7,88.5,64.5,47.6,53.0,237.7,免费评估
17,Nanyang Technological University,Singapore,69.1,76.1,84.5,72.7,0.0,234.8,免费评估
18,University of Pennsylvania,United States,37.1,73.4,52.4,59.3,53.0,233.4,免费评估
19,"University of California, San Diego",United States,46.4,65.3,68.8,71.8,32.3,229.6,免费评估
20,Zhejiang University,China,81.3,65.5,60.8,68.7,0.0,227.7,免费评估
21,University of Southern California,United States,37.2,61.6,68.1,51.4,61.7,225.6,免费评估
22,"University of Minnesota, Twin Cities",United States,38.8,59.7,47.2,54.4,61.2,223.6,免费评估
23,Sapienza University of Rome,Italy,35.3,60.1,75.2,42.0,71.0,223.4,免费评估
24,City University of Hong Kong,China-Hong Kong,57.6,81.9,54.8,67.8,0.0,218.2,免费评估
25,The University of Tokyo,Japan,43.7,54.6,58.0,41.2,66.7,217.8,免费评估
26,Shanghai Jiao Tong University,China,79.0,56.3,53.3,55.5,15.3,216.8,免费评估
27,Tsinghua University,China,76.9,65.1,58.9,62.4,0.0,216.2,免费评估
28,Carnegie Mellon University,United States,57.8,62.9,63.4,82.4,0.0,215.8,免费评估
29,University of Groningen,Netherlands,36.3,55.8,81.7,61.9,43.3,213.6,免费评估
30,"University of California, Los Angeles",United States,32.9,62.7,70.0,48.9,50.8,209.2,免费评估
31,Université Grenoble Alpes,France,45.4,51.2,66.4,61.4,37.5,208.7,免费评估
32,National University of Singapore,Singapore,64.6,66.3,75.8,62.4,0.0,208.5,免费评估
33,Southeast University,China,71.3,77.8,55.0,44.2,0.0,204.2,免费评估
34,Eindhoven University of Technology,Netherlands,50.0,58.3,70.0,80.9,0.0,203.2,免费评估
35,Beihang University,China,83.0,58.8,44.4,52.0,0.0,202.6,免费评估
36,Polytechnic University of Turin,Italy,42.2,58.8,66.3,49.5,37.5,201.3,免费评估
37,"University of Maryland, College Park",United States,39.5,56.7,65.7,52.6,37.5,199.5,免费评估
38,Northeastern University(China),China,75.2,56.3,51.5,55.5,0.0,197.3,免费评估
39,Georgia Institute of Technology,United States,59.7,54.4,60.5,70.0,0.0,196.3,免费评估
40,The University of Hong Kong,China-Hong Kong,43.8,81.4,56.5,56.6,0.0,193.1,免费评估
41,King Abdulaziz University,Saudi Arabia,40.1,95.3,99.4,37.2,0.0,192.5,免费评估
42,Delft University of Technology,Netherlands,48.3,57.9,75.6,70.9,0.0,192.3,免费评估
43,The University of Adelaide,Australia,36.5,92.1,95.3,44.2,0.0,191.9,免费评估
44,CentraleSupelec,France,50.8,53.2,81.2,71.4,0.0,191.6,免费评估
45,Huazhong University of Science and Technology,China,70.2,64.1,47.9,46.2,0.0,190.2,免费评估
46,曼彻斯特大学The University of Manchester,United Kingdom,41.8,56.3,76.1,46.2,30.6,190.1,免费评估
47,布鲁内尔大学Brunel University,United Kingdom,34.1,100.0,93.7,37.2,0.0,190.0,免费评估
48,Beijing Institute of Technology,China,62.1,63.9,59.1,50.8,0.0,188.6,免费评估
49,University of Lorraine,France,49.2,60.5,67.8,62.9,0.0,186.2,免费评估
50,Technion-Israel Institute of Technology,Israel,35.0,43.1,74.2,48.2,43.3,184.5,免费评估
