Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Tsinghua University,China,90.6,57.7,63.4,100.0,,261.1,免费评估
2,Beijing University of Posts and Telecommunications,China,100.0,47.1,58.4,78.9,,237.6,免费评估
3,Nanyang Technological University,Singapore,73.0,58.1,79.1,87.5,,234.4,免费评估
4,The University of Texas at Austin,United States,47.1,99.6,70.1,66.2,,226.9,免费评估
5,University of British Columbia,Canada,55.8,67.6,78.3,80.4,,219.4,免费评估
6,University of Waterloo,Canada,59.9,61.7,82.4,80.5,,218.6,免费评估
7,Xidian University,China,96.1,42.3,51.1,69.3,,217.9,免费评估
8,Georgia Institute of Technology,United States,59.4,65.6,69.7,75.3,,214.3,免费评估
9,National University of Singapore,Singapore,54.7,74.9,76.5,67.1,,211.9,免费评估
10,Shanghai Jiao Tong University,China,70.6,47.3,56.5,77.6,,206.8,免费评估
11,Southeast University,China,76.7,50.4,58.4,64.1,,203.0,免费评估
11,University of Electronic Science and Technology of China,China,89.5,45.8,59.1,56.0,,203.0,免费评估
13,南安普顿大学University of Southampton,United Kingdom,46.4,65.3,73.9,74.0,,200.5,免费评估
14,Huazhong University of Science and Technology,China,59.4,57.2,72.7,67.4,,198.5,免费评估
15,Korea Advanced Institute of Science and Technology,South Korea,67.2,47.9,50.2,72.7,,197.9,免费评估
16,The Hong Kong University of Science and Technology,China-Hong Kong,49.4,61.5,67.1,72.7,,197.0,免费评估
17,Zhejiang University,China,61.7,56.5,70.7,64.1,,196.5,免费评估
18,CentraleSupelec,France,43.0,77.0,84.2,56.2,,193.1,免费评估
19,City University of Hong Kong,China-Hong Kong,57.7,55.0,58.9,67.1,,191.5,免费评估
20,KTH Royal Institute of Technology,Sweden,53.4,55.9,84.1,64.3,,190.5,免费评估
21,National Taiwan University,China-Taiwan,54.7,48.8,47.4,70.4,,183.3,免费评估
22,Singapore University of Technology and Design,Singapore,33.1,80.5,93.2,50.4,,182.7,免费评估
23,"University of California, Davis",United States,41.5,63.0,74.8,63.0,,182.4,免费评估
24,Polytechnic University of Catalonia,Spain,55.7,51.6,73.9,58.5,,180.6,免费评估
25,Massachusetts Institute of Technology (MIT),United States,51.2,53.0,73.3,61.5,,180.3,免费评估
26,University of Southern California,United States,38.8,68.7,76.1,56.4,,179.1,免费评估
27,National Chiao Tung University,China-Taiwan,57.9,40.3,39.9,71.6,,177.8,免费评估
28,Princeton University,United States,35.9,70.6,85.0,54.0,,177.5,免费评估
29,The Chinese University of Hong Kong,China-Hong Kong,44.0,53.3,63.2,65.3,,175.2,免费评估
30,爱丁堡大学The University of Edinburgh,United Kingdom,34.6,76.0,79.6,48.7,,175.1,免费评估
31,Aalto University,Finland,52.6,55.9,74.7,50.8,,174.3,免费评估
32,Linkoping University,Sweden,29.5,89.7,75.0,39.1,,173.3,免费评估
33,King Abdullah University of Science and Technology,Saudi Arabia,43.7,52.6,89.4,58.5,,172.7,免费评估
34,Chalmers University of Technology,Sweden,44.8,58.3,76.6,54.2,,172.6,免费评估
35,萨里大学University of Surrey,United Kingdom,45.2,58.4,71.8,54.5,,172.5,免费评估
36,University of Science and Technology of China,China,48.4,53.2,61.8,58.1,,171.9,免费评估
37,Yonsei University,South Korea,60.7,44.6,40.7,57.9,,171.4,免费评估
38,Beijing Jiaotong University,China,59.5,47.3,67.5,51.1,,171.3,免费评估
39,Stanford University,United States,42.5,53.7,69.4,60.7,,170.8,免费评估
40,"University of Maryland, College Park",United States,35.4,70.3,67.6,50.6,,169.8,免费评估
41,The Australian National University,Australia,31.7,79.8,77.1,42.4,,169.2,免费评估
42,The University of New South Wales,Australia,42.6,56.7,75.9,54.5,,168.9,免费评估
43,伦敦大学学院University College London,United Kingdom,41.5,60.7,82.3,49.4,,168.1,免费评估
44,University of Manitoba,Canada,37.0,70.6,70.0,45.9,,167.5,免费评估
45,Peking University,China,46.5,56.7,67.8,50.6,,167.3,免费评估
46,The Ohio State University - Columbus,United States,45.0,58.3,60.9,51.1,,166.5,免费评估
47,"University of California, Los Angeles",United States,46.5,49.8,67.8,56.4,,166.2,免费评估
48,University of Houston,United States,35.0,66.4,91.1,44.6,,164.2,免费评估
49,Korea University,South Korea,63.2,36.1,48.3,55.1,,164.0,免费评估
50,New York University,United States,26.9,86.2,67.4,36.6,,163.2,免费评估
