Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,The Ohio State University - Columbus,United States,91.2,82.0,48.0,100.0,,332.6,免费评估
2,Michigan State University,United States,86.9,86.0,50.9,85.7,,307.0,免费评估
3,The University of Texas at Austin,United States,97.8,76.7,42.4,74.8,,301.4,免费评估
4,University of Amsterdam,Netherlands,100.0,80.1,55.2,68.6,,298.5,免费评估
5,University of Wisconsin - Madison,United States,83.6,76.7,40.7,72.8,,277.0,免费评估
6,University of Pennsylvania,United States,87.4,65.3,31.6,64.2,,263.1,免费评估
7,Indiana University Bloomington,United States,81.9,61.5,54.4,68.6,,261.9,免费评估
8,Pennsylvania State University - University Park,United States,82.7,68.4,44.6,61.8,,255.4,免费评估
9,Cornell University,United States,62.3,87.9,39.2,70.7,,247.4,免费评估
10,Northwestern University,United States,72.7,83.3,31.7,61.8,,246.6,免费评估
11,University of Washington,United States,65.7,76.9,42.0,68.6,,244.1,免费评估
12,University of Michigan-Ann Arbor,United States,73.3,76.3,42.3,56.9,,237.7,免费评估
13,"University of California, Santa Barbara",United States,66.2,79.0,44.4,61.8,,236.0,免费评估
14,University of Southern California,United States,68.9,74.3,45.7,59.4,,234.2,免费评估
15,University of Illinois at Urbana-Champaign,United States,74.6,60.6,26.7,59.4,,233.9,免费评估
16,VU University Amsterdam,Netherlands,58.2,84.2,64.1,54.2,,217.1,免费评估
17,Purdue University - West Lafayette,United States,72.0,57.2,40.8,48.5,,213.5,免费评估
18,"University of Minnesota, Twin Cities",United States,62.8,85.5,46.7,42.0,,204.6,免费评估
19,University of North Carolina at Chapel Hill,United States,66.9,69.2,35.5,42.0,,201.5,免费评估
20,"Rutgers, The State University of New Jersey - New Brunswick",United States,49.8,75.8,32.7,56.9,,201.2,免费评估
21,University of Munich,Germany,53.5,72.4,69.8,51.4,,200.5,免费评估
22,University of Kentucky,United States,60.0,77.6,34.6,45.4,,200.4,免费评估
23,University of Zurich,Switzerland,58.4,71.8,66.8,45.4,,198.3,免费评估
24,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,64.3,66.1,52.2,42.0,,197.7,免费评估
25,Nanyang Technological University,Singapore,61.6,57.2,68.7,45.4,,195.9,免费评估
26,Harvard University,United States,61.0,70.6,56.6,42.0,,195.5,免费评估
27,Ghent University,Belgium,60.0,63.3,47.0,45.4,,194.4,免费评估
28,University of Arizona,United States,65.2,69.4,33.0,38.3,,193.4,免费评估
29,The University of Georgia,United States,68.5,69.4,36.6,34.3,,192.5,免费评估
30,City University of Hong Kong,China-Hong Kong,57.1,62.2,53.3,45.4,,190.1,免费评估
31,"University of Maryland, College Park",United States,73.3,73.9,48.4,24.3,,188.1,免费评估
32,Arizona State University,United States,60.0,73.1,35.9,38.3,,187.7,免费评估
33,Washington State University,United States,52.9,73.5,28.8,45.4,,187.0,免费评估
34,The Chinese University of Hong Kong,China-Hong Kong,57.1,54.5,57.9,45.4,,186.8,免费评估
35,University of Antwerp,Belgium,59.5,67.6,51.2,38.3,,185.7,免费评估
36,牛津大学University of Oxford,United Kingdom,64.7,49.4,56.2,38.3,,185.0,免费评估
37,The University of Alabama - Tuscaloosa,United States,65.5,55.5,46.5,34.3,,182.1,免费评估
38,"University at Buffalo, the State University of New York",United States,51.1,77.6,35.6,42.0,,182.0,免费评估
39,The Hebrew University of Jerusalem,Israel,50.2,67.4,45.9,45.4,,181.6,免费评估
40,George Mason University,United States,52.0,82.3,33.2,38.3,,180.0,免费评估
41,University of Vienna,Austria,50.5,76.0,78.2,38.3,,179.0,免费评估
42,University of Mainz,Germany,44.6,67.8,44.7,48.5,,178.0,免费评估
43,National University of Singapore,Singapore,60.3,47.3,53.2,38.3,,176.9,免费评估
44,University of Illinois at Chicago,United States,47.6,77.8,34.2,42.0,,176.7,免费评估
45,University of Sydney,Australia,62.6,67.2,40.1,29.7,,176.0,免费评估
46,Louisiana State University - Baton Rouge,United States,51.7,55.8,65.9,42.0,,175.0,免费评估
47,University of Utah,United States,50.2,65.9,28.1,42.0,,174.0,免费评估
48,Queensland University of Technology,Australia,58.4,59.4,44.0,34.3,,173.2,免费评估
49,KU Leuven,Belgium,55.4,61.0,62.3,34.3,,171.4,免费评估
50,Stanford University,United States,47.0,86.0,52.0,34.3,,170.1,免费评估
