Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Shanghai Jiao Tong University,China,100.0,63.5,61.4,100.0,,275.8,免费评估
2,Norwegian University of Science and Technology - NTNU,Norway,90.9,67.5,59.3,88.9,,259.2,免费评估
3,Dalian University of Technology,China,84.9,58.2,53.0,87.7,,241.3,免费评估
4,University of Lisbon,Portugal,77.3,67.2,59.6,84.2,,240.6,免费评估
5,Delft University of Technology,Netherlands,61.1,69.0,74.2,71.2,,216.1,免费评估
6,Harbin Engineering University,China,69.2,64.4,53.5,69.1,,213.5,免费评估
7,University of Cantabria,Spain,40.1,100.0,61.9,56.6,,209.1,免费评估
8,思克莱德大学University of Strathclyde,UnitedKingdom,54.4,71.8,70.5,65.8,,206.1,免费评估
8,National University of Singapore,Singapore,53.8,66.9,87.0,68.0,,206.1,免费评估
10,Zhejiang University,China,75.2,53.1,60.2,64.6,,205.0,免费评估
11,普利茅斯大学University of Plymouth,UnitedKingdom,55.8,75.7,70.3,58.0,,203.5,免费评估
12,The University of Western Australia,Australia,53.8,66.6,74.6,64.6,,200.0,免费评估
13,Seoul National University,SouthKorea,69.7,51.6,41.1,63.5,,193.0,免费评估
14,南安普顿大学University of Southampton,UnitedKingdom,51.0,67.5,70.7,59.2,,191.9,免费评估
15,Pusan National University,SouthKorea,69.2,59.2,67.6,48.9,,190.8,免费评估
16,The University of New South Wales,Australia,42.4,77.0,78.0,55.3,,190.3,免费评估
17,"University of California, San Diego",UnitedStates,45.0,70.1,53.6,64.1,,189.9,免费评估
18,伦敦大学学院University College London,UnitedKingdom,46.4,70.4,72.4,55.3,,186.6,免费评估
19,Ocean University of China,China,57.5,53.9,59.3,62.3,,185.6,免费评估
20,Technical University of Denmark,Denmark,53.8,61.9,64.3,55.3,,183.9,免费评估
21,University of Oklahoma - Norman,UnitedStates,43.9,63.8,42.1,65.8,,182.0,免费评估
22,Hohai University,China,59.5,57.2,70.9,51.1,,181.9,免费评估
23,University of Michigan-Ann Arbor,UnitedStates,53.2,58.5,59.2,56.0,,179.6,免费评估
24,Tianjin University,China,55.6,58.2,44.7,51.8,,174.5,免费评估
25,The University of Tokyo,Japan,54.4,59.9,57.9,48.1,,174.0,免费评估
26,University of Delaware,UnitedStates,41.3,70.1,75.0,47.3,,173.7,免费评估
27,Nanyang Technological University,Singapore,43.9,66.0,83.2,45.7,,172.3,免费评估
28,Texas A&M University,UnitedStates,43.6,65.1,61.6,49.6,,170.6,免费评估
29,纽卡斯尔大学Newcastle University,UnitedKingdom,56.4,47.9,68.8,51.8,,170.0,免费评估
30,Oregon State University,UnitedStates,41.3,69.6,58.4,44.0,,166.6,免费评估
31,Federal University of Rio de Janeiro,Brazil,43.2,60.2,67.7,48.1,,165.1,免费评估
32,National Technical University of Athens,Greece,45.4,58.9,53.2,48.1,,163.0,免费评估
33,Istanbul Technical University,Turkey,45.0,54.6,58.1,48.9,,160.1,免费评估
34,Osaka University,Japan,44.3,58.9,69.9,41.4,,158.6,免费评估
35,University of Tasmania,Australia,46.1,50.0,62.2,43.2,,151.7,免费评估
36,University of Genoa,Italy,40.9,62.5,57.2,35.6,,150.5,免费评估
37,University of Zagreb,Croatia,41.7,55.7,78.2,32.3,,145.3,免费评估
38,Memorial University of Newfoundland,Canada,40.1,43.1,56.5,41.4,,135.9,免费评估
39,Gdansk University of Technology,Poland,51.7,57.5,11.3,22.9,,134.3,免费评估
40,Yildiz Technical University,Turkey,40.5,51.6,40.9,29.9,,130.2,免费评估
41,Amirkabir University of Technology,Iran,42.8,52.7,33.5,27.3,,129.6,免费评估
42,Gdynia Maritime University,Poland,44.6,46.2,18.5,31.1,,125.7,免费评估
43,Kyushu University,Japan,43.9,39.1,81.0,24.4,,123.7,免费评估
44,China University of Petroleum - Beijing,China,41.7,58.2,56.2,0.0,,111.1,免费评估
