Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,"西雅图华盛顿大学University of Washington,Seattle Campus",UnitedStates,76.9,90.6,65.1,100.0,,280.5,免费评估
2,"加利福尼亚大学圣地亚哥分校University of California,San Diego",UnitedStates,72.6,84.8,73.1,96.6,,268.7,免费评估
3,俄勒冈州立大学Oregon State University,UnitedStates,63.8,85.6,66.0,79.3,,241.8,免费评估
4,南安普顿大学University of Southampton,UnitedKingdom,62.3,86.5,82.1,72.2,,237.4,免费评估
5,Utrecht University,Netherlands,63.7,77.9,85.7,61.7,,220.4,免费评估
6,Ocean University of China,China,100.0,50.5,51.1,58.1,,218.8,免费评估
7,麻省理工学院Massachusetts Institute of Technology,UnitedStates,50.4,93.1,73.2,60.0,,218.1,免费评估
8,University of Hawaii at Manoa,UnitedStates,52.2,85.8,71.7,64.4,,216.7,免费评估
9,哥伦比亚大学Columbia University,UnitedStates,46.7,86.8,79.2,65.3,,214.7,免费评估
10,University of Bergen,Norway,53.1,82.6,81.9,62.1,,214.2,免费评估
11,迈阿密大学University of Miami,UnitedStates,54.4,78.4,70.3,66.0,,212.9,免费评估
12,Universite de Brest,France,52.6,76.3,82.0,64.6,,209.9,免费评估
13,塔斯马尼亚大学University of Tasmania,Australia,55.5,78.7,78.0,56.3,,206.1,免费评估
14,Paul Sabatier University (Toulouse 3),France,44.3,85.8,87.0,57.8,,205.3,免费评估
15,University of Bremen,Germany,50.3,79.0,83.6,57.1,,203.0,免费评估
16,Technical University of Denmark,Denmark,49.2,78.7,91.3,56.0,,202.2,免费评估
17,斯坦福大学Stanford University,UnitedStates,39.5,98.7,70.3,47.4,,199.7,免费评估
18,University of Hamburg,Germany,50.0,73.2,81.5,59.5,,199.0,免费评估
19,加利福尼亚大学圣克鲁兹分校University of California， Santa Cruz,UnitedStates,46.2,91.5,71.1,46.2,,198.1,免费评估
20,加利福尼亚理工学院California Institute of Technology,UnitedStates,37.7,91.7,71.3,54.2,,197.9,免费评估
21,普林斯顿大学Princeton University,UnitedStates,36.6,95.7,77.8,49.8,,197.7,免费评估
22,University of Alaska - Fairbanks,UnitedStates,45.5,89.2,72.8,47.1,,196.4,免费评估
23,新南威尔士大学The University of New South Wales,Australia,47.9,74.9,81.2,56.8,,195.8,免费评估
24,西澳大学The University of Western Australia,Australia,51.5,76.8,78.4,45.9,,189.8,免费评估
25,特拉华大学University of Delaware,UnitedStates,41.1,81.0,70.0,52.6,,188.8,免费评估
26,"加州大学洛杉矶分校University of California,Los Angeles",UnitedStates,33.5,94.0,79.1,44.9,,188.2,免费评估
27,佛罗里达州立大学Florida State University,UnitedStates,43.0,82.1,70.8,48.6,,187.8,免费评估
28,科罗拉多大学波尔得分校University of Colorado Boulder,UnitedStates,37.2,86.1,70.3,48.9,,186.2,免费评估
29,University of Rhode Island,UnitedStates,43.8,79.2,70.6,48.9,,186.0,免费评估
30,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",UnitedStates,40.0,85.6,61.7,47.4,,185.3,免费评估
31,The University of Tokyo,Japan,53.9,67.5,59.3,51.2,,184.5,免费评估
32,德克萨斯A&M大学Texas A & M University,UnitedStates,43.9,75.2,76.9,49.8,,184.2,免费评估
32,Sorbonne University,France,43.8,81.0,85.5,42.3,,184.2,免费评估
34,Aix Marseille University,France,41.9,85.6,83.8,39.4,,183.7,免费评估
35,南佛罗里达大学University of South Florida,UnitedStates,42.7,82.6,59.1,46.2,,183.3,免费评估
36,威廉与玛丽学院College of William and Mary,UnitedStates,42.6,86.8,65.7,39.8,,182.3,免费评估
37,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,44.1,83.6,58.5,42.6,,182.0,免费评估
38,达尔豪斯大学Dalhousie University,Canada,45.9,72.9,75.3,48.0,,181.9,免费评估
39,维多利亚大学University of Victoria,Canada,40.1,80.5,79.0,44.9,,181.3,免费评估
40,东英吉利大学University of East Anglia,UnitedKingdom,32.0,87.7,85.8,42.9,,179.8,免费评估
41,布里斯托大学University of Bristol,UnitedKingdom,27.6,100.0,86.4,34.4,,179.3,免费评估
42,剑桥大学University of Cambridge,UnitedKingdom,36.6,83.8,77.8,42.6,,178.6,免费评估
43,澳大利亚国立大学The Australian National University,Australia,30.9,88.5,85.2,41.9,,178.4,免费评估
44,英属哥伦比亚大学University of British Columbia,Canada,42.9,76.8,86.9,41.2,,178.3,免费评估
45,Old Dominion University,UnitedStates,38.4,86.5,66.1,38.3,,176.5,免费评估
46,普利茅斯大学University of Plymouth,UnitedKingdom,38.7,83.6,79.1,38.3,,176.4,免费评估
47,Stockholm University,Sweden,42.4,72.3,85.8,44.3,,176.1,免费评估
48,Aarhus University,Denmark,39.9,82.1,92.8,34.0,,174.5,免费评估
49,Hokkaido University,Japan,47.5,66.3,69.2,46.5,,174.1,免费评估
50,Xiamen University,China,51.9,65.3,69.0,42.3,,173.3,免费评估
