Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,"University of California, San Francisco",UnitedStates,56.8,85.8,62.9,44.5,100.0,299.6,免费评估
2,Harvard University,UnitedStates,100.0,84.2,67.0,100.0,0.0,297.6,免费评估
3,剑桥大学University of Cambridge,UnitedKingdom,38.5,88.4,82.0,37.7,100.0,281.0,免费评估
4,"University of California, Los Angeles",UnitedStates,53.4,82.6,61.5,43.2,47.1,238.6,免费评估
5,University of Toronto,Canada,70.2,80.9,75.8,56.6,0.0,222.9,免费评估
6,Johns Hopkins University,UnitedStates,66.1,85.5,63.3,53.6,0.0,217.9,免费评估
7,伦敦大学学院University College London,UnitedKingdom,58.8,83.2,78.1,57.0,0.0,214.6,免费评估
8,The University of Western Australia,Australia,34.0,82.8,72.3,32.5,50.0,213.8,免费评估
9,牛津大学University of Oxford,UnitedKingdom,45.0,93.9,82.1,58.2,0.0,213.5,免费评估
10,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,38.5,79.4,55.4,26.4,57.7,213.1,免费评估
11,University of Pennsylvania,UnitedStates,59.3,84.9,56.8,48.3,0.0,203.9,免费评估
12,帝国理工学院Imperial College London,UnitedKingdom,47.0,87.8,82.6,51.6,0.0,202.9,免费评估
13,University of Washington,UnitedStates,53.8,87.9,59.5,49.1,0.0,202.7,免费评估
14,Mayo Medical School,UnitedStates,62.2,82.0,58.6,42.0,0.0,197.9,免费评估
15,The University of Texas Health Science Center at Houston,UnitedStates,33.7,76.6,62.1,25.9,47.1,195.8,免费评估
16,University of Sydney,Australia,51.1,83.3,72.9,45.8,0.0,194.7,免费评估
17,London School of Hygiene & Tropical Medicine,UnitedKingdom,26.8,98.8,91.7,50.1,0.0,194.0,免费评估
17,Stanford University,UnitedStates,52.6,85.3,63.9,43.4,0.0,194.0,免费评估
19,Columbia University,UnitedStates,52.2,84.0,63.8,44.2,0.0,193.2,免费评估
20,Duke University,UnitedStates,52.0,83.4,61.5,45.1,0.0,192.8,免费评估
21,Karolinska Institute,Sweden,53.8,80.9,81.9,40.1,0.0,191.2,免费评估
22,"University of Pittsburgh, Pittsburgh Campus",UnitedStates,54.8,83.1,58.0,39.6,0.0,189.1,免费评估
23,Emory University,UnitedStates,45.9,88.5,58.5,42.5,0.0,188.6,免费评估
24,伦敦国王学院King's College London,UnitedKingdom,46.4,83.7,79.6,41.7,0.0,187.6,免费评估
25,The University of Melbourne,Australia,48.6,80.3,73.9,42.7,0.0,186.4,免费评估
25,University of Michigan-Ann Arbor,UnitedStates,55.4,80.7,55.2,39.2,0.0,186.4,免费评估
27,University of Copenhagen,Denmark,51.4,79.4,73.6,38.9,0.0,184.4,免费评估
28,Yale University,UnitedStates,48.1,85.0,61.6,38.1,0.0,183.6,免费评估
29,McMaster University,Canada,36.9,89.1,74.3,41.2,0.0,182.0,免费评估
29,"University of California, San Diego",UnitedStates,45.0,85.8,64.4,38.3,0.0,182.0,免费评估
31,Washington University in St. Louis,UnitedStates,45.1,87.5,55.1,37.4,0.0,181.0,免费评估
32,Erasmus University Rotterdam,Netherlands,45.6,84.2,74.6,36.2,0.0,180.9,免费评估
32,University of Amsterdam,Netherlands,46.6,80.7,74.8,38.7,0.0,180.9,免费评估
34,KU Leuven,Belgium,39.5,86.8,86.5,35.6,0.0,179.2,免费评估
35,Heidelberg University,Germany,47.1,81.1,72.8,36.4,0.0,179.1,免费评估
36,Icahn School of Medicine at Mount Sinai,UnitedStates,43.2,84.6,65.7,37.9,0.0,178.9,免费评估
37,The University of Texas M. D. Anderson Cancer Center,UnitedStates,47.7,84.7,66.7,31.8,0.0,177.6,免费评估
38,University of Barcelona,Spain,43.0,83.5,74.2,35.0,0.0,176.4,免费评估
39,Northwestern University,UnitedStates,46.4,84.5,53.8,34.4,0.0,176.1,免费评估
40,爱丁堡大学The University of Edinburgh,UnitedKingdom,31.4,91.8,77.6,37.0,0.0,175.7,免费评估
41,University of North Carolina at Chapel Hill,UnitedStates,45.0,83.2,58.5,35.6,0.0,175.5,免费评估
42,University of Alabama at Birmingham,UnitedStates,39.9,87.1,54.7,35.6,0.0,173.5,免费评估
42,University of Montreal,Canada,38.4,81.5,75.1,38.5,0.0,173.5,免费评估
44,University of British Columbia,Canada,43.4,80.7,75.4,34.2,0.0,173.4,免费评估
45,伯明翰大学University of Birmingham,UnitedKingdom,34.1,88.6,72.6,33.5,0.0,170.7,免费评估
46,McGill University,Canada,43.1,80.5,76.4,31.1,0.0,170.0,免费评估
47,University of Oslo,Norway,39.1,82.4,77.7,32.9,0.0,169.9,免费评估
48,Vanderbilt University,UnitedStates,43.2,84.2,55.9,31.1,0.0,169.7,免费评估
49,Cornell University,UnitedStates,42.0,82.2,61.3,32.9,0.0,169.3,免费评估
49,Free University Berlin,Germany,44.4,76.8,71.5,33.8,0.0,169.3,免费评估
49,University of Groningen,Netherlands,40.3,81.8,71.7,32.9,0.0,169.3,免费评估
