Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Harbin Institute of Technology,China,99.2,76.5,61.4,100.0,,288.0,免费评估
2,Tsinghua University,China,100.0,63.0,54.6,80.9,,254.8,免费评估
3,Zhejiang University,China,85.3,65.3,54.5,90.6,,252.1,免费评估
4,Beihang University,China,95.3,65.0,51.2,81.1,,251.5,免费评估
5,Jilin University,China,67.4,76.1,36.6,79.7,,230.5,免费评估
6,Nanyang Technological University,Singapore,69.8,73.7,82.6,69.9,,229.8,免费评估
7,Huazhong University of Science and Technology,China,83.5,62.0,44.7,74.5,,229.0,免费评估
8,Southeast University,China,75.9,69.5,56.5,69.3,,226.0,免费评估
9,Dalian University of Technology,China,68.8,65.3,57.6,71.9,,217.6,免费评估
10,University of Chicago,UnitedStates,79.6,70.5,79.1,49.9,,215.8,免费评估
11,Shanghai Jiao Tong University,China,76.6,59.3,56.5,65.6,,212.8,免费评估
12,Aalborg University,Denmark,37.5,100.0,88.9,54.1,,209.3,免费评估
13,Xi'an Jiaotong University,China,81.5,57.7,47.9,59.0,,207.8,免费评估
14,Nanjing University of Aeronautics and Astronautics,China,61.2,70.1,52.2,65.6,,207.3,免费评估
15,National University of Singapore,Singapore,59.5,70.5,81.0,59.2,,205.4,免费评估
16,Northeastern University (Shenyang),China,61.5,62.6,45.9,71.6,,204.8,免费评估
17,Tianjin University,China,76.3,61.4,49.1,56.3,,203.8,免费评估
18,King Abdulaziz University,SaudiArabia,37.8,100.0,100.0,45.0,,202.8,免费评估
18,"University of California, Berkeley",UnitedStates,74.2,68.6,81.7,43.7,,202.8,免费评估
20,Swiss Federal Institute of Technology Zurich,Switzerland,63.2,79.2,81.9,43.4,,202.1,免费评估
21,Stanford University,UnitedStates,68.2,67.8,82.8,48.9,,201.4,免费评估
22,Chongqing University,China,64.9,65.6,53.4,59.2,,200.4,免费评估
23,The University of Tokyo,Japan,81.1,55.1,63.4,51.3,,200.2,免费评估
23,University of Electronic Science and Technology of China,China,61.6,70.4,61.8,55.8,,200.2,免费评估
25,University of Science and Technology of China,China,73.2,56.3,56.4,57.3,,198.1,免费评估
26,帝国理工学院Imperial College London,UnitedKingdom,58.2,79.4,87.7,42.6,,197.7,免费评估
27,University of Malaya,Malaysia,56.7,84.4,79.2,39.3,,196.3,免费评估
28,Massachusetts Institute of Technology (MIT),UnitedStates,65.9,75.1,74.6,40.2,,196.1,免费评估
29,牛津大学University of Oxford,UnitedKingdom,59.8,69.1,86.8,48.9,,195.1,免费评估
30,Korea Advanced Institute of Science and Technology,SouthKorea,63.7,63.5,51.0,57.5,,194.9,免费评估
31,曼彻斯特大学The University of Manchester,UnitedKingdom,61.7,70.2,85.2,44.8,,193.7,免费评估
32,University of Alberta,Canada,53.4,71.4,76.3,53.6,,193.6,免费评估
33,Islamic Azad University,Iran,54.1,81.4,59.7,45.6,,193.0,免费评估
34,University of Antwerp,Belgium,36.3,100.0,88.6,38.4,,192.4,免费评估
35,"University of Maryland, College Park",UnitedStates,52.1,84.6,74.2,40.2,,191.8,免费评估
36,Isfahan University of Technology,Iran,38.3,97.7,53.2,44.8,,191.4,免费评估
37,Sapienza University of Rome,Italy,63.3,74.1,76.1,38.1,,190.7,免费评估
38,University of Michigan-Ann Arbor,UnitedStates,67.5,62.3,67.7,45.0,,188.4,免费评估
39,City University of Hong Kong,China-HongKong,47.5,77.1,59.9,51.3,,187.8,免费评估
40,Beijing Institute of Technology,China,62.6,60.8,54.6,53.2,,187.4,免费评估
41,Hunan University,China,46.1,73.6,55.4,56.5,,187.3,免费评估
41,布里斯托大学University of Bristol,UnitedKingdom,44.8,87.0,82.3,39.0,,187.3,免费评估
43,South China University of Technology,China,46.0,76.8,59.7,52.2,,187.0,免费评估
44,"University of California, San Diego",UnitedStates,41.0,91.3,75.3,39.3,,186.7,免费评估
45,Korea University,SouthKorea,53.8,77.5,68.5,40.8,,185.8,免费评估
45,University of Padua,Italy,56.6,74.9,79.9,38.4,,185.8,免费评估
47,Polytechnic University of Catalonia,Spain,49.7,70.1,76.5,50.1,,185.3,免费评估
48,University of Seville,Spain,44.2,89.6,77.7,35.4,,184.7,免费评估
49,The Ohio State University - Columbus,UnitedStates,46.7,89.0,75.9,33.7,,184.5,免费评估
50,Shandong University,China,55.6,66.5,52.2,51.8,,184.3,免费评估
