Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,University of Colorado at Boulder,UnitedStates,80.8,84.9,77.8,97.2,100.0,378.4,免费评估
2,California Institute of Technology,UnitedStates,85.5,91.0,79.5,100.0,61.2,353.6,免费评估
3,Columbia University,UnitedStates,71.0,90.6,86.6,81.2,86.6,346.7,免费评估
4,剑桥大学University of Cambridge,UnitedKingdom,75.6,81.7,92.5,63.0,100.0,338.8,免费评估
5,"University of California, San Diego",UnitedStates,58.8,83.9,77.2,68.4,86.6,313.1,免费评估
6,Swiss Federal Institute of Technology Zurich,Switzerland,94.2,87.2,95.2,85.0,0.0,285.4,免费评估
7,Massachusetts Institute of Technology (MIT),UnitedStates,63.5,84.2,81.7,72.0,35.4,271.4,免费评估
8,Sorbonne University,France,94.1,75.1,90.9,80.9,0.0,268.2,免费评估
9,Harvard University,UnitedStates,50.1,91.0,81.1,51.8,50.0,259.2,免费评估
10,University of Copenhagen,Denmark,60.2,81.6,95.6,44.5,50.0,255.4,免费评估
11,"University of California, Berkeley",UnitedStates,74.7,80.9,82.1,81.3,0.0,253.3,免费评估
12,University Paris Diderot - Paris 7,France,56.7,80.3,89.0,62.1,35.4,252.2,免费评估
13,Utrecht University,Netherlands,78.5,87.6,96.5,66.7,0.0,252.0,免费评估
14,"University of California, Los Angeles",UnitedStates,64.3,81.9,84.8,83.3,0.0,246.5,免费评估
15,University of Washington,UnitedStates,66.7,91.3,78.1,69.4,0.0,243.0,免费评估
16,布里斯托大学University of Bristol,UnitedKingdom,73.1,90.2,92.6,59.6,0.0,241.4,免费评估
17,The University of Texas at Austin,UnitedStates,83.1,80.4,75.5,61.5,0.0,240.1,免费评估
18,牛津大学University of Oxford,UnitedKingdom,72.1,86.7,93.5,62.2,0.0,239.8,免费评估
19,University of Iowa,UnitedStates,38.4,81.6,78.7,52.5,50.0,238.2,免费评估
20,The University of Tokyo,Japan,83.5,65.8,74.2,70.1,0.0,234.3,免费评估
21,Université Grenoble Alpes,France,76.4,80.2,91.8,57.8,0.0,232.8,免费评估
22,利兹大学University of Leeds,UnitedKingdom,64.2,86.9,91.4,59.8,0.0,229.3,免费评估
23,University of Versailles Saint-Quentin-en-Yvelines,France,59.0,96.4,94.7,53.0,0.0,227.3,免费评估
24,"University of Maryland, College Park",UnitedStates,57.0,90.0,82.4,62.9,0.0,226.4,免费评估
25,The Australian National University,Australia,69.0,83.2,93.3,55.3,0.0,226.2,免费评估
26,China University of Geosciences (Wuhan),China,93.6,71.2,75.7,44.8,0.0,224.7,免费评估
27,伦敦大学学院University College London,UnitedKingdom,63.8,85.8,92.4,52.1,0.0,220.2,免费评估
28,帝国理工学院Imperial College London,UnitedKingdom,64.0,81.5,90.5,56.5,0.0,220.1,免费评估
29,University of Arizona,UnitedStates,66.5,84.0,81.3,52.6,0.0,219.4,免费评估
30,Stanford University,UnitedStates,66.9,76.7,74.0,58.6,0.0,217.0,免费评估
31,Paul Sabatier University (Toulouse 3),France,59.3,81.7,93.6,56.5,0.0,216.2,免费评估
32,China University of Geosciences (Beijing),China,100.0,71.2,70.9,30.5,0.0,215.8,免费评估
33,Princeton University,UnitedStates,46.0,96.7,83.6,55.1,0.0,214.5,免费评估
34,南安普顿大学University of Southampton,UnitedKingdom,63.4,78.9,89.4,53.0,0.0,213.1,免费评估
35,杜伦大学Durham University,UnitedKingdom,63.3,82.3,91.3,49.1,0.0,212.9,免费评估
36,Peking University,China,74.7,75.5,76.0,46.5,0.0,211.9,免费评估
36,"University of Minnesota, Twin Cities",UnitedStates,56.1,86.8,83.8,52.1,0.0,211.9,免费评估
38,Pennsylvania State University - University Park,UnitedStates,59.3,81.5,78.6,55.3,0.0,211.8,免费评估
39,University of Bremen,Germany,62.6,79.4,92.9,50.8,0.0,211.5,免费评估
40,The University of New South Wales,Australia,59.6,88.5,85.0,43.5,0.0,208.7,免费评估
41,University of Bern,Switzerland,63.0,78.7,96.0,47.0,0.0,208.0,免费评估
42,University of Michigan-Ann Arbor,UnitedStates,56.3,78.2,76.0,57.4,0.0,207.1,免费评估
43,University of Alberta,Canada,69.9,73.9,85.9,46.0,0.0,207.0,免费评估
44,University of Wisconsin - Madison,UnitedStates,57.7,78.8,78.3,53.7,0.0,206.0,免费评估
45,Johns Hopkins University,UnitedStates,47.0,80.7,75.2,61.9,0.0,204.6,免费评估
46,University of Savoy,France,60.6,77.0,91.8,47.9,0.0,203.8,免费评估
47,University of Oslo,Norway,59.7,81.9,93.0,42.9,0.0,203.1,免费评估
48,"University of California, Irvine",UnitedStates,41.1,100.0,81.1,45.8,0.0,203.0,免费评估
49,Curtin University,Australia,64.7,78.5,92.3,41.1,0.0,202.8,免费评估
49,"University of California, Santa Cruz",UnitedStates,46.5,93.2,82.6,46.5,0.0,202.8,免费评估
