Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,University of Colorado at Boulder,UnitedStates,100.0,81.3,74.0,100.0,,296.1,免费评估
2,University of Versailles Saint-Quentin-en-Yvelines,France,73.3,87.8,93.0,91.1,,270.7,免费评估
3,California Institute of Technology,UnitedStates,77.0,81.7,79.2,79.6,,254.1,免费评估
4,Sorbonne University,France,78.1,76.7,91.7,75.6,,248.7,免费评估
5,Swiss Federal Institute of Technology Zurich,Switzerland,65.1,90.2,90.5,67.8,,241.1,免费评估
6,Harvard University,UnitedStates,58.2,89.5,82.4,71.8,,235.9,免费评估
7,利兹大学University of Leeds,UnitedKingdom,56.9,86.8,89.7,70.6,,232.2,免费评估
8,Karlsruhe Institute of Technology (KIT),Germany,63.3,75.3,88.3,74.3,,230.5,免费评估
9,Columbia University,UnitedStates,72.0,87.0,77.3,54.5,,228.9,免费评估
10,Colorado State University,UnitedStates,72.0,76.6,64.9,63.3,,224.8,免费评估
11,University of Helsinki,Finland,56.8,77.2,91.3,72.0,,224.2,免费评估
12,Peking University,China,63.2,79.1,78.8,63.1,,221.1,免费评估
13,雷丁大学University of Reading,UnitedKingdom,72.6,81.7,79.0,50.2,,220.3,免费评估
14,"University of Maryland, College Park",UnitedStates,72.2,80.4,77.7,49.6,,217.8,免费评估
15,"University of California, Irvine",UnitedStates,51.6,89.6,80.1,56.3,,213.5,免费评估
15,University of Washington,UnitedStates,69.3,79.8,64.2,51.6,,213.5,免费评估
17,Princeton University,UnitedStates,58.9,90.1,75.8,48.8,,213.0,免费评估
18,Nanjing University of Information Science & Technology,China,91.4,59.2,70.5,47.9,,212.7,免费评估
19,"University of California, San Diego",UnitedStates,59.9,81.2,76.8,52.7,,209.1,免费评估
20,Massachusetts Institute of Technology (MIT),UnitedStates,58.9,78.9,75.0,55.3,,208.0,免费评估
21,Tsinghua University,China,53.8,85.3,77.4,51.6,,206.1,免费评估
22,"University of California, Berkeley",UnitedStates,53.6,86.0,70.9,50.5,,204.3,免费评估
23,Stockholm University,Sweden,52.5,76.2,93.6,54.5,,201.9,免费评估
24,University of Toronto,Canada,50.0,74.8,89.2,57.7,,200.3,免费评估
25,东英吉利大学University of East Anglia,UnitedKingdom,42.2,94.9,91.6,44.6,,200.0,免费评估
26,埃克塞特大学University of Exeter,UnitedKingdom,43.7,97.3,79.3,43.0,,199.9,免费评估
27,University of Wageningen,Netherlands,48.0,90.0,91.0,43.3,,199.4,免费评估
28,Georgia Institute of Technology,UnitedStates,44.4,85.9,77.7,51.0,,196.9,免费评估
29,牛津大学University of Oxford,UnitedKingdom,51.9,82.8,83.8,44.3,,195.8,免费评估
30,University of Bern,Switzerland,47.9,82.8,90.0,45.5,,194.2,免费评估
31,"University of California, Los Angeles",UnitedStates,56.7,73.0,79.3,42.7,,188.3,免费评估
32,剑桥大学University of Cambridge,UnitedKingdom,42.5,79.6,87.8,48.2,,187.9,免费评估
33,Utrecht University,Netherlands,46.2,83.3,90.1,40.0,,187.5,免费评估
34,Carnegie Mellon University,UnitedStates,32.2,92.6,80.8,44.3,,185.3,免费评估
35,University of Wisconsin - Madison,UnitedStates,60.3,74.8,70.5,35.9,,185.1,免费评估
36,Université Grenoble Alpes,France,44.5,77.1,89.5,44.3,,183.7,免费评估
37,The University of New South Wales,Australia,48.9,87.4,84.9,30.4,,183.6,免费评估
38,曼彻斯特大学The University of Manchester,UnitedKingdom,39.5,73.2,86.0,53.5,,183.3,免费评估
39,Nanjing University,China,60.0,61.7,72.2,46.7,,182.9,免费评估
40,University of Copenhagen,Denmark,36.7,88.5,96.9,37.8,,182.3,免费评估
41,University of Mainz,Germany,34.0,76.1,87.5,54.0,,181.6,免费评估
42,University of Eastern Finland,Finland,32.3,83.7,91.6,46.7,,181.1,免费评估
43,University of Innsbruck,Austria,36.2,83.5,94.9,42.3,,181.0,免费评估
44,VU University Amsterdam,Netherlands,32.4,99.0,94.0,29.9,,180.1,免费评估
45,Beijing Normal University,China,65.2,69.2,72.0,31.3,,180.0,免费评估
45,Paul Sabatier University (Toulouse 3),France,46.5,71.9,91.2,43.3,,180.0,免费评估
47,Stanford University,UnitedStates,36.8,96.7,70.8,31.8,,179.4,免费评估
48,"University of California, Davis",UnitedStates,41.7,80.7,70.2,42.7,,179.1,免费评估
49,University of Bremen,Germany,42.7,69.0,90.4,49.1,,178.9,免费评估
50,爱丁堡大学The University of Edinburgh,UnitedKingdom,34.5,82.3,85.3,44.9,,178.8,免费评估
