Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Harvard University,UnitedStates,95.3,100.0,78.5,100.0,,311.0,免费评估
2,Massachusetts Institute of Technology (MIT),UnitedStates,69.5,100.0,76.6,76.9,,261.7,免费评估
3,Stanford University,UnitedStates,67.9,96.4,70.6,68.2,,246.7,免费评估
4,Zhejiang University,China,100.0,64.5,52.7,68.9,,244.0,免费评估
5,"University of California, Berkeley",UnitedStates,66.1,100.0,71.1,61.8,,242.1,免费评估
6,Technical University of Denmark,Denmark,71.4,85.6,82.3,60.6,,234.2,免费评估
7,剑桥大学University of Cambridge,UnitedKingdom,62.1,95.6,83.2,59.1,,233.5,免费评估
8,Harbin Institute of Technology,China,68.7,79.8,58.9,71.4,,231.6,免费评估
9,The University of Queensland,Australia,65.2,91.9,81.3,54.8,,228.2,免费评估
10,University of Copenhagen,Denmark,68.6,88.5,85.6,53.8,,228.1,免费评估
11,Johns Hopkins University,UnitedStates,58.9,100.0,73.0,54.0,,227.5,免费评估
12,Cornell University,UnitedStates,69.4,89.8,69.7,53.8,,226.9,免费评估
13,"University of California, San Diego",UnitedStates,61.4,94.4,75.9,55.4,,226.4,免费评估
14,伦敦大学学院University College London,UnitedKingdom,62.5,85.0,83.9,60.1,,224.4,免费评估
15,Seoul National University,SouthKorea,83.0,73.6,51.1,57.1,,223.9,免费评估
16,牛津大学University of Oxford,UnitedKingdom,57.8,92.8,85.1,54.0,,221.6,免费评估
17,National University of Singapore,Singapore,70.2,71.4,78.7,63.8,,221.1,免费评估
18,University of Toronto,Canada,64.1,81.0,80.4,59.2,,220.4,免费评估
19,"University of Minnesota, Twin Cities",UnitedStates,67.8,82.1,66.7,56.1,,219.3,免费评估
20,Tsinghua University,China,69.3,73.1,65.0,63.4,,218.9,免费评估
21,University of Washington,UnitedStates,58.1,90.2,68.0,56.5,,218.4,免费评估
22,Shanghai Jiao Tong University,China,85.2,62.7,53.9,57.7,,216.4,免费评估
22,University of Pennsylvania,UnitedStates,60.9,83.5,62.8,59.5,,216.4,免费评估
24,Ghent University,Belgium,69.9,73.6,82.6,56.0,,216.0,免费评估
24,"University of California, Los Angeles",UnitedStates,57.1,88.6,71.7,56.0,,216.0,免费评估
26,University of Wageningen,Netherlands,68.7,78.4,82.8,50.1,,213.7,免费评估
27,Jiangnan University,China,90.3,60.6,48.6,52.5,,213.1,免费评估
28,University of Illinois at Urbana-Champaign,UnitedStates,63.7,81.8,74.3,52.5,,212.8,免费评估
29,Shandong University,China,74.3,68.1,47.6,59.9,,211.7,免费评估
30,"University of California, Davis",UnitedStates,69.5,79.0,70.3,48.8,,211.4,免费评估
31,The Ohio State University - Columbus,UnitedStates,66.5,76.3,69.1,54.3,,210.9,免费评估
32,King Abdulaziz University,SaudiArabia,53.2,100.0,100.0,36.2,,209.4,免费评估
33,爱丁堡大学The University of Edinburgh,UnitedKingdom,58.3,87.8,77.8,46.7,,208.4,免费评估
34,Baylor College of Medicine,UnitedStates,49.4,97.1,66.8,48.3,,208.1,免费评估
35,帝国理工学院Imperial College London,UnitedKingdom,58.7,77.8,84.9,54.0,,207.4,免费评估
36,University of Florida,UnitedStates,68.6,75.0,69.9,49.5,,207.0,免费评估
36,University of Sao Paulo,Brazil,86.7,59.6,64.9,47.7,,207.0,免费评估
38,University of British Columbia,Canada,57.1,82.8,84.5,50.1,,206.9,免费评估
38,University of Wisconsin - Madison,UnitedStates,61.8,81.8,62.8,50.7,,206.9,免费评估
40,Swiss Federal Institute of Technology Zurich,Switzerland,53.3,85.0,85.4,50.7,,206.1,免费评估
41,RWTH Aachen University,Germany,52.2,98.5,68.6,40.8,,205.2,免费评估
42,The University of Melbourne,Australia,51.6,99.1,78.2,38.9,,205.1,免费评估
43,University of Michigan-Ann Arbor,UnitedStates,56.6,82.5,66.2,52.2,,204.6,免费评估
44,Karolinska Institute,Sweden,49.3,93.8,92.7,41.4,,203.0,免费评估
45,The University of Tokyo,Japan,73.4,66.1,55.8,49.8,,200.4,免费评估
46,University of North Carolina at Chapel Hill,UnitedStates,50.4,89.6,65.4,47.2,,200.3,免费评估
47,"University of California, San Francisco",UnitedStates,49.3,90.7,70.2,46.0,,200.1,免费评估
48,Washington University in St. Louis,UnitedStates,47.9,90.4,61.7,48.7,,199.2,免费评估
49,Korea Advanced Institute of Science and Technology,SouthKorea,60.1,71.7,47.7,57.7,,199.1,免费评估
50,Sorbonne University,France,51.6,85.6,80.5,45.2,,198.4,免费评估
