Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Central South University,China,89.3,82.9,46.5,92.2,,273.6,免费评估
2,China University of Geosciences (Beijing),China,74.7,88.7,64.1,96.2,,272.5,免费评估
3,The University of Queensland,Australia,73.4,68.6,60.9,100.0,,254.2,免费评估
4,China University of Mining and Technology - Xuzhou,China,80.8,83.7,47.9,75.8,,250.0,免费评估
5,The University of Western Australia,Australia,54.8,94.2,90.5,75.1,,242.2,免费评估
6,China University of Geosciences (Wuhan),China,57.0,88.7,64.1,64.8,,223.3,免费评估
7,University of Science and Technology Beijing,China,100.0,55.0,36.6,45.8,,208.1,免费评估
8,The University of New South Wales,Australia,48.9,83.9,67.5,58.7,,204.9,免费评估
9,Nanjing University,China,38.9,100.0,56.4,52.4,,202.5,免费评估
10,Monash University,Australia,38.6,99.7,78.3,48.1,,202.0,免费评估
11,Curtin University,Australia,49.1,72.5,82.6,62.2,,200.4,免费评估
12,Peking University,China,37.6,100.0,55.2,50.8,,199.4,免费评估
13,The University of Adelaide,Australia,37.3,99.0,76.4,46.9,,198.5,免费评估
14,McGill University,Canada,51.6,67.6,64.7,63.9,,196.1,免费评估
15,China University of Mining and Technology - Beijing,China,51.1,83.7,47.9,48.1,,192.5,免费评估
16,University of Tasmania,Australia,31.6,100.0,88.6,42.8,,192.1,免费评估
17,Northeastern University (Shenyang),China,71.2,64.3,38.7,45.8,,189.1,免费评估
18,University of Alberta,Canada,44.7,73.9,72.9,49.7,,182.9,免费评估
19,University of Lorraine,France,36.0,80.5,80.4,49.2,,181.7,免费评估
20,University of Cape Town,SouthAfrica,46.1,60.6,57.8,61.3,,179.6,免费评估
21,Kyushu University,Japan,31.2,94.0,85.3,33.6,,175.9,免费评估
22,University of British Columbia,Canada,41.6,69.0,73.6,45.2,,170.6,免费评估
23,Sichuan University,China,32.0,89.2,56.7,36.7,,169.2,免费评估
23,University of Kentucky,UnitedStates,29.2,100.0,73.1,25.4,,169.2,免费评估
25,Shandong University of Science & Technology,China,32.4,94.7,53.8,31.1,,169.0,免费评估
26,James Cook University,Australia,25.7,85.6,100.0,36.7,,167.9,免费评估
27,帝国理工学院Imperial College London,UnitedKingdom,32.4,81.1,77.7,36.7,,165.7,免费评估
28,Pennsylvania State University - University Park,UnitedStates,31.2,87.3,70.2,32.8,,165.4,免费评估
29,The University of Texas at Austin,UnitedStates,27.9,100.0,76.4,22.0,,165.2,免费评估
30,University of South Australia,Australia,34.9,70.7,66.0,45.8,,164.7,免费评估
31,Technical University Freiberg,Germany,34.2,72.5,75.0,42.1,,163.9,免费评估
32,Sun Yat-sen University,China,25.7,88.4,65.0,35.9,,162.9,免费评估
33,Queen's University,Canada,27.9,80.5,65.0,38.1,,159.5,免费评估
34,University of Tehran,Iran,47.1,61.0,54.5,40.2,,159.2,免费评估
35,Kunming University of Science and Technology,China,44.4,67.6,25.3,41.5,,158.6,免费评估
36,University of Utah,UnitedStates,37.0,68.2,62.4,40.8,,158.5,免费评估
37,"The University of Newcastle, Australia",Australia,31.2,72.5,53.4,44.0,,158.4,免费评估
38,China University of Petroleum - Beijing,China,40.1,82.8,63.7,22.0,,157.7,免费评估
38,University of Chile,Chile,37.9,61.8,63.6,45.2,,157.7,免费评估
40,Jilin University,China,46.9,68.2,21.5,36.7,,156.0,免费评估
41,Lulea University of Technology,Sweden,41.9,56.9,62.4,44.6,,155.9,免费评估
41,埃克塞特大学University of Exeter,UnitedKingdom,28.8,74.1,82.0,36.7,,155.9,免费评估
43,RMIT University,Australia,26.6,89.2,59.8,27.4,,155.2,免费评估
44,University of the Witwatersrand,SouthAfrica,62.3,39.2,43.5,44.6,,154.8,免费评估
45,University of Toronto,Canada,29.6,78.2,67.9,32.8,,154.2,免费评估
46,Islamic Azad University,Iran,49.4,60.0,56.7,32.0,,152.7,免费评估
47,University of Granada,Spain,24.7,86.5,78.9,25.4,,152.4,免费评估
48,AGH University of Science and Technology,Poland,82.6,41.2,22.0,23.2,,151.4,免费评估
49,Colorado School of Mines,UnitedStates,36.6,67.0,82.4,31.1,,151.2,免费评估
50,Laurentian University,Canada,27.1,78.9,69.6,31.1,,151.0,免费评估
