Rank,Institution,Country/Region,Pub,CNCI,IC,TOP,AWARD,Total Score,Free
1,Jiangnan University,China,100.0,77.2,58.7,100.0,,288.9,免费评估
2,University of Wageningen,Netherlands,91.6,77.3,72.4,95.6,,278.9,免费评估
3,China Agricultural University,China,87.7,77.5,52.9,90.2,,266.0,免费评估
4,South China University of Technology,China,73.7,90.7,54.4,84.1,,259.4,免费评估
5,University of Campinas,Brazil,78.1,77.4,47.9,78.0,,243.1,免费评估
6,Zhejiang University,China,74.7,79.8,53.1,77.2,,242.2,免费评估
7,Ghent University,Belgium,69.7,79.2,74.3,75.9,,239.6,免费评估
8,University of Sao Paulo,Brazil,78.1,74.0,57.6,75.5,,239.1,免费评估
9,University of Massachusetts Amherst,UnitedStates,53.8,100.0,86.1,67.1,,238.1,免费评估
10,Nanjing Agricultural University,China,69.9,81.0,51.1,73.8,,234.9,免费评估
11,University of Porto,Portugal,64.6,74.7,67.0,73.4,,226.1,免费评估
12,"University of California, Davis",UnitedStates,70.8,71.9,77.3,66.4,,224.5,免费评估
13,Northwest A&F University,China,67.7,77.1,59.8,66.1,,222.8,免费评估
14,KU Leuven,Belgium,60.4,77.2,67.4,71.0,,222.1,免费评估
15,University of Copenhagen,Denmark,64.8,73.0,80.8,68.0,,222.0,免费评估
16,Nanchang University,China,57.3,89.8,61.7,62.3,,221.7,免费评估
17,University College Dublin,Ireland,55.3,92.5,75.7,57.7,,220.7,免费评估
18,University of Guelph,Canada,66.7,81.3,71.9,57.8,,220.2,免费评估
19,Cornell University,UnitedStates,67.8,77.3,72.2,53.6,,213.1,免费评估
20,University of Bologna,Italy,58.3,73.8,70.1,62.4,,208.5,免费评估
21,University of Valencia,Spain,52.2,82.6,63.3,61.0,,208.4,免费评估
22,King Abdulaziz University,SaudiArabia,44.3,93.5,100.0,50.0,,207.8,免费评估
23,The University of Queensland,Australia,52.8,80.1,78.5,57.1,,205.8,免费评估
24,University of Naples Federico II,Italy,55.3,77.8,63.6,59.1,,204.9,免费评估
25,"Rutgers, The State University of New Jersey - New Brunswick",UnitedStates,51.6,75.5,81.6,60.3,,203.8,免费评估
26,University of Parma,Italy,54.5,77.5,59.1,57.2,,201.0,免费评估
27,Polytechnic University of Valencia,Spain,54.9,75.7,57.8,58.8,,200.9,免费评估
28,Huazhong Agricultural University,China,55.3,75.8,47.4,58.8,,199.4,免费评估
28,University of Milan,Italy,60.5,69.3,62.6,57.1,,199.4,免费评估
30,Aarhus University,Denmark,55.8,77.8,74.0,49.6,,198.0,免费评估
31,University Putra Malaysia,Malaysia,74.6,57.2,63.6,52.8,,197.3,免费评估
32,Technical University Munich,Germany,56.9,69.9,56.4,57.9,,196.1,免费评估
33,Michigan State University,UnitedStates,53.5,81.4,69.2,47.2,,195.9,免费评估
34,University College Cork,Ireland,55.6,75.6,63.1,51.0,,194.7,免费评估
35,Instituto Politecnico de Braganca,Portugal,42.5,82.5,84.8,51.6,,193.6,免费评估
36,University of Hohenheim,Germany,54.2,72.3,67.8,53.5,,193.5,免费评估
37,The University of Auckland,NewZealand,46.2,81.1,83.1,49.3,,193.2,免费评估
37,University of Granada,Spain,47.6,79.8,63.4,53.2,,193.2,免费评估
39,National University of Singapore,Singapore,41.6,84.4,92.0,44.9,,189.3,免费评估
40,Washington State University,UnitedStates,52.3,76.2,70.1,46.4,,188.9,免费评估
41,Massey University,NewZealand,52.1,72.1,73.8,49.9,,188.8,免费评估
41,University of Illinois at Urbana-Champaign,UnitedStates,52.8,78.0,74.4,43.2,,188.8,免费评估
43,Purdue University - West Lafayette,UnitedStates,50.5,74.7,69.4,49.0,,188.1,免费评估
44,University of Seville,Spain,46.2,76.0,62.1,52.7,,187.4,免费评估
45,Universitat de Lleida,Spain,40.3,86.8,63.4,47.4,,187.2,免费评估
46,Technical University of Denmark,Denmark,47.9,72.4,78.0,51.1,,187.0,免费评估
47,Korea University,SouthKorea,57.7,65.2,51.5,53.5,,186.7,免费评估
47,Shanghai Jiao Tong University,China,49.2,73.5,66.0,50.8,,186.7,免费评估
49,University of Florida,UnitedStates,54.1,75.9,69.9,42.7,,186.6,免费评估
50,University of Belgrade,Serbia,54.1,68.8,63.8,50.8,,186.5,免费评估
