Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,651.0,3.78,3.14,99,100.0,免费评估
2,伦敦大学学院University College London,587.0,4.02,2.91,100,99.7,免费评估
3,牛津大学University of Oxford,606.0,4.67,3.03,99,99.5,免费评估
4,伦敦大学玛丽女王学院Queen Mary University of London,548.0,4.22,2.93,100,98.8,免费评估
5,阿伯丁大学University of Aberdeen,538.0,4.12,2.86,100,98.2,免费评估
6,格拉斯哥大学University of Glasgow,561.0,3.96,2.64,100,98.1,免费评估
7,伯明翰大学University of Birmingham,545.0,3.97,2.65,100,97.7,免费评估
8,爱丁堡大学The University of Edinburgh,581.0,3.78,2.98,99,97.5,免费评估
9,纽卡斯尔大学Newcastle University,529.0,4.15,2.67,100,97.5,免费评估
10,曼彻斯特大学The University of Manchester,525.0,3.91,2.81,100,97.4,免费评估
11,利兹大学University of Leeds,529.0,4.15,2.63,100,97.4,免费评估
12,华威大学The University of Warwick,,3.89,2.53,100,97.2,免费评估
13,谢菲尔德大学The University of Sheffield,524.0,4.04,2.57,100,97.0,免费评估
14,诺丁汉大学University of Nottingham,542.0,4.09,2.29,100,96.9,免费评估
15,帝国理工学院Imperial College London,564.0,3.75,2.91,99,96.8,免费评估
16,卡迪夫大学Cardiff University,530.0,3.83,2.51,100,96.7,免费评估
17,布里斯托大学University of Bristol,515.0,3.8,2.69,100,96.7,免费评估
18,英国女王大学Queen's University Belfast,516.0,4.21,2.47,100,96.7,免费评估
19,莱斯特大学University of Leicester,527.0,3.88,2.46,100,96.6,免费评估
20,南安普顿大学University of Southampton,500.0,3.98,2.7,100,96.5,免费评估
21,普利茅斯大学University of Plymouth,514.0,4.15,2.45,100,96.5,免费评估
22,基尔大学Keele University,526.0,4.56,2.1,100,96.4,免费评估
23,邓迪大学University of Dundee,543.0,4.04,2.56,99,95.6,免费评估
24,"圣乔治医学院St George's, University of London",513.0,3.54,2.38,100,95.5,免费评估
25,Brighton & Sussex,490.0,4.33,2.2,100,95.4,免费评估
26,利物浦大学The University of Liverpool,487.0,3.59,2.58,100,95.3,免费评估
27,东英吉利大学University of East Anglia,529.0,4.21,2.38,99,94.9,免费评估
28,埃克塞特大学University of Exeter,514.0,4.15,2.56,99,94.8,免费评估
29,赫尔大学The University of Hull,509.0,3.78,2.68,99,94.6,免费评估
30,伦敦国王学院King's College London,520.0,3.3,2.7,99,94.3,免费评估
31,圣安德鲁斯大学University of St Andrews,553.0,4.37,2.3,98,93.7,免费评估
