Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,572.0,,3.05,90.0,100.0,免费评估
2,伦敦大学学院University College London,455.0,4.03,2.65,86.0,86.6,免费评估
3,谢菲尔德大学The University of Sheffield,364.0,4.28,2.95,82.0,85.1,免费评估
4,纽卡斯尔大学Newcastle University,362.0,4.16,2.8,86.0,84.3,免费评估
5,赫瑞瓦特大学Heriot Watt University,,4.23,2.5,84.0,83.9,免费评估
6,利兹大学University of Leeds,,3.95,2.8,,82.3,免费评估
7,雷丁大学University of Reading,399.0,3.85,2.7,,81.9,免费评估
8,卡迪夫大学Cardiff University,377.0,3.8,2.85,78.0,81.6,免费评估
9,拉夫堡大学Loughborough University,361.0,4.05,2.95,68.0,80.9,免费评估
10,曼彻斯特大学The University of Manchester,381.0,4.08,2.7,66.0,80.2,免费评估
11,德蒙福特大学De Montfort University,,3.84,2.7,,80.1,免费评估
12,曼彻斯特城市大学Manchester Metropolitan University,,3.89,2.15,88.0,79.9,免费评估
13,诺桑比亚大学Northumbria University,313.0,4.04,2.45,84.0,79.4,免费评估
14,伯明翰大学University of Birmingham,397.0,3.77,2.4,74.0,79.1,免费评估
15,西英格兰大学University of the West of England,330.0,4.21,2.34,76.0,78.9,免费评估
16,牛津布鲁克斯大学Oxford Brookes University,361.0,4.01,2.2,78.0,78.7,免费评估
17,英国女王大学Queen's University Belfast,337.0,3.93,2.15,78.0,77.0,免费评估
18,利物浦大学The University of Liverpool,,4.05,2.45,58.0,75.4,免费评估
19,诺丁汉特伦特大学Nottingham Trent University,284.0,4.01,1.95,80.0,74.6,免费评估
20,伯明翰城市大学Birmingham City University,295.0,4.04,1.85,70.0,72.7,免费评估
21,谢菲尔德哈莱姆大学Sheffield Hallam University,235.0,3.83,2.55,66.0,72.0,免费评估
22,格罗斯特大学University of Gloucestershire,272.0,,2.3,,71.3,免费评估
23,阿尔斯特大学University of Ulster,268.0,4.0,2.75,44.0,71.0,免费评估
24,邓迪大学University of Dundee,,3.73,2.7,42.0,70.6,免费评估
25,皇家农学院Royal Agricultural University,330.0,4.01,,,70.1,免费评估
26,利兹都会大学Leeds Metropolitan University,275.0,4.28,,64.0,69.6,免费评估
27,威斯敏斯特大学University of Westminster,281.0,3.78,1.95,,69.6,免费评估
28,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,365.0,3.5,,66.0,69.4,免费评估
29,金斯顿大学Kingston University,294.0,3.69,1.4,62.0,66.8,免费评估
30,格林威治大学The University of Greenwich,,3.84,2.2,36.0,66.3,免费评估
31,伦敦南岸大学London South Bank University,,4.06,,46.0,64.9,免费评估
