Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,华威大学The University of Warwick,489.0,4.35,3.15,59.0,100.0,免费评估
2,伦敦大学玛丽女王学院Queen Mary University of London,449.0,4.27,3.35,60.0,98.9,免费评估
3,埃克塞特大学University of Exeter,428.0,4.34,3.05,66.0,98.6,免费评估
4,布里斯托大学University of Bristol,443.0,3.98,3.2,66.0,98.5,免费评估
5,伯明翰大学University of Birmingham,407.0,4.25,2.7,71.0,97.4,免费评估
6,伦敦国王学院King's College London,451.0,3.85,3.2,58.0,97.0,免费评估
7,萨里大学University of Surrey,365.0,4.1,2.55,76.0,95.9,免费评估
8,兰卡斯特大学Lancaster University,366.0,3.97,3.05,69.0,95.6,免费评估
9,格拉斯哥大学University of Glasgow,478.0,4.1,3.15,40.0,95.4,免费评估
10,拉夫堡大学Loughborough University,411.0,4.21,2.5,59.0,94.9,免费评估
11,考文垂大学Coventry University,370.0,4.14,2.45,70.0,94.8,免费评估
12,伦敦大学皇家霍洛威学院Royal Holloway University of London,409.0,3.97,3.05,55.0,94.8,免费评估
13,曼彻斯特大学The University of Manchester,395.0,4.07,3.3,52.0,94.6,免费评估
14,肯特大学University of Kent,377.0,4.23,2.95,56.0,94.2,免费评估
15,利兹大学University of Leeds,405.0,4.18,2.8,52.0,94.1,免费评估
16,萨塞克斯大学University of Sussex,428.0,4.32,2.7,45.0,93.9,免费评估
17,东英吉利大学University of East Anglia,465.0,4.51,,58.0,93.8,免费评估
18,埃塞克斯大学University of Essex,350.0,4.66,2.6,50.0,92.4,免费评估
19,"中央演讲与戏剧学院Central School of Speech & Drama, U of London",355.0,4.16,2.55,,91.8,免费评估
20,诺丁汉大学University of Nottingham,363.0,4.14,2.45,53.0,91.6,免费评估
21,谢菲尔德大学The University of Sheffield,393.0,4.04,,68.0,91.4,免费评估
22,约克大学The University of York,432.0,3.56,,65.0,91.0,免费评估
23,罗伯特高登大学The Robert Gordon University,,4.0,,73.0,90.9,免费评估
24,米德塞斯大学Middlesex University,326.0,4.03,2.55,57.0,90.8,免费评估
25,曼彻斯特城市大学Manchester Metropolitan University,380.0,3.97,2.2,51.0,90.7,免费评估
26,阿伯丁大学University of Aberdeen,,4.11,2.7,46.0,90.7,免费评估
27,林肯大学University of Lincoln,335.0,4.08,1.65,65.0,90.4,免费评估
28,英国女王大学Queen's University Belfast,368.0,4.38,2.5,40.0,90.3,免费评估
29,雷丁大学University of Reading,368.0,3.92,2.75,44.0,90.3,免费评估
30,伯恩茅斯艺术大学Arts University Bournemouth,334.0,4.14,1.2,69.0,90.1,免费评估
31,卡迪夫都市大学Cardiff Metropolitan University,309.0,4.55,,70.0,90.0,免费评估
32,苏格兰皇家音乐学院Royal Conservatoire of Scotland,320.0,4.15,,73.0,89.8,免费评估
33,德蒙福特大学De Montfort University,335.0,4.27,2.5,44.0,89.4,免费评估
34,罗汉普顿大学Roehampton University,313.0,4.11,3.0,44.0,89.3,免费评估
35,索尔福德大学University of Salford,382.0,3.65,2.55,42.0,89.2,免费评估
36,温切斯特大学University of Winchester,345.0,4.07,2.25,46.0,88.9,免费评估
37,赫尔大学The University of Hull,333.0,4.16,2.55,41.0,88.6,免费评估
38,奇切斯特大学University of Chichester,334.0,4.15,2.2,45.0,88.4,免费评估
39,诺桑比亚大学Northumbria University,363.0,4.11,2.25,38.0,88.3,免费评估
40,普利茅斯大学University of Plymouth,350.0,4.23,1.95,42.0,88.1,免费评估
41,布莱顿大学University of Brighton,309.0,3.79,2.85,44.0,87.8,免费评估
42,亚伯大学Aberystwyth University,322.0,3.77,2.7,43.0,87.8,免费评估
43,伦敦大学金史密斯学院Goldsmiths University of London,339.0,3.84,2.7,37.0,87.5,免费评估
44,西英格兰大学University of the West of England,341.0,4.24,,54.0,87.5,免费评估
45,玛格丽特女王大学Queen Margaret University,362.0,3.59,1.0,60.0,87.5,免费评估
46,北安普顿大学The University of Northampton,293.0,4.33,1.9,50.0,87.5,免费评估
47,伯明翰城市大学Birmingham City University,334.0,4.13,,56.0,87.2,免费评估
48,切斯特大学University of Chester,295.0,3.98,2.35,,87.2,免费评估
49,布鲁内尔大学Brunel University,326.0,4.17,2.4,36.0,87.1,免费评估
50,爱丁堡大学The University of Edinburgh,412.0,3.83,,42.0,86.9,免费评估
51,金斯顿大学Kingston University,324.0,4.08,2.05,42.0,86.9,免费评估
52,格林威治大学The University of Greenwich,337.0,4.16,1.65,43.0,86.8,免费评估
53,哈德斯菲尔德大学University of Huddersfield,324.0,4.23,,54.0,86.8,免费评估
54,龙比亚大学Napier University,365.0,3.67,,54.0,86.8,免费评估
55,赫特福德大学University of Hertfordshire,364.0,3.54,1.7,45.0,86.5,免费评估
56,南威尔士大学The University of South Wales,318.0,3.8,2.1,44.0,86.3,免费评估
57,伯恩茅斯大学Bournemouth University,380.0,3.61,,48.0,86.1,免费评估
58,牛津布鲁克斯大学Oxford Brookes University,331.0,4.33,,,85.9,免费评估
59,伦敦艺术大学University of the Arts London,337.0,3.81,,53.0,85.9,免费评估
60,巴斯斯巴大学Bath Spa University,363.0,3.76,,46.0,85.5,免费评估
61,东伦敦大学University of East London,352.0,3.74,2.3,30.0,85.5,免费评估
62,约克圣约翰大学York St John University,304.0,3.71,2.0,,85.5,免费评估
63,诺里奇艺术大学Norwich University of the Arts,291.0,4.17,,55.0,85.5,免费评估
64,艾芝西尔大学Edge Hill University,330.0,4.22,,,85.4,免费评估
65,中央兰开夏大学University of Central Lancashire,332.0,4.02,,48.0,85.4,免费评估
66,朴茨茅斯大学University of Portsmouth,327.0,3.93,1.55,42.0,85.3,免费评估
67,利物浦约翰摩尔斯大学Liverpool John Moores University,356.0,4.19,,38.0,85.1,免费评估
68,阿尔斯特大学University of Ulster,307.0,4.34,2.25,28.0,85.0,免费评估
69,法尔茅斯大学Falmouth University,300.0,3.52,,60.0,84.8,免费评估
70,伍斯特大学University of Worcester,305.0,3.98,1.85,38.0,84.6,免费评估
71,创意艺术大学University for the Creative Arts,317.0,3.74,,50.0,84.4,免费评估
72,贝德福德大学University of Bedfordshire,266.0,3.69,2.55,38.0,84.0,免费评估
73,泰晤士河谷大学Thames Valley University,287.0,3.77,,53.0,83.8,免费评估
74,波尔顿大学University of Bolton,302.0,4.22,1.4,36.0,83.7,免费评估
75,格罗斯特大学University of Gloucestershire,282.0,4.01,,49.0,83.6,免费评估
76,西苏格兰大学University of the West of Scotland,344.0,4.15,,31.0,83.3,免费评估
77,伦敦都市大学London Metropolitan University,286.0,3.9,1.6,38.0,83.0,免费评估
78,德比大学University of Derby,310.0,4.08,,38.0,82.9,免费评估
79,英国圣玛丽大学学院St Mary's University College,319.0,4.05,,36.0,82.9,免费评估
80,桑德兰大学University of Sunderland,288.0,3.94,1.85,31.0,82.6,免费评估
81,利兹都会大学Leeds Metropolitan University,266.0,3.99,,46.0,82.4,免费评估
82,格林多大学Glyndwr University,261.0,4.05,,46.0,82.4,免费评估
83,威斯敏斯特大学University of Westminster,295.0,3.59,,46.0,82.3,免费评估
84,哥比亚大学University of Cumbria,290.0,4.41,,33.0,82.3,免费评估
85,南安普顿索伦特大学Southampton Solent University,315.0,3.84,,37.0,82.3,免费评估
86,剑桥安鲁大学Anglia Ruskin University,290.0,3.99,,40.0,82.3,免费评估
87,蒂赛德大学Teesside University,293.0,3.88,,40.0,82.1,免费评估
88,坎特伯雷大学Canterbury Christ Church University,280.0,4.03,,,82.1,免费评估
89,斯塔福德郡大学Staffordshire University,266.0,4.2,1.85,28.0,82.0,免费评估
90,谢菲尔德哈莱姆大学Sheffield Hallam University,324.0,3.78,,34.0,81.9,免费评估
91,纽曼大学Newman University,270.0,4.34,,35.0,81.6,免费评估
92,伦敦南岸大学London South Bank University,241.0,3.96,,46.0,81.3,免费评估
93,新白金汉大学Buckinghamshire New University,274.0,3.9,,,81.2,免费评估
94,格罗斯泰斯特主教大学Bishop Grosseteste University,260.0,3.99,,,80.8,免费评估
