Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,549.0,,2.5,78.0,100.0,免费评估
2,牛津大学University of Oxford,582.0,4.15,2.85,80.0,99.7,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,545.0,3.98,2.8,84.0,98.0,免费评估
4,圣安德鲁斯大学University of St Andrews,542.0,4.23,2.35,86.0,97.8,免费评估
5,伦敦大学学院University College London,550.0,3.83,2.75,84.0,97.0,免费评估
6,杜伦大学Durham University,517.0,4.06,2.4,86.0,96.2,免费评估
7,华威大学The University of Warwick,503.0,4.02,2.65,82.0,95.8,免费评估
8,巴斯大学University of Bath,463.0,4.32,2.4,78.0,94.4,免费评估
9,埃克塞特大学University of Exeter,461.0,4.21,2.6,76.0,94.2,免费评估
10,谢菲尔德大学The University of Sheffield,448.0,4.02,3.15,70.0,93.8,免费评估
11,约克大学The University of York,451.0,4.26,2.3,78.0,93.2,免费评估
12,布里斯托大学University of Bristol,458.0,4.13,2.2,80.0,92.6,免费评估
13,伯明翰大学University of Birmingham,410.0,4.11,2.35,80.0,91.6,免费评估
14,卡迪夫大学Cardiff University,392.0,4.04,2.4,80.0,90.8,免费评估
15,纽卡斯尔大学Newcastle University,411.0,4.15,2.3,76.0,90.8,免费评估
16,诺丁汉大学University of Nottingham,422.0,4.12,2.5,70.0,90.6,免费评估
17,伦敦大学亚非学院SOAS University of London,484.0,3.87,2.65,64.0,90.3,免费评估
18,埃塞克斯大学University of Essex,349.0,4.24,3.15,62.0,90.3,免费评估
19,格拉斯哥大学University of Glasgow,486.0,4.06,2.3,64.0,90.0,免费评估
20,伦敦大学玛丽女王学院Queen Mary University of London,415.0,4.03,2.35,74.0,90.0,免费评估
21,伦敦国王学院King's College London,478.0,3.87,2.3,68.0,89.4,免费评估
22,爱丁堡大学The University of Edinburgh,485.0,3.81,2.45,64.0,89.1,免费评估
23,曼彻斯特大学The University of Manchester,418.0,3.89,2.5,68.0,88.5,免费评估
24,东英吉利大学University of East Anglia,417.0,4.24,2.1,66.0,88.4,免费评估
25,兰卡斯特大学Lancaster University,422.0,4.18,1.9,70.0,88.1,免费评估
26,萨里大学University of Surrey,384.0,4.42,2.1,64.0,88.1,免费评估
27,拉夫堡大学Loughborough University,369.0,4.18,2.25,68.0,87.6,免费评估
28,肯特大学University of Kent,360.0,4.17,2.1,72.0,87.4,免费评估
29,阿伯丁大学University of Aberdeen,441.0,3.88,2.05,68.0,87.1,免费评估
30,伦敦大学皇家霍洛威学院Royal Holloway University of London,359.0,4.14,2.1,70.0,86.8,免费评估
31,亚伯大学Aberystwyth University,327.0,3.94,2.95,62.0,86.8,免费评估
32,布鲁内尔大学Brunel University,351.0,4.55,2.05,60.0,86.7,免费评估
33,罗伯特高登大学The Robert Gordon University,,4.26,1.95,,86.6,免费评估
34,利兹大学University of Leeds,428.0,3.96,1.8,70.0,86.5,免费评估
