Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,卡迪夫大学Cardiff University,453.0,87,2.65,86.0,100.0,免费评估
2,基尔大学Keele University,416.0,86,2.45,88.0,97.7,免费评估
3,诺桑比亚大学Northumbria University,429.0,80,1.95,90.0,96.5,免费评估
4,诺丁汉大学University of Nottingham,422.0,87,2.15,84.0,95.8,免费评估
5,伦敦国王学院King's College London,451.0,73,2.15,82.0,94.9,免费评估
6,罗伯特高登大学The Robert Gordon University,479.0,78,1.9,78.0,94.9,免费评估
7,牛津布鲁克斯大学Oxford Brookes University,420.0,83,2.05,84.0,94.9,免费评估
8,西英格兰大学University of the West of England,415.0,75,2.7,80.0,94.6,免费评估
9,布拉德福德大学University of Bradford,352.0,84,2.22,92.0,94.4,免费评估
10,利物浦大学The University of Liverpool,408.0,82,2.2,82.0,94.0,免费评估
11,东英吉利大学University of East Anglia,425.0,81,1.55,84.0,93.0,免费评估
12,赫特福德大学University of Hertfordshire,371.0,74,2.43,86.0,93.0,免费评估
13,考文垂大学Coventry University,402.0,86,1.7,84.0,92.9,免费评估
14,谢菲尔德哈莱姆大学Sheffield Hallam University,415.0,81,1.8,80.0,92.1,免费评估
15,南安普顿大学University of Southampton,430.0,67,1.75,82.0,91.6,免费评估
16,曼彻斯特城市大学Manchester Metropolitan University,406.0,83,2.05,76.0,91.5,免费评估
17,布鲁内尔大学Brunel University,414.0,87,1.55,78.0,91.2,免费评估
18,蒂赛德大学Teesside University,386.0,84,1.65,82.0,90.9,免费评估
19,伯明翰大学University of Birmingham,435.0,81,,86.0,90.8,免费评估
20,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,411.0,66,2.65,72.0,90.5,免费评估
21,哈德斯菲尔德大学University of Huddersfield,450.0,86,,,90.1,免费评估
22,"圣乔治医学院St George's, University of London",346.0,81,2.2,80.0,89.7,免费评估
23,索尔福德大学University of Salford,358.0,88,2.2,74.0,89.4,免费评估
24,布莱顿大学University of Brighton,352.0,85,2.08,76.0,88.9,免费评估
25,伍斯特大学University of Worcester,,82,1.4,,88.8,免费评估
26,阿尔斯特大学University of Ulster,389.0,85,2.59,62.0,88.2,免费评估
27,东伦敦大学University of East London,306.0,80,2.05,84.0,88.1,免费评估
28,金斯顿大学Kingston University,,66,1.85,,87.8,免费评估
29,伯恩茅斯大学Bournemouth University,355.0,82,,88.0,87.3,免费评估
30,玛格丽特女王大学Queen Margaret University,473.0,78,1.1,64.0,87.1,免费评估
31,普利茅斯大学University of Plymouth,377.0,79,1.15,76.0,86.0,免费评估
32,约克圣约翰大学York St John University,358.0,89,1.0,,85.6,免费评估
33,利兹都会大学Leeds Metropolitan University,,92,1.35,66.0,85.0,免费评估
34,中央兰开夏大学University of Central Lancashire,345.0,80,1.85,68.0,84.4,免费评估
35,哥比亚大学University of Cumbria,308.0,86,0.75,72.0,80.3,免费评估
