Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,邓迪大学University of Dundee,493.0,4.16,2.8,,100.0,免费评估
2,诺丁汉大学University of Nottingham,487.0,4.02,3.1,97.0,99.5,免费评估
3,巴斯大学University of Bath,480.0,4.21,2.7,98.0,96.5,免费评估
4,英国女王大学Queen's University Belfast,428.0,4.63,2.65,100.0,95.5,免费评估
5,阿尔斯特大学University of Ulster,392.0,4.77,2.8,,95.1,免费评估
6,东英吉利大学University of East Anglia,466.0,4.3,2.55,99.0,94.8,免费评估
7,阿斯顿大学Aston University,435.0,4.45,2.5,100.0,93.2,免费评估
8,卡迪夫大学Cardiff University,448.0,4.33,2.5,99.0,93.0,免费评估
9,曼彻斯特大学The University of Manchester,443.0,3.95,2.95,94.0,92.9,免费评估
10,伦敦大学学院University College London,473.0,3.69,2.85,94.0,92.4,免费评估
11,思克莱德大学University of Strathclyde,510.0,3.64,2.55,94.0,91.9,免费评估
12,罗伯特高登大学The Robert Gordon University,478.0,4.12,1.9,99.0,87.7,免费评估
13,伦敦国王学院King's College London,433.0,3.96,2.55,93.0,87.7,免费评估
14,布里斯托大学University of Bristol,452.0,4.12,2.6,81.0,87.2,免费评估
15,雷丁大学University of Reading,393.0,4.15,2.35,100.0,85.9,免费评估
16,诺丁汉特伦特大学Nottingham Trent University,,3.87,2.55,,85.4,免费评估
17,布拉德福德大学University of Bradford,388.0,4.02,2.5,97.0,85.1,免费评估
18,剑桥大学University of Cambridge,536.0,4.27,,85.0,85.0,免费评估
19,爱丁堡大学The University of Edinburgh,,3.89,3.2,66.0,83.7,免费评估
20,利兹大学University of Leeds,405.0,4.27,2.7,73.0,83.0,免费评估
21,布莱顿大学University of Brighton,379.0,4.21,2.08,99.0,82.0,免费评估
22,朴茨茅斯大学University of Portsmouth,346.0,4.25,2.5,91.0,81.5,免费评估
23,基尔大学Keele University,426.0,4.34,,99.0,80.8,免费评估
24,赫特福德大学University of Hertfordshire,361.0,4.16,2.15,98.0,80.7,免费评估
25,德蒙福特大学De Montfort University,391.0,3.92,2.3,90.0,80.4,免费评估
26,肯特大学University of Kent,370.0,4.0,2.06,100.0,79.8,免费评估
27,利物浦大学The University of Liverpool,413.0,3.92,2.55,73.0,79.5,免费评估
28,中央兰开夏大学University of Central Lancashire,396.0,4.27,,100.0,78.2,免费评估
29,哈德斯菲尔德大学University of Huddersfield,396.0,4.29,,95.0,76.8,免费评估
30,格拉斯哥大学University of Glasgow,452.0,3.92,,89.0,76.7,免费评估
31,利物浦约翰摩尔斯大学Liverpool John Moores University,384.0,3.58,2.0,96.0,75.9,免费评估
32,谢菲尔德哈莱姆大学Sheffield Hallam University,,4.23,1.8,,75.2,免费评估
33,南安普顿大学University of Southampton,418.0,3.88,,,70.9,免费评估
34,格林威治大学The University of Greenwich,328.0,4.06,1.75,88.0,69.9,免费评估
35,桑德兰大学University of Sunderland,342.0,3.7,1.5,98.0,68.9,免费评估
36,威斯敏斯特大学University of Westminster,286.0,3.77,2.1,,63.8,免费评估
37,玛格丽特女王大学Queen Margaret University,322.0,4.14,,,63.0,免费评估
38,金斯顿大学Kingston University,299.0,3.6,1.85,78.0,62.0,免费评估
39,考文垂大学Coventry University,277.0,4.14,,,58.1,免费评估
40,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,358.0,3.71,,40.0,52.1,免费评估
41,东伦敦大学University of East London,275.0,4.16,,32.0,46.2,免费评估
42,伦敦都市大学London Metropolitan University,248.0,4.06,,39.0,45.4,免费评估
