Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,华威大学The University of Warwick,508.0,4.37,3.53,,100.0,免费评估
2,伯明翰大学University of Birmingham,417.0,4.26,3.19,75.0,94.5,免费评估
3,纽卡斯尔大学Newcastle University,425.0,4.18,3.46,,93.8,免费评估
4,兰卡斯特大学Lancaster University,416.0,3.99,3.14,70.0,92.9,免费评估
5,英国女王大学Queen's University Belfast,,4.22,3.19,70.0,92.9,免费评估
6,诺丁汉大学University of Nottingham,445.0,4.15,3.27,55.0,92.7,免费评估
7,萨里大学University of Surrey,,4.36,3.01,70.0,92.2,免费评估
8,东英吉利大学University of East Anglia,456.0,4.07,3.27,50.0,90.7,免费评估
9,伦敦大学皇家霍洛威学院Royal Holloway University of London,384.0,3.96,3.19,60.0,89.9,免费评估
10,阿伯丁大学University of Aberdeen,,4.17,3.24,,89.5,免费评估
11,雷丁大学University of Reading,,4.05,2.98,65.0,89.1,免费评估
12,肯特大学University of Kent,,4.13,3.03,,88.4,免费评估
13,邓迪大学University of Dundee,,4.28,2.98,,87.8,免费评估
14,班戈大学Bangor University,358.0,4.27,3.05,45.0,87.1,免费评估
15,埃塞克斯大学University of Essex,,4.0,3.01,,86.0,免费评估
16,赫尔大学The University of Hull,298.0,4.2,2.8,65.0,86.0,免费评估
17,布鲁内尔大学Brunel University,365.0,4.16,2.55,50.0,85.8,免费评估
18,伦敦大学金史密斯学院Goldsmiths University of London,,3.93,2.91,,85.7,免费评估
19,"伦敦大学伯克贝克学院Birkbeck, University Of London",,3.98,2.93,,85.6,免费评估
20,西英格兰大学University of the West of England,335.0,4.11,2.81,50.0,85.2,免费评估
21,威斯敏斯特大学University of Westminster,274.0,4.48,3.11,55.0,85.2,免费评估
22,哈德斯菲尔德大学University of Huddersfield,,4.06,2.89,,85.2,免费评估
23,基尔大学Keele University,,4.03,2.83,,85.1,免费评估
24,德蒙福特大学De Montfort University,263.0,4.1,2.84,70.0,85.0,免费评估
25,诺桑比亚大学Northumbria University,,4.09,2.95,,85.0,免费评估
26,巴斯斯巴大学Bath Spa University,323.0,4.25,2.72,50.0,84.3,免费评估
27,亚伯大学Aberystwyth University,287.0,4.14,2.87,55.0,84.3,免费评估
28,利物浦霍普大学Liverpool Hope University,,4.11,2.55,,83.7,免费评估
29,考文垂大学Coventry University,322.0,4.28,,70.0,83.7,免费评估
30,曼彻斯特城市大学Manchester Metropolitan University,313.0,3.85,3.07,50.0,83.1,免费评估
31,罗汉普顿大学Roehampton University,308.0,3.99,2.92,50.0,82.7,免费评估
32,波尔顿大学University of Bolton,,4.36,2.41,50.0,82.6,免费评估
33,Plymouth,312.0,4.02,2.69,45.0,82.6,免费评估
34,剑桥安鲁大学Anglia Ruskin University,,4.15,2.43,,82.5,免费评估
35,朴茨茅斯大学University of Portsmouth,310.0,4.0,,65.0,81.1,免费评估
36,诺丁汉特伦特大学Nottingham Trent University,,3.61,2.81,,81.1,免费评估
37,伯恩茅斯大学Bournemouth University,312.0,3.78,3.1,45.0,80.9,免费评估
38,格罗斯特大学University of Gloucestershire,310.0,4.15,2.07,50.0,80.6,免费评估
39,温切斯特大学University of Winchester,314.0,4.15,2.59,40.0,80.5,免费评估
40,纽曼大学Newman University,,4.17,2.28,,79.8,免费评估
41,中央兰开夏大学University of Central Lancashire,317.0,3.99,,55.0,79.5,免费评估
42,利物浦约翰摩尔斯大学Liverpool John Moores University,348.0,4.33,,40.0,79.4,免费评估
43,南威尔士大学The University of South Wales,310.0,3.74,2.56,45.0,79.3,免费评估
44,利兹贝克特大学Leeds Beckett University,,3.99,2.3,,79.1,免费评估
45,德比大学University of Derby,300.0,4.16,2.63,35.0,79.0,免费评估
46,贝德福德大学University of Bedfordshire,223.0,4.5,3.23,25.0,78.9,免费评估
47,格林威治大学The University of Greenwich,308.0,3.74,2.48,40.0,78.5,免费评估
48,米德塞斯大学Middlesex University,269.0,4.24,2.54,40.0,78.5,免费评估
49,金斯顿大学Kingston University,268.0,3.8,2.84,45.0,78.5,免费评估
50,伦敦都市大学London Metropolitan University,210.0,4.52,,60.0,78.3,免费评估
51,切斯特大学University of Chester,289.0,4.18,2.3,35.0,77.5,免费评估
52,东伦敦大学University of East London,263.0,4.57,2.47,30.0,77.4,免费评估
53,北安普顿大学The University of Northampton,260.0,4.05,,55.0,77.4,免费评估
54,赫特福德大学University of Hertfordshire,,3.93,2.46,,77.3,免费评估
55,索尔福德大学University of Salford,309.0,3.9,2.45,35.0,77.0,免费评估
56,约克圣约翰大学York St John University,296.0,3.86,2.14,,77.0,免费评估
57,西苏格兰大学University of the West of Scotland,,3.69,2.47,,76.7,免费评估
58,坎特伯雷大学Canterbury Christ Church University,231.0,4.16,2.41,40.0,76.1,免费评估
59,艾芝西尔大学Edge Hill University,305.0,3.75,2.4,30.0,76.1,免费评估
60,伦敦南岸大学London South Bank University,220.0,4.08,2.42,40.0,76.1,免费评估
61,南安普顿索伦特大学Southampton Solent University,,3.79,,50.0,76.1,免费评估
62,"特威克南圣玛丽大学St Mary's, Twickenham",279.0,3.95,,45.0,75.9,免费评估
63,法尔茅斯大学Falmouth University,288.0,4.09,,,75.9,免费评估
64,奇切斯特大学University of Chichester,240.0,4.1,2.58,25.0,74.8,免费评估
65,谢菲尔德哈莱姆大学Sheffield Hallam University,275.0,3.73,2.58,25.0,74.5,免费评估
66,Plymouth Marjon,,4.48,,25.0,73.8,免费评估
67,伍斯特大学University of Worcester,274.0,4.1,2.21,20.0,73.4,免费评估
68,新白金汉大学Buckinghamshire New University,236.0,3.97,,,72.3,免费评估
69,斯塔福德郡大学Staffordshire University,,3.77,,35.0,72.3,免费评估
70,圣大卫三一学院University of Wales Trinity Saint David,236.0,4.35,,25.0,72.2,免费评估
