Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,雷丁大学University of Reading,404.0,3.96,3.22,95.0,100.0,免费评估
2,阿伯丁大学University of Aberdeen,,4.1,3.23,,98.0,免费评估
3,阿尔斯特大学University of Ulster,295.0,4.22,2.94,95.0,95.5,免费评估
4,西英格兰大学University of the West of England,,4.26,2.71,,95.4,免费评估
5,牛津布鲁克斯大学Oxford Brookes University,330.0,4.09,2.89,90.0,94.9,免费评估
6,谢菲尔德哈莱姆大学Sheffield Hallam University,296.0,4.2,3.13,95.0,94.6,免费评估
7,诺丁汉特伦特大学Nottingham Trent University,308.0,4.17,2.34,90.0,92.4,免费评估
8,伦敦南岸大学London South Bank University,,4.24,1.83,,91.6,免费评估
9,诺桑比亚大学Northumbria University,,3.95,2.52,,91.5,免费评估
10,格林威治大学The University of Greenwich,336.0,3.88,2.2,70.0,88.7,免费评估
11,波尔顿大学University of Bolton,,4.01,1.38,,88.7,免费评估
12,威斯敏斯特大学University of Westminster,303.0,4.23,,75.0,87.9,免费评估
13,伯明翰城市大学Birmingham City University,256.0,4.16,2.66,70.0,86.8,免费评估
