Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,帝国理工学院Imperial College London,562.0,4.63,3.42,98.0,100.0,免费评估
2,剑桥大学University of Cambridge,617.0,4.28,3.48,94.0,99.6,免费评估
3,牛津大学University of Oxford,583.0,3.96,3.51,90.0,97.2,免费评估
4,巴斯大学University of Bath,502.0,4.24,3.38,94.0,96.4,免费评估
5,格拉斯哥大学University of Glasgow,,4.07,3.25,98.0,95.4,免费评估
6,南安普顿大学University of Southampton,462.0,3.99,3.23,92.0,94.5,免费评估
7,利兹大学University of Leeds,423.0,4.45,3.04,92.0,94.0,免费评估
8,爱丁堡大学The University of Edinburgh,475.0,3.92,3.3,88.0,93.7,免费评估
9,谢菲尔德大学The University of Sheffield,421.0,4.13,3.2,92.0,93.7,免费评估
10,布里斯托大学University of Bristol,506.0,3.92,3.3,84.0,93.6,免费评估
11,Cardiff,418.0,4.15,3.44,92.0,93.5,免费评估
12,英国女王大学Queen's University Belfast,363.0,4.37,2.84,96.0,93.4,免费评估
13,纽卡斯尔大学Newcastle University,411.0,4.1,3.18,92.0,93.2,免费评估
14,拉夫堡大学Loughborough University,381.0,4.26,2.65,96.0,93.1,免费评估
15,邓迪大学University of Dundee,373.0,4.22,3.31,92.0,92.9,免费评估
16,曼彻斯特大学The University of Manchester,444.0,3.73,3.19,92.0,92.8,免费评估
17,思克莱德大学University of Strathclyde,467.0,3.86,2.98,88.0,92.7,免费评估
18,赫瑞瓦特大学Heriot Watt University,426.0,4.24,3.3,84.0,92.6,免费评估
19,诺丁汉大学University of Nottingham,405.0,4.02,3.16,90.0,92.4,免费评估
20,埃克塞特大学University of Exeter,449.0,3.84,3.18,88.0,92.4,免费评估
21,斯旺西大学Swansea University,346.0,3.97,3.29,94.0,92.1,免费评估
22,伯明翰大学University of Birmingham,411.0,3.9,2.69,94.0,92.1,免费评估
23,阿伯丁大学University of Aberdeen,,3.92,2.94,92.0,92.0,免费评估
24,伦敦大学学院University College London,475.0,3.5,2.59,90.0,91.4,免费评估
25,萨里大学University of Surrey,420.0,4.14,2.98,80.0,90.5,免费评估
26,诺桑比亚大学Northumbria University,353.0,4.0,2.8,88.0,90.4,免费评估
27,考文垂大学Coventry University,342.0,4.39,2.62,90.0,90.3,免费评估
28,阿伯泰邓迪大学University of Abertay Dundee,365.0,4.43,2.51,84.0,90.2,免费评估
29,阿尔斯特大学University of Ulster,284.0,4.08,2.94,94.0,90.0,免费评估
30,利物浦大学The University of Liverpool,364.0,4.03,3.14,84.0,90.0,免费评估
31,布鲁内尔大学Brunel University,362.0,4.09,2.72,84.0,89.6,免费评估
32,西苏格兰大学University of the West of Scotland,363.0,4.48,2.48,82.0,88.9,免费评估
33,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,365.0,4.06,2.52,86.0,88.6,免费评估
34,布拉德福德大学University of Bradford,317.0,3.85,2.56,90.0,88.3,免费评估
35,南威尔士大学The University of South Wales,338.0,4.17,2.47,88.0,88.2,免费评估
36,伦敦城市大学City University London,343.0,4.24,2.85,78.0,88.1,免费评估
37,德比大学University of Derby,236.0,4.05,1.67,96.0,87.3,免费评估
38,Plymouth,298.0,3.93,2.72,84.0,87.1,免费评估
39,诺丁汉特伦特大学Nottingham Trent University,325.0,4.14,,92.0,87.1,免费评估
40,利物浦约翰摩尔斯大学Liverpool John Moores University,348.0,3.95,,92.0,87.0,免费评估
41,朴茨茅斯大学University of Portsmouth,309.0,3.99,2.46,84.0,87.0,免费评估
42,索尔福德大学University of Salford,293.0,4.22,2.69,80.0,87.0,免费评估
43,布莱顿大学University of Brighton,304.0,4.08,2.59,84.0,86.7,免费评估
44,中央兰开夏大学University of Central Lancashire,366.0,3.93,2.23,,86.7,免费评估
45,西英格兰大学University of the West of England,277.0,4.08,2.71,82.0,86.2,免费评估
46,龙比亚大学Napier University,343.0,4.05,2.05,80.0,86.1,免费评估
47,伦敦南岸大学London South Bank University,273.0,4.05,2.59,78.0,86.1,免费评估
48,剑桥安鲁大学Anglia Ruskin University,286.0,4.08,2.11,86.0,86.0,免费评估
49,格林威治大学The University of Greenwich,325.0,4.33,2.31,72.0,85.0,免费评估
50,蒂赛德大学Teesside University,306.0,3.97,2.63,76.0,84.9,免费评估
51,利兹贝克特大学Leeds Beckett University,266.0,4.02,,84.0,83.8,免费评估
52,东伦敦大学University of East London,296.0,4.26,2.05,74.0,83.7,免费评估
53,波尔顿大学University of Bolton,328.0,3.88,,66.0,80.9,免费评估
54,金斯顿大学Kingston University,293.0,3.65,2.32,66.0,80.9,免费评估
55,泰晤士河谷大学Thames Valley University,270.0,4.89,,58.0,80.7,免费评估
56,Wrexham Glyndwr,,4.17,,66.0,80.4,免费评估
