Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,巴斯大学University of Bath,536.0,4.2,3.2,,100.0,免费评估
2,杜伦大学Durham University,476.0,4.21,3.05,,95.8,免费评估
3,利兹大学University of Leeds,425.0,3.91,3.18,88.0,94.7,免费评估
4,思克莱德大学University of Strathclyde,485.0,4.11,3.17,70.0,94.4,免费评估
5,兰卡斯特大学Lancaster University,370.0,4.23,3.16,90.0,94.1,免费评估
6,纽卡斯尔大学Newcastle University,416.0,3.84,2.72,86.0,92.4,免费评估
7,萨塞克斯大学University of Sussex,356.0,4.1,2.87,90.0,92.1,免费评估
8,曼彻斯特大学The University of Manchester,425.0,3.96,3.07,74.0,91.8,免费评估
9,肯特大学University of Kent,377.0,4.35,2.84,,91.5,免费评估
10,东英吉利大学University of East Anglia,396.0,3.92,3.09,,91.0,免费评估
11,雷丁大学University of Reading,367.0,3.67,3.24,78.0,90.5,免费评估
12,阿斯顿大学Aston University,380.0,4.13,3.07,76.0,90.4,免费评估
13,利物浦大学The University of Liverpool,389.0,4.26,2.92,72.0,90.3,免费评估
14,莱斯特大学University of Leicester,373.0,4.04,2.66,,89.9,免费评估
15,伦敦大学皇家霍洛威学院Royal Holloway University of London,411.0,4.02,2.96,66.0,89.7,免费评估
16,Cardiff,,3.91,3.28,,89.7,免费评估
17,基尔大学Keele University,318.0,4.41,2.4,82.0,88.7,免费评估
18,亚伯大学Aberystwyth University,,3.98,2.52,78.0,88.4,免费评估
19,斯旺西大学Swansea University,,3.97,2.93,,88.4,免费评估
20,南安普顿大学University of Southampton,377.0,3.63,2.9,,88.3,免费评估
21,埃塞克斯大学University of Essex,314.0,4.06,2.86,76.0,88.0,免费评估
22,牛津布鲁克斯大学Oxford Brookes University,315.0,4.15,2.65,84.0,87.8,免费评估
23,斯特林大学University of Stirling,406.0,3.93,2.97,58.0,87.6,免费评估
24,阿尔斯特大学University of Ulster,326.0,4.25,2.97,62.0,87.4,免费评估
25,诺丁汉特伦特大学Nottingham Trent University,349.0,4.09,2.65,76.0,87.4,免费评估
26,布鲁内尔大学Brunel University,,3.84,2.53,,87.3,免费评估
27,考文垂大学Coventry University,317.0,4.32,2.5,80.0,87.0,免费评估
28,德蒙福特大学De Montfort University,268.0,4.14,2.74,84.0,86.7,免费评估
29,朴茨茅斯大学University of Portsmouth,316.0,4.06,2.74,76.0,86.7,免费评估
30,布拉德福德大学University of Bradford,369.0,3.85,2.83,66.0,86.4,免费评估
31,邓迪大学University of Dundee,,4.06,2.3,,86.2,免费评估
32,Lincoln,307.0,3.96,2.65,80.0,86.2,免费评估
33,曼彻斯特城市大学Manchester Metropolitan University,346.0,3.86,2.6,74.0,86.0,免费评估
34,"伦敦大学伯克贝克学院Birkbeck, University Of London",,3.82,2.5,,85.9,免费评估
35,Plymouth,299.0,4.18,2.48,72.0,85.9,免费评估
