Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,583.0,4.31,3.2,88.0,100.0,免费评估
2,杜伦大学Durham University,585.0,4.17,2.98,86.0,97.6,免费评估
3,圣安德鲁斯大学University of St Andrews,485.0,4.41,2.84,88.0,95.7,免费评估
4,牛津大学University of Oxford,551.0,4.16,2.88,78.0,95.2,免费评估
5,华威大学The University of Warwick,444.0,4.4,3.09,82.0,95.1,免费评估
6,纽卡斯尔大学Newcastle University,433.0,4.5,3.04,82.0,94.3,免费评估
7,伯明翰大学University of Birmingham,416.0,4.53,2.9,82.0,94.0,免费评估
8,兰卡斯特大学Lancaster University,,4.27,3.14,76.0,93.3,免费评估
9,布里斯托大学University of Bristol,448.0,4.14,2.89,82.0,93.1,免费评估
10,萨里大学University of Surrey,,4.35,3.01,,92.9,免费评估
11,伦敦大学玛丽女王学院Queen Mary University of London,371.0,3.73,3.04,96.0,92.8,免费评估
12,埃克塞特大学University of Exeter,459.0,4.27,2.84,78.0,92.7,免费评估
13,利兹大学University of Leeds,428.0,4.2,2.91,82.0,92.4,免费评估
14,"伦敦大学伯克贝克学院Birkbeck, University Of London",,4.32,2.94,,92.2,免费评估
15,南安普顿大学University of Southampton,420.0,4.04,3.23,76.0,92.1,免费评估
16,曼彻斯特大学The University of Manchester,418.0,3.96,3.16,76.0,91.8,免费评估
17,约克大学The University of York,,4.19,3.16,,91.6,免费评估
18,巴斯大学University of Bath,433.0,3.86,2.81,84.0,91.3,免费评估
19,诺丁汉大学University of Nottingham,396.0,4.07,2.92,76.0,90.9,免费评估
20,伦敦大学学院University College London,489.0,3.86,3.0,66.0,90.6,免费评估
21,赫瑞瓦特大学Heriot Watt University,443.0,4.23,2.82,74.0,90.5,免费评估
22,爱丁堡大学The University of Edinburgh,457.0,4.2,2.96,66.0,90.0,免费评估
23,Cardiff,363.0,4.01,3.21,76.0,90.0,免费评估
24,谢菲尔德大学The University of Sheffield,388.0,4.15,2.98,70.0,89.8,免费评估
25,King's College London,425.0,4.48,3.0,58.0,89.7,免费评估
26,格拉斯哥大学University of Glasgow,,4.27,2.71,74.0,89.7,免费评估
27,阿斯顿大学Aston University,341.0,4.31,2.8,80.0,89.6,免费评估
28,肯特大学University of Kent,,4.02,3.24,64.0,88.9,免费评估
29,利物浦大学The University of Liverpool,404.0,4.26,2.95,60.0,88.1,免费评估
30,班戈大学Bangor University,297.0,4.14,3.13,70.0,87.7,免费评估
31,埃塞克斯大学University of Essex,321.0,4.28,3.2,64.0,87.6,免费评估
32,切斯特大学University of Chester,,4.17,2.08,72.0,86.0,免费评估
33,朴茨茅斯大学University of Portsmouth,264.0,4.07,2.89,70.0,85.9,免费评估
34,曼彻斯特城市大学Manchester Metropolitan University,,3.98,3.07,60.0,85.9,免费评估
35,伦敦大学皇家霍洛威学院Royal Holloway University of London,314.0,4.16,3.13,54.0,85.7,免费评估
36,阿伯丁大学University of Aberdeen,,3.9,2.71,64.0,85.6,免费评估
37,赫尔大学The University of Hull,290.0,4.4,2.8,64.0,85.5,免费评估
38,雷丁大学University of Reading,350.0,4.06,2.96,54.0,85.5,免费评估
39,阿尔斯特大学University of Ulster,,3.88,2.42,,85.2,免费评估
40,亚伯大学Aberystwyth University,276.0,4.17,2.25,76.0,85.0,免费评估
41,诺丁汉特伦特大学Nottingham Trent University,,4.32,2.64,66.0,85.0,免费评估
42,斯旺西大学Swansea University,270.0,4.09,2.77,60.0,83.1,免费评估
43,中央兰开夏大学University of Central Lancashire,274.0,4.22,,56.0,78.3,免费评估
