Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,626.0,4.2,3.37,87.0,100.0,免费评估
2,牛津大学University of Oxford,565.0,4.09,3.4,84.0,97.4,免费评估
3,帝国理工学院Imperial College London,518.0,3.86,3.41,83.0,95.3,免费评估
4,伦敦大学学院University College London,499.0,3.97,3.25,82.0,94.6,免费评估
5,杜伦大学Durham University,534.0,3.94,2.94,81.0,94.2,免费评估
6,萨里大学University of Surrey,439.0,4.3,3.37,82.0,93.6,免费评估
7,圣安德鲁斯大学University of St Andrews,512.0,4.31,3.16,72.0,93.6,免费评估
8,萨塞克斯大学University of Sussex,389.0,4.14,3.28,88.0,92.9,免费评估
9,约克大学The University of York,476.0,4.23,3.37,73.0,92.8,免费评估
10,谢菲尔德大学The University of Sheffield,430.0,4.24,3.4,76.0,92.8,免费评估
11,伯明翰大学University of Birmingham,428.0,4.12,3.2,81.0,92.3,免费评估
12,埃克塞特大学University of Exeter,466.0,4.22,3.15,72.0,92.1,免费评估
13,曼彻斯特大学The University of Manchester,440.0,4.18,3.12,77.0,92.0,免费评估
14,巴斯大学University of Bath,449.0,4.05,3.06,79.0,91.9,免费评估
15,布里斯托大学University of Bristol,486.0,3.99,3.15,70.0,91.7,免费评估
16,兰卡斯特大学Lancaster University,412.0,4.1,3.08,78.0,91.5,免费评估
17,King's College London,432.0,4.06,3.07,78.0,91.5,免费评估
18,华威大学The University of Warwick,416.0,4.33,3.01,75.0,91.3,免费评估
19,利兹大学University of Leeds,422.0,4.0,3.19,78.0,91.2,免费评估
20,思克莱德大学University of Strathclyde,459.0,4.01,3.28,67.0,90.7,免费评估
21,爱丁堡大学The University of Edinburgh,496.0,3.89,3.44,61.0,90.6,免费评估
22,格拉斯哥大学University of Glasgow,425.0,4.05,3.0,71.0,89.7,免费评估
23,纽卡斯尔大学Newcastle University,391.0,4.06,3.4,71.0,89.6,免费评估
24,邓迪大学University of Dundee,415.0,4.23,3.5,62.0,89.6,免费评估
25,东英吉利大学University of East Anglia,396.0,4.16,3.15,70.0,89.5,免费评估
26,阿伯丁大学University of Aberdeen,418.0,4.17,3.11,68.0,89.4,免费评估
27,莱斯特大学University of Leicester,401.0,4.08,3.16,71.0,89.4,免费评估
28,诺丁汉大学University of Nottingham,409.0,4.08,2.88,73.0,89.1,免费评估
29,斯旺西大学Swansea University,336.0,4.16,3.21,77.0,89.1,免费评估
30,肯特大学University of Kent,349.0,4.18,3.07,74.0,89.1,免费评估
31,南安普顿大学University of Southampton,379.0,4.19,2.99,71.0,89.0,免费评估
32,利物浦大学The University of Liverpool,398.0,4.07,2.97,67.0,88.4,免费评估
33,"圣乔治医学院St George's, University of London",383.0,3.8,2.95,79.0,88.3,免费评估
34,英国女王大学Queen's University Belfast,361.0,4.16,2.92,69.0,88.2,免费评估
35,赫瑞瓦特大学Heriot Watt University,367.0,3.76,2.83,79.0,88.1,免费评估
