Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,Cardiff,410.0,4.43,3.42,100.0,100.0,免费评估
2,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,477.0,4.17,3.11,98.0,99.2,免费评估
3,阿斯顿大学Aston University,391.0,4.64,3.37,97.0,98.8,免费评估
4,阿尔斯特大学University of Ulster,379.0,4.5,3.24,98.0,98.5,免费评估
5,曼彻斯特大学The University of Manchester,416.0,3.85,3.12,99.0,98.4,免费评估
6,伦敦城市大学City University London,345.0,4.72,3.06,98.0,97.0,免费评估
7,布拉德福德大学University of Bradford,357.0,3.97,3.22,97.0,95.8,免费评估
8,谢菲尔德大学The University of Sheffield,358.0,4.28,3.51,90.0,95.5,免费评估
9,Plymouth,372.0,4.01,2.58,98.0,95.1,免费评估
10,坎特伯雷大学Canterbury Christ Church University,,4.09,2.56,96.0,93.5,免费评估
11,利物浦大学The University of Liverpool,372.0,3.97,3.09,87.0,93.4,免费评估
12,剑桥安鲁大学Anglia Ruskin University,272.0,4.24,2.92,92.0,91.5,免费评估
13,赫特福德大学University of Hertfordshire,313.0,4.0,,,91.2,免费评估
