Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,诺丁汉大学University of Nottingham,431.0,4.0,3.13,,100.0,免费评估
2,兰卡斯特大学Lancaster University,387.0,4.21,3.21,96.0,99.5,免费评估
3,爱丁堡大学The University of Edinburgh,433.0,3.52,3.19,92.0,99.0,免费评估
4,巴斯大学University of Bath,400.0,4.41,3.23,84.0,98.2,免费评估
5,邓迪大学University of Dundee,,4.38,2.75,94.0,96.9,免费评估
6,伯明翰大学University of Birmingham,363.0,4.25,2.95,90.0,96.6,免费评估
7,米德塞斯大学Middlesex University,353.0,4.13,2.58,100.0,95.4,免费评估
8,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,389.0,4.2,3.11,86.0,95.3,免费评估
9,英国女王大学Queen's University Belfast,363.0,3.86,2.96,90.0,95.1,免费评估
10,朴茨茅斯大学University of Portsmouth,383.0,4.22,2.33,90.0,94.9,免费评估
11,萨塞克斯大学University of Sussex,346.0,3.96,2.82,94.0,94.4,免费评估
12,斯旺西大学Swansea University,,3.92,3.07,94.0,94.4,免费评估
13,东英吉利大学University of East Anglia,372.0,4.32,3.38,72.0,94.4,免费评估
14,华威大学The University of Warwick,,4.19,2.76,,94.2,免费评估
15,西英格兰大学University of the West of England,384.0,3.58,2.36,96.0,94.0,免费评估
16,罗伯特高登大学The Robert Gordon University,341.0,4.18,2.44,90.0,93.9,免费评估
17,思克莱德大学University of Strathclyde,405.0,4.47,2.94,62.0,93.9,免费评估
18,基尔大学Keele University,343.0,3.88,2.86,92.0,93.6,免费评估
19,约克大学The University of York,333.0,4.06,3.39,84.0,93.5,免费评估
20,西苏格兰大学University of the West of Scotland,355.0,4.33,2.23,86.0,93.1,免费评估
21,Lincoln,353.0,4.2,2.45,90.0,92.8,免费评估
22,利物浦霍普大学Liverpool Hope University,353.0,4.77,2.13,80.0,92.7,免费评估
23,肯特大学University of Kent,292.0,4.12,3.37,88.0,92.6,免费评估
24,哈德斯菲尔德大学University of Huddersfield,350.0,4.24,2.83,82.0,92.1,免费评估
25,赫尔大学The University of Hull,340.0,3.95,2.58,88.0,91.8,免费评估
26,索尔福德大学University of Salford,377.0,3.66,2.65,74.0,91.7,免费评估
27,阿尔斯特大学University of Ulster,318.0,4.21,2.94,76.0,91.2,免费评估
28,Plymouth,341.0,4.42,2.77,72.0,90.9,免费评估
29,伯恩茅斯大学Bournemouth University,348.0,3.99,2.56,84.0,90.6,免费评估
30,德蒙福特大学De Montfort University,316.0,3.98,2.55,86.0,89.7,免费评估
31,剑桥安鲁大学Anglia Ruskin University,326.0,4.1,2.16,86.0,89.7,免费评估
32,考文垂大学Coventry University,337.0,4.32,2.01,76.0,89.3,免费评估
33,诺桑比亚大学Northumbria University,369.0,4.09,2.49,62.0,89.2,免费评估
