Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,555.0,4.34,3.35,85.0,100.0,免费评估
2,考陶尔德艺术学院Courtauld Institute of Art,455.0,4.25,3.49,80.0,95.2,免费评估
3,圣安德鲁斯大学University of St Andrews,478.0,4.43,3.3,75.0,94.7,免费评估
4,牛津大学University of Oxford,521.0,4.11,2.92,80.0,94.4,免费评估
5,伦敦大学学院University College London,502.0,4.05,3.22,70.0,92.6,免费评估
6,埃塞克斯大学University of Essex,,4.26,3.21,75.0,92.5,免费评估
7,埃克塞特大学University of Exeter,491.0,4.34,2.84,,91.5,免费评估
8,伯明翰大学University of Birmingham,397.0,4.17,3.12,85.0,90.9,免费评估
9,华威大学The University of Warwick,469.0,4.18,3.19,65.0,90.8,免费评估
10,莱斯特大学University of Leicester,,4.17,2.97,75.0,90.4,免费评估
11,圣大卫三一学院University of Wales Trinity Saint David,,4.35,2.94,,89.7,免费评估
12,约克大学The University of York,406.0,4.32,3.29,60.0,88.0,免费评估
13,格拉斯哥大学University of Glasgow,404.0,4.26,2.98,70.0,87.7,免费评估
14,萨塞克斯大学University of Sussex,384.0,4.19,2.66,80.0,87.2,免费评估
15,"伦敦大学伯克贝克学院Birkbeck, University Of London",,4.23,2.91,,86.9,免费评估
16,布里斯托大学University of Bristol,453.0,4.0,2.72,65.0,86.3,免费评估
17,曼彻斯特大学The University of Manchester,360.0,4.18,3.26,65.0,86.1,免费评估
18,东英吉利大学University of East Anglia,413.0,4.35,3.1,55.0,86.1,免费评估
19,利兹大学University of Leeds,410.0,4.25,3.15,60.0,85.9,免费评估
20,爱丁堡大学The University of Edinburgh,463.0,3.87,3.07,60.0,85.1,免费评估
21,肯特大学University of Kent,323.0,4.21,3.2,70.0,84.9,免费评估
22,亚伯大学Aberystwyth University,,4.37,2.67,,84.8,免费评估
23,伦敦大学金史密斯学院Goldsmiths University of London,387.0,4.12,2.83,60.0,83.4,免费评估
24,伦敦大学亚非学院SOAS University of London,396.0,4.16,3.16,50.0,83.4,免费评估
25,诺丁汉大学University of Nottingham,360.0,4.13,2.62,70.0,83.2,免费评估
26,金斯顿大学Kingston University,,4.1,2.93,55.0,80.2,免费评估
27,牛津布鲁克斯大学Oxford Brookes University,339.0,4.12,3.01,50.0,79.8,免费评估
28,阿伯丁大学University of Aberdeen,,4.05,2.95,40.0,78.8,免费评估
29,利物浦约翰摩尔斯大学Liverpool John Moores University,403.0,4.36,2.75,40.0,78.7,免费评估
30,曼彻斯特城市大学Manchester Metropolitan University,392.0,4.29,2.74,40.0,77.9,免费评估
31,Plymouth,270.0,4.37,2.84,30.0,71.9,免费评估
32,布莱顿大学University of Brighton,282.0,3.74,2.95,40.0,70.2,免费评估
