Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,215,3.83,3.02,,100.0,免费评估
2,牛津大学University of Oxford,203,3.79,3.07,80.0,99.8,免费评估
3,曼彻斯特大学The University of Manchester,161,4.04,3.16,70.0,97.1,免费评估
4,杜伦大学Durham University,171,4.14,2.87,,96.3,免费评估
5,诺丁汉大学University of Nottingham,159,3.63,2.75,75.0,95.2,免费评估
6,利兹大学University of Leeds,159,3.92,2.91,65.0,94.5,免费评估
7,爱丁堡大学The University of Edinburgh,161,3.95,2.91,55.0,93.3,免费评估
8,谢菲尔德大学The University of Sheffield,154,3.85,2.77,65.0,93.2,免费评估
9,伦敦大学亚非学院SOAS University of London,145,3.97,2.78,60.0,92.8,免费评估
10,牛津布鲁克斯大学Oxford Brookes University,135,4.22,,50.0,88.2,免费评估
11,肯特大学University of Kent,121,4.17,,,87.9,免费评估
12,中央兰开夏大学University of Central Lancashire,120,3.69,,50.0,85.7,免费评估
