Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,思克莱德大学University of Strathclyde,211.0,4.28,3.17,78.0,100.0,免费评估
2,格拉斯哥大学University of Glasgow,216.0,3.96,2.81,89.0,99.4,免费评估
3,巴斯大学University of Bath,185.0,4.31,3.2,83.0,98.7,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,197.0,3.61,3.46,90.0,98.6,免费评估
5,拉夫堡大学Loughborough University,163.0,4.33,2.97,95.0,98.4,免费评估
6,利兹大学University of Leeds,174.0,4.33,3.18,84.0,97.8,免费评估
7,埃克塞特大学University of Exeter,177.0,4.16,2.85,90.0,97.3,免费评估
8,英国女王大学Queen's University Belfast,162.0,4.12,2.88,93.0,96.9,免费评估
9,华威大学The University of Warwick,175.0,3.95,3.15,87.0,96.9,免费评估
10,兰卡斯特大学Lancaster University,150.0,4.33,3.16,89.0,96.7,免费评估
11,诺丁汉大学University of Nottingham,162.0,4.16,2.92,87.0,96.0,免费评估
12,杜伦大学Durham University,162.0,4.04,3.05,92.0,95.9,免费评估
13,阿伯丁大学University of Aberdeen,180.0,4.05,3.02,81.0,95.6,免费评估
14,萨塞克斯大学University of Sussex,144.0,4.04,2.87,100.0,95.5,免费评估
15,伯明翰大学University of Birmingham,160.0,4.02,2.84,89.0,95.3,免费评估
16,谢菲尔德大学The University of Sheffield,152.0,4.01,3.12,88.0,94.4,免费评估
17,赫瑞瓦特大学Heriot Watt University,161.0,4.08,2.75,86.0,94.4,免费评估
18,纽卡斯尔大学Newcastle University,156.0,3.97,2.72,89.0,94.1,免费评估
19,雷丁大学University of Reading,149.0,3.99,3.11,87.0,94.1,免费评估
20,曼彻斯特大学The University of Manchester,173.0,3.96,3.07,74.0,93.9,免费评估
21,邓迪大学University of Dundee,160.0,4.03,2.3,92.0,93.9,免费评估
22,罗伯特高登大学The Robert Gordon University,193.0,4.29,2.53,72.0,93.5,免费评估
23,东英吉利大学University of East Anglia,149.0,4.15,3.09,78.0,93.2,免费评估
24,斯特林大学University of Stirling,156.0,4.16,2.97,76.0,93.1,免费评估
25,南安普顿大学University of Southampton,152.0,3.97,2.9,83.0,93.0,免费评估
26,肯特大学University of Kent,136.0,4.0,2.84,89.0,92.9,免费评估
27,伦敦大学玛丽女王学院Queen Mary University of London,154.0,4.05,2.98,74.0,92.7,免费评估
28,斯旺西大学Swansea University,123.0,4.12,2.93,92.0,92.6,免费评估
29,萨里大学University of Surrey,176.0,4.09,2.69,68.0,92.3,免费评估
30,布里斯托大学University of Bristol,175.0,3.79,3.02,66.0,92.0,免费评估
31,伦敦城市大学City University London,164.0,4.0,3.23,66.0,91.8,免费评估
32,阿尔斯特大学University of Ulster,123.0,4.09,2.97,81.0,91.8,免费评估
33,爱丁堡大学The University of Edinburgh,173.0,3.8,3.04,66.0,91.5,免费评估
34,利物浦大学The University of Liverpool,152.0,4.08,2.92,71.0,91.2,免费评估
35,伦敦大学皇家霍洛威学院Royal Holloway University of London,140.0,4.0,2.96,,91.0,免费评估
36,卡迪夫大学Cardiff University,151.0,3.8,3.28,70.0,90.8,免费评估
37,诺丁汉特伦特大学Nottingham Trent University,134.0,4.33,2.65,82.0,90.8,免费评估
38,莱斯特大学University of Leicester,126.0,4.11,2.66,79.0,90.7,免费评估
39,阿斯顿大学Aston University,138.0,4.15,3.07,72.0,90.6,免费评估
40,亚伯大学Aberystwyth University,121.0,4.28,2.52,76.0,89.5,免费评估
41,班戈大学Bangor University,121.0,4.28,2.81,68.0,89.1,免费评估
42,德蒙福特大学De Montfort University,104.0,4.14,2.74,86.0,88.8,免费评估
43,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,164.0,4.05,2.29,67.0,88.5,免费评估
44,朴茨茅斯大学University of Portsmouth,119.0,4.12,2.74,77.0,88.4,免费评估
45,诺桑比亚大学Northumbria University,145.0,4.12,2.54,69.0,88.4,免费评估
46,赫尔大学The University of Hull,122.0,4.14,2.54,75.0,88.3,免费评估
47,布拉德福德大学University of Bradford,133.0,4.21,2.83,64.0,88.1,免费评估
48,埃塞克斯大学University of Essex,114.0,4.04,2.86,69.0,87.8,免费评估
49,Lincoln,116.0,4.2,2.65,76.0,87.7,免费评估
50,哈德斯菲尔德大学University of Huddersfield,131.0,4.08,2.44,72.0,87.1,免费评估
51,利物浦约翰摩尔斯大学Liverpool John Moores University,140.0,4.59,,73.0,86.8,免费评估
52,西英格兰大学University of the West of England,117.0,4.11,2.59,72.0,86.7,免费评估
53,西苏格兰大学University of the West of Scotland,140.0,4.2,2.28,63.0,86.5,免费评估
54,牛津布鲁克斯大学Oxford Brookes University,115.0,4.28,2.65,67.0,86.5,免费评估
55,布鲁内尔大学Brunel University,119.0,3.91,2.2,69.0,86.3,免费评估
56,基尔大学Keele University,115.0,4.07,2.4,69.0,86.2,免费评估
57,艾芝西尔大学Edge Hill University,133.0,4.17,2.03,65.0,86.0,免费评估
58,考文垂大学Coventry University,117.0,4.21,2.5,69.0,85.9,免费评估
59,曼彻斯特城市大学Manchester Metropolitan University,127.0,4.13,2.6,62.0,85.8,免费评估
60,龙比亚大学Napier University,147.0,3.94,2.47,59.0,85.6,免费评估
61,米德塞斯大学Middlesex University,108.0,4.18,2.72,62.0,85.2,免费评估
62,威斯敏斯特大学University of Westminster,131.0,4.2,2.27,60.0,85.1,免费评估
63,白金汉大学The University of Buckingham,,4.46,,73.0,84.9,免费评估
64,切斯特大学University of Chester,108.0,4.33,1.57,79.0,84.8,免费评估
65,伍斯特大学University of Worcester,114.0,4.37,1.65,69.0,84.5,免费评估
66,普利茅斯大学University of Plymouth,119.0,4.19,2.48,51.0,84.4,免费评估
67,南威尔士大学The University of South Wales,119.0,4.14,1.44,77.0,84.0,免费评估
68,"伦敦大学伯克贝克学院Birkbeck, University Of London",80.0,3.91,2.5,73.0,83.9,免费评估
69,谢菲尔德哈莱姆大学Sheffield Hallam University,117.0,4.09,2.32,64.0,83.9,免费评估
70,格林威治大学The University of Greenwich,134.0,3.99,2.21,55.0,83.5,免费评估
71,中央兰开夏大学University of Central Lancashire,123.0,4.76,2.4,37.0,83.5,免费评估
72,索尔福德大学University of Salford,115.0,4.25,2.66,50.0,83.5,免费评估
73,赫特福德大学University of Hertfordshire,113.0,4.04,2.05,67.0,83.2,免费评估
74,布莱顿大学University of Brighton,108.0,3.49,2.84,69.0,83.1,免费评估
75,伯恩茅斯大学Bournemouth University,116.0,3.82,2.65,56.0,83.0,免费评估
76,金斯顿大学Kingston University,126.0,3.95,2.78,46.0,82.9,免费评估
77,罗汉普顿大学Roehampton University,109.0,3.88,2.23,64.0,82.9,免费评估
78,伦敦南岸大学London South Bank University,90.0,4.14,1.83,74.0,82.8,免费评估
79,蒂赛德大学Teesside University,97.0,4.2,2.23,65.0,82.8,免费评估
80,格罗斯特大学University of Gloucestershire,111.0,3.94,,80.0,82.6,免费评估
81,伯明翰城市大学Birmingham City University,114.0,4.13,2.42,54.0,82.4,免费评估
82,利兹贝克特大学Leeds Beckett University,106.0,4.11,1.92,65.0,82.2,免费评估
83,德比大学University of Derby,99.0,4.02,1.93,70.0,82.2,免费评估
84,伦敦都市大学London Metropolitan University,93.0,4.19,2.31,60.0,81.5,免费评估
85,东伦敦大学University of East London,100.0,4.1,2.26,58.0,81.3,免费评估
86,阿伯泰邓迪大学University of Abertay Dundee,141.0,4.31,,48.0,81.3,免费评估
87,泰晤士河谷大学Thames Valley University,109.0,4.41,,61.0,81.2,免费评估
88,北安普顿大学The University of Northampton,95.0,3.99,1.86,50.0,80.6,免费评估
89,伍尔弗汉普顿大学University of Wolverhampton,86.0,4.16,2.12,59.0,80.5,免费评估
90,利物浦霍普大学Liverpool Hope University,103.0,3.77,,75.0,80.2,免费评估
91,新白金汉大学Buckinghamshire New University,113.0,4.09,2.43,40.0,79.9,免费评估
92,波尔顿大学University of Bolton,90.0,4.65,,56.0,79.8,免费评估
93,卡迪夫都市大学Cardiff Metropolitan University,109.0,3.82,,66.0,79.5,免费评估
94,桑德兰大学University of Sunderland,117.0,3.89,1.32,53.0,78.5,免费评估
95,剑桥安鲁大学Anglia Ruskin University,81.0,4.08,2.42,45.0,78.1,免费评估
96,南安普顿索伦特大学Southampton Solent University,94.0,3.9,,55.0,76.7,免费评估
97,Wrexham Glyndwr,,4.04,,48.0,76.6,免费评估
98,奇切斯特大学University of Chichester,102.0,3.92,,50.0,76.6,免费评估
99,斯塔福德郡大学Staffordshire University,104.0,4.39,,37.0,76.5,免费评估
100,利兹圣三一大学Leeds Trinity University,75.0,4.28,,,76.4,免费评估
101,贝德福德大学University of Bedfordshire,84.0,3.66,2.36,43.0,76.0,免费评估
102,坎特伯雷大学Canterbury Christ Church University,97.0,3.84,,48.0,75.4,免费评估
103,温切斯特大学University of Winchester,95.0,4.15,,39.0,75.0,免费评估
104,圣大卫三一学院University of Wales Trinity Saint David,,3.98,,19.0,69.6,免费评估
