Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,245.0,4.23,3.54,85.0,100.0,免费评估
2,牛津大学University of Oxford,227.0,4.09,3.43,91.0,99.6,免费评估
3,杜伦大学Durham University,216.0,4.23,3.31,81.0,97.2,免费评估
4,帝国理工学院Imperial College London,204.0,3.81,3.3,87.0,96.8,免费评估
5,圣安德鲁斯大学University of St Andrews,208.0,4.01,3.23,83.0,96.6,免费评估
6,约克大学The University of York,177.0,4.35,3.21,84.0,96.1,免费评估
7,华威大学The University of Warwick,173.0,4.25,3.3,83.0,95.7,免费评估
8,格拉斯哥大学University of Glasgow,201.0,3.88,3.15,83.0,95.6,免费评估
9,伦敦大学学院University College London,188.0,3.89,3.3,82.0,95.3,免费评估
10,利物浦大学The University of Liverpool,145.0,4.24,3.5,86.0,95.3,免费评估
11,曼彻斯特大学The University of Manchester,173.0,4.26,3.24,81.0,95.1,免费评估
12,诺丁汉特伦特大学Nottingham Trent University,128.0,4.36,3.16,94.0,95.0,免费评估
13,诺丁汉大学University of Nottingham,155.0,4.23,3.22,82.0,94.5,免费评估
14,东英吉利大学University of East Anglia,140.0,4.13,3.27,88.0,94.5,免费评估
15,布里斯托大学University of Bristol,183.0,4.08,3.35,75.0,94.4,免费评估
16,伯明翰大学University of Birmingham,161.0,4.22,3.01,83.0,94.4,免费评估
17,巴斯大学University of Bath,171.0,4.11,3.23,80.0,94.4,免费评估
18,思克莱德大学University of Strathclyde,191.0,3.97,3.15,78.0,94.4,免费评估
19,爱丁堡大学The University of Edinburgh,180.0,3.96,3.23,79.0,94.4,免费评估
20,阿斯顿大学Aston University,126.0,4.25,2.83,95.0,94.1,免费评估
21,英国女王大学Queen's University Belfast,151.0,3.78,2.93,90.0,93.9,免费评估
22,南安普顿大学University of Southampton,153.0,4.26,3.23,77.0,93.7,免费评估
23,赫瑞瓦特大学Heriot Watt University,167.0,4.14,3.01,79.0,93.6,免费评估
24,利兹大学University of Leeds,160.0,4.11,3.18,80.0,93.6,免费评估
25,拉夫堡大学Loughborough University,149.0,4.46,2.7,82.0,93.5,免费评估
26,兰卡斯特大学Lancaster University,145.0,4.29,2.98,,93.4,免费评估
27,基尔大学Keele University,121.0,4.32,3.09,83.0,93.1,免费评估
28,谢菲尔德大学The University of Sheffield,150.0,4.15,3.19,78.0,93.1,免费评估
29,伦敦国王学院King's College London,164.0,3.84,3.07,,92.9,免费评估
30,萨里大学University of Surrey,164.0,4.33,2.98,74.0,92.9,免费评估
31,卡迪夫大学Cardiff University,144.0,3.99,3.29,81.0,92.8,免费评估
32,莱斯特大学University of Leicester,128.0,4.39,2.94,77.0,92.0,免费评估
33,班戈大学Bangor University,128.0,4.08,2.7,85.0,91.8,免费评估
34,纽卡斯尔大学Newcastle University,149.0,4.05,2.91,76.0,91.7,免费评估
35,萨塞克斯大学University of Sussex,145.0,4.1,2.66,79.0,91.7,免费评估
36,考文垂大学Coventry University,141.0,4.11,3.14,,91.4,免费评估
37,利物浦约翰摩尔斯大学Liverpool John Moores University,133.0,3.58,2.75,92.0,91.3,免费评估
38,德蒙福特大学De Montfort University,98.0,4.12,2.58,92.0,91.1,免费评估
39,伦敦大学玛丽女王学院Queen Mary University of London,132.0,4.03,3.07,74.0,91.0,免费评估
40,谢菲尔德哈莱姆大学Sheffield Hallam University,112.0,4.45,2.55,80.0,91.0,免费评估
41,普利茅斯大学University of Plymouth,119.0,4.0,2.98,80.0,90.9,免费评估
42,赫尔大学The University of Hull,108.0,4.04,2.91,81.0,90.5,免费评估
43,阿伯丁大学University of Aberdeen,167.0,4.06,2.94,64.0,90.5,免费评估
44,雷丁大学University of Reading,127.0,3.98,2.85,76.0,90.4,免费评估
45,布拉德福德大学University of Bradford,109.0,3.99,3.22,80.0,90.3,免费评估
46,中央兰开夏大学University of Central Lancashire,124.0,4.13,2.36,81.0,90.2,免费评估
47,肯特大学University of Kent,130.0,4.09,2.88,72.0,90.1,免费评估
48,布莱顿大学University of Brighton,102.0,4.0,3.17,82.0,90.0,免费评估
49,哈德斯菲尔德大学University of Huddersfield,110.0,4.19,2.67,79.0,89.7,免费评估
50,格林威治大学The University of Greenwich,129.0,3.95,2.46,80.0,89.5,免费评估
51,曼彻斯特城市大学Manchester Metropolitan University,130.0,3.92,2.69,75.0,89.4,免费评估
52,南威尔士大学The University of South Wales,122.0,4.2,,85.0,89.1,免费评估
53,诺桑比亚大学Northumbria University,128.0,3.97,3.12,61.0,87.5,免费评估
54,金斯顿大学Kingston University,,4.22,2.82,63.0,87.1,免费评估
55,Lincoln,112.0,4.18,,,86.1,免费评估
56,西苏格兰大学University of the West of Scotland,124.0,4.05,2.67,53.0,86.0,免费评估
57,伍尔弗汉普顿大学University of Wolverhampton,109.0,4.06,,,85.5,免费评估
58,伦敦都市大学London Metropolitan University,109.0,4.45,,63.0,85.2,免费评估
59,索尔福德大学University of Salford,128.0,3.76,,68.0,85.1,免费评估
60,蒂赛德大学Teesside University,,3.73,,72.0,84.9,免费评估
