Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,217,4.06,3.31,82.0,100.0,免费评估
2,剑桥大学University of Cambridge,208,4.23,3.06,82.0,99.3,免费评估
3,圣安德鲁斯大学University of St Andrews,191,4.36,3.21,76.0,98.0,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,194,3.78,3.21,84.0,97.5,免费评估
5,伦敦大学学院University College London,190,3.77,3.2,84.0,97.4,免费评估
6,杜伦大学Durham University,191,4.09,2.82,82.0,96.7,免费评估
7,伯明翰大学University of Birmingham,155,4.1,3.3,82.0,95.8,免费评估
8,埃克塞特大学University of Exeter,179,3.9,2.99,78.0,95.6,免费评估
9,华威大学The University of Warwick,174,4.08,3.22,72.0,95.2,免费评估
10,布里斯托大学University of Bristol,186,3.99,3.12,70.0,95.0,免费评估
11,兰卡斯特大学Lancaster University,144,4.2,3.15,80.0,95.0,免费评估
12,萨塞克斯大学University of Sussex,144,4.1,2.98,86.0,94.8,免费评估
13,约克大学The University of York,153,4.23,2.74,78.0,94.3,免费评估
14,伦敦国王学院King's College London,178,3.92,3.23,66.0,94.1,免费评估
15,谢菲尔德大学The University of Sheffield,152,4.01,3.18,72.0,93.6,免费评估
16,曼彻斯特大学The University of Manchester,164,4.17,2.86,70.0,93.4,免费评估
17,南安普顿大学University of Southampton,151,4.16,2.86,72.0,93.0,免费评估
18,爱丁堡大学The University of Edinburgh,165,3.76,3.2,68.0,93.0,免费评估
19,利兹大学University of Leeds,158,4.04,3.12,66.0,92.6,免费评估
20,诺丁汉大学University of Nottingham,150,4.14,2.8,70.0,92.5,免费评估
21,埃塞克斯大学University of Essex,111,4.18,3.19,78.0,92.3,免费评估
22,纽卡斯尔大学Newcastle University,149,4.16,3.46,60.0,92.3,免费评估
23,肯特大学University of Kent,119,4.2,2.72,80.0,92.2,免费评估
24,格拉斯哥大学University of Glasgow,174,3.98,2.57,60.0,91.1,免费评估
25,伦敦大学皇家霍洛威学院Royal Holloway University of London,140,3.9,2.81,66.0,90.5,免费评估
26,阿伯丁大学University of Aberdeen,158,4.23,2.75,52.0,90.2,免费评估
27,赫特福德大学University of Hertfordshire,109,4.28,2.78,68.0,89.9,免费评估
28,东英吉利大学University of East Anglia,137,4.03,2.88,62.0,89.9,免费评估
29,利物浦大学The University of Liverpool,133,3.96,2.79,64.0,89.7,免费评估
30,邓迪大学University of Dundee,164,4.14,2.68,48.0,89.6,免费评估
31,卡迪夫大学Cardiff University,137,4.09,2.85,54.0,89.2,免费评估
32,基尔大学Keele University,118,4.13,2.73,64.0,88.9,免费评估
33,斯特林大学University of Stirling,167,3.97,2.71,48.0,88.9,免费评估
34,"伦敦大学伯克贝克学院Birkbeck, University Of London",104,4.11,3.05,,88.5,免费评估
35,雷丁大学University of Reading,127,4.09,2.72,54.0,88.0,免费评估
36,利物浦霍普大学Liverpool Hope University,104,4.37,2.37,62.0,87.6,免费评估
37,英国女王大学Queen's University Belfast,144,3.73,2.98,46.0,87.5,免费评估
38,西英格兰大学University of the West of England,121,4.65,2.45,46.0,87.2,免费评估
39,诺丁汉特伦特大学Nottingham Trent University,127,4.26,2.81,52.0,87.1,免费评估
40,赫尔大学The University of Hull,111,4.14,2.22,60.0,86.8,免费评估
41,罗汉普顿大学Roehampton University,107,3.62,2.47,66.0,86.7,免费评估
42,"特威克南圣玛丽大学St Mary's, Twickenham",113,4.41,1.61,62.0,86.6,免费评估
43,曼彻斯特城市大学Manchester Metropolitan University,122,4.12,2.26,52.0,86.0,免费评估
44,布莱顿大学University of Brighton,101,3.99,2.95,56.0,85.6,免费评估
45,班戈大学Bangor University,127,4.83,,52.0,85.3,免费评估
46,中央兰开夏大学University of Central Lancashire,107,4.61,2.63,40.0,84.5,免费评估
47,牛津布鲁克斯大学Oxford Brookes University,123,3.9,2.3,48.0,84.2,免费评估
48,巴斯斯巴大学Bath Spa University,111,4.59,,56.0,84.1,免费评估
49,格罗斯特大学University of Gloucestershire,127,4.23,,,83.9,免费评估
50,利兹圣三一大学Leeds Trinity University,98,4.37,,,82.0,免费评估
51,伍尔弗汉普顿大学University of Wolverhampton,96,4.32,,,81.6,免费评估
52,奇切斯特大学University of Chichester,96,4.31,,,81.6,免费评估
53,剑桥安鲁大学Anglia Ruskin University,87,4.35,,48.0,80.6,免费评估
54,圣大卫三一学院University of Wales Trinity Saint David,82,4.3,,38.0,78.5,免费评估
