Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,拉夫堡大学Loughborough University,,4.17,3.04,90,100.0,免费评估
2,诺桑比亚大学Northumbria University,142.0,4.21,2.45,72,97.4,免费评估
3,罗伯特高登大学The Robert Gordon University,,3.91,2.65,88,95.9,免费评估
4,诺丁汉特伦特大学Nottingham Trent University,140.0,4.29,,76,94.3,免费评估
5,德蒙福特大学De Montfort University,106.0,4.13,3.18,78,93.8,免费评估
6,谢菲尔德哈莱姆大学Sheffield Hallam University,117.0,3.95,2.72,76,93.3,免费评估
7,朴茨茅斯大学University of Portsmouth,123.0,4.39,,80,92.9,免费评估
8,德比大学University of Derby,107.0,4.52,,92,92.9,免费评估
9,利兹贝克特大学Leeds Beckett University,117.0,4.3,1.52,84,92.5,免费评估
10,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,,4.28,2.64,62,92.0,免费评估
11,格罗斯特大学University of Gloucestershire,125.0,4.06,,76,91.9,免费评估
12,曼彻斯特城市大学Manchester Metropolitan University,129.0,3.63,2.6,64,91.7,免费评估
13,伍尔弗汉普顿大学University of Wolverhampton,,3.19,3.37,60,90.8,免费评估
14,东伦敦大学University of East London,120.0,4.2,,48,87.1,免费评估
15,剑桥安鲁大学Anglia Ruskin University,93.0,4.66,,66,87.0,免费评估
