Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,212,4.03,2.98,82.0,100.0,免费评估
2,布里斯托大学University of Bristol,160,4.24,3.07,72.0,95.8,免费评估
3,巴斯大学University of Bath,165,4.0,3.23,76.0,95.7,免费评估
4,埃克塞特大学University of Exeter,163,4.15,2.99,73.0,95.7,免费评估
5,格拉斯哥大学University of Glasgow,198,4.1,3.2,57.0,95.5,免费评估
6,拉夫堡大学Loughborough University,154,4.24,3.35,65.0,94.9,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,175,3.73,3.12,72.0,94.8,免费评估
8,爱丁堡大学The University of Edinburgh,177,3.94,3.16,62.0,94.4,免费评估
9,曼彻斯特大学The University of Manchester,153,4.04,3.26,68.0,94.1,免费评估
10,伯明翰大学University of Birmingham,148,4.03,2.78,77.0,94.0,免费评估
11,萨塞克斯大学University of Sussex,140,4.14,2.75,74.0,93.6,免费评估
12,华威大学The University of Warwick,153,4.09,2.76,68.0,93.4,免费评估
13,萨里大学University of Surrey,161,4.12,2.91,64.0,93.4,免费评估
14,谢菲尔德大学The University of Sheffield,135,4.21,3.04,73.0,93.3,免费评估
15,肯特大学University of Kent,123,3.91,3.37,77.0,93.1,免费评估
16,伦敦国王学院King's College London,154,4.04,3.01,,93.0,免费评估
17,兰卡斯特大学Lancaster University,149,4.0,3.21,63.0,92.9,免费评估
18,利兹大学University of Leeds,153,4.03,3.12,61.0,92.8,免费评估
19,约克大学The University of York,141,3.91,3.27,69.0,92.8,免费评估
20,阿伯丁大学University of Aberdeen,179,4.09,2.86,48.0,92.3,免费评估
21,基尔大学Keele University,117,4.19,2.86,74.0,91.9,免费评估
22,杜伦大学Durham University,169,3.83,2.9,58.0,91.8,免费评估
23,诺丁汉大学University of Nottingham,142,3.97,3.13,62.0,91.7,免费评估
24,阿斯顿大学Aston University,123,4.1,3.08,64.0,91.2,免费评估
25,纽卡斯尔大学Newcastle University,144,4.0,2.92,59.0,91.0,免费评估
26,朴茨茅斯大学University of Portsmouth,118,4.14,2.89,65.0,90.7,免费评估
27,南安普顿大学University of Southampton,145,3.83,3.23,53.0,90.4,免费评估
28,斯特林大学University of Stirling,166,4.0,3.01,43.0,90.4,免费评估
29,埃塞克斯大学University of Essex,112,3.98,3.14,65.0,90.1,免费评估
30,阿伯泰邓迪大学University of Abertay Dundee,161,4.08,2.0,59.0,90.1,免费评估
31,班戈大学Bangor University,126,4.23,3.13,52.0,89.9,免费评估
32,利物浦霍普大学Liverpool Hope University,118,4.18,2.13,72.0,89.7,免费评估
33,牛津布鲁克斯大学Oxford Brookes University,121,3.99,2.37,68.0,89.7,免费评估
34,玛格丽特女王大学Queen Margaret University,118,4.13,2.48,64.0,89.6,免费评估
35,考文垂大学Coventry University,120,4.21,2.01,70.0,89.5,免费评估
36,莱斯特大学University of Leicester,127,4.13,2.58,57.0,89.3,免费评估
37,哈德斯菲尔德大学University of Huddersfield,109,4.08,2.83,69.0,89.2,免费评估
38,斯旺西大学Swansea University,131,4.28,,71.0,89.2,免费评估
39,利物浦约翰摩尔斯大学Liverpool John Moores University,138,4.02,2.7,58.0,89.0,免费评估
40,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,179,3.94,2.78,38.0,89.0,免费评估
41,卡迪夫大学Cardiff University,139,3.79,3.22,52.0,89.0,免费评估
42,龙比亚大学Napier University,157,3.9,2.65,52.0,88.9,免费评估
43,英国女王大学Queen's University Belfast,138,3.93,2.59,52.0,88.8,免费评估
44,利物浦大学The University of Liverpool,136,3.93,2.88,51.0,88.8,免费评估
45,罗伯特高登大学The Robert Gordon University,152,3.91,2.85,51.0,88.7,免费评估
46,诺桑比亚大学Northumbria University,136,4.0,2.49,55.0,88.7,免费评估
47,布鲁内尔大学Brunel University,117,3.95,2.69,57.0,88.5,免费评估
48,赫尔大学The University of Hull,115,3.83,2.58,67.0,88.4,免费评估
49,诺丁汉特伦特大学Nottingham Trent University,128,4.08,2.34,60.0,88.2,免费评估
50,布拉德福德大学University of Bradford,118,4.06,2.86,58.0,88.2,免费评估
51,西苏格兰大学University of the West of Scotland,141,4.03,2.23,49.0,87.8,免费评估
52,伦敦城市大学City University London,133,4.1,2.86,43.0,87.6,免费评估
53,德蒙福特大学De Montfort University,106,3.94,2.55,65.0,87.6,免费评估
54,曼彻斯特城市大学Manchester Metropolitan University,126,3.95,2.83,50.0,87.3,免费评估
55,西英格兰大学University of the West of England,124,4.03,2.36,52.0,87.1,免费评估
56,普利茅斯大学University of Plymouth,110,4.26,2.77,48.0,87.1,免费评估
57,贝德福德大学University of Bedfordshire,96,4.16,3.05,55.0,87.1,免费评估
58,蒂赛德大学Teesside University,112,3.8,2.99,56.0,86.9,免费评估
59,谢菲尔德哈莱姆大学Sheffield Hallam University,118,4.09,2.72,49.0,86.8,免费评估
60,伦敦大学金史密斯学院Goldsmiths University of London,116,4.0,2.83,43.0,86.8,免费评估
61,罗汉普顿大学Roehampton University,103,3.89,2.66,57.0,86.8,免费评估
62,德比大学University of Derby,109,3.99,2.63,55.0,86.7,免费评估
63,伯恩茅斯大学Bournemouth University,108,4.03,2.56,56.0,86.2,免费评估
64,中央兰开夏大学University of Central Lancashire,117,3.94,2.58,50.0,86.2,免费评估
65,阿尔斯特大学University of Ulster,113,4.14,2.94,36.0,86.2,免费评估
66,索尔福德大学University of Salford,120,4.02,2.65,39.0,86.1,免费评估
67,高地与群岛大学University of the Highlands and Islands,119,3.74,,71.0,86.1,免费评估
68,米德塞斯大学Middlesex University,116,3.88,2.58,51.0,86.1,免费评估
69,东伦敦大学University of East London,111,4.16,2.74,45.0,86.1,免费评估
70,伯明翰城市大学Birmingham City University,127,4.07,2.02,49.0,86.0,免费评估
71,伦敦南岸大学London South Bank University,101,3.8,2.67,55.0,86.0,免费评估
72,纽曼大学Newman University,117,4.4,,,85.7,免费评估
73,伦敦大学皇家霍洛威学院Royal Holloway University of London,135,4.0,,53.0,85.6,免费评估
74,Lincoln,124,4.26,,,85.5,免费评估
75,斯塔福德郡大学Staffordshire University,98,4.29,1.86,51.0,85.1,免费评估
76,布莱顿大学University of Brighton,109,3.96,2.6,46.0,85.0,免费评估
77,艾芝西尔大学Edge Hill University,123,3.97,2.03,45.0,84.7,免费评估
78,桑德兰大学University of Sunderland,118,4.02,2.12,46.0,84.4,免费评估
