Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,伯明翰大学University of Birmingham,150.0,3.86,3.32,80.0,100.0,免费评估
2,萨塞克斯大学University of Sussex,145.0,4.25,3.21,80.0,99.9,免费评估
3,曼彻斯特大学The University of Manchester,154.0,3.98,3.19,65.0,98.1,免费评估
4,诺丁汉大学University of Nottingham,136.0,4.13,2.97,70.0,96.1,免费评估
5,东英吉利大学University of East Anglia,153.0,4.03,3.08,50.0,94.2,免费评估
6,肯特大学University of Kent,116.0,4.31,3.03,60.0,93.9,免费评估
7,莱斯特大学University of Leicester,121.0,3.74,3.14,70.0,93.3,免费评估
8,曼彻斯特城市大学Manchester Metropolitan University,122.0,4.26,3.07,,93.0,免费评估
9,赫尔大学The University of Hull,117.0,4.09,2.83,65.0,91.6,免费评估
10,斯旺西大学Swansea University,111.0,4.03,2.87,70.0,90.8,免费评估
11,朴茨茅斯大学University of Portsmouth,105.0,4.3,2.89,55.0,90.4,免费评估
12,基尔大学Keele University,115.0,3.99,2.83,50.0,89.3,免费评估
13,埃塞克斯大学University of Essex,100.0,3.87,3.14,50.0,89.2,免费评估
14,温切斯特大学University of Winchester,,4.25,2.59,55.0,87.7,免费评估
15,坎特伯雷大学Canterbury Christ Church University,107.0,4.13,2.63,35.0,84.6,免费评估
