Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,241,3.92,3.48,94.0,100.0,免费评估
2,布里斯托大学University of Bristol,203,4.26,3.3,98.0,99.4,免费评估
3,牛津大学University of Oxford,235,3.97,3.51,88.0,98.9,免费评估
4,帝国理工学院Imperial College London,182,4.27,3.39,92.0,97.8,免费评估
5,杜伦大学Durham University,218,3.93,3.08,90.0,97.2,免费评估
6,华威大学The University of Warwick,174,4.23,3.22,92.0,96.8,免费评估
7,阿伯丁大学University of Aberdeen,193,3.98,2.94,,95.2,免费评估
8,埃克塞特大学University of Exeter,162,3.85,3.18,92.0,95.1,免费评估
9,思克莱德大学University of Strathclyde,174,3.71,3.03,,94.0,免费评估
10,斯旺西大学Swansea University,123,4.1,3.29,86.0,93.4,免费评估
11,莱斯特大学University of Leicester,129,3.95,2.99,,92.4,免费评估
12,利物浦约翰摩尔斯大学Liverpool John Moores University,160,3.67,2.45,88.0,91.8,免费评估
13,阿尔斯特大学University of Ulster,125,4.18,2.89,82.0,91.5,免费评估
14,卡迪夫大学Cardiff University,138,3.91,3.31,78.0,91.5,免费评估
15,中央兰开夏大学University of Central Lancashire,116,4.12,2.63,92.0,91.3,免费评估
16,阿斯顿大学Aston University,122,3.9,2.83,82.0,90.5,免费评估
17,西英格兰大学University of the West of England,120,4.19,2.85,82.0,90.5,免费评估
18,朴茨茅斯大学University of Portsmouth,139,4.11,2.46,,90.4,免费评估
19,伦敦南岸大学London South Bank University,124,3.74,2.59,,90.0,免费评估
20,伯恩茅斯大学Bournemouth University,127,4.12,2.31,82.0,89.9,免费评估
21,赫尔大学The University of Hull,123,3.81,2.82,,89.9,免费评估
22,布拉德福德大学University of Bradford,129,3.85,2.69,80.0,89.1,免费评估
23,考文垂大学Coventry University,115,3.92,2.62,76.0,88.4,免费评估
24,伦敦城市大学City University London,112,3.85,2.85,68.0,87.5,免费评估
25,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,150,3.86,2.4,70.0,87.4,免费评估
26,波尔顿大学University of Bolton,108,3.18,2.6,,87.3,免费评估
27,伍尔弗汉普顿大学University of Wolverhampton,80,3.66,2.2,80.0,86.1,免费评估
28,北安普顿大学The University of Northampton,84,3.42,2.03,78.0,85.9,免费评估
29,龙比亚大学Napier University,122,3.65,2.29,64.0,84.8,免费评估
