Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,212,4.01,3.0,84.0,100.0,免费评估
2,牛津大学University of Oxford,204,4.06,2.87,78.0,98.2,免费评估
3,埃克塞特大学University of Exeter,172,3.84,2.99,76.0,95.8,免费评估
4,伦敦大学学院University College London,171,4.08,2.91,74.0,95.7,免费评估
5,曼彻斯特大学The University of Manchester,161,4.2,3.12,74.0,95.5,免费评估
6,伯明翰大学University of Birmingham,153,4.17,3.37,,95.3,免费评估
7,萨塞克斯大学University of Sussex,149,4.0,2.91,84.0,95.3,免费评估
8,伦敦政治经济学院The London School of Economics and Political Science,178,4.0,2.84,70.0,95.1,免费评估
9,南安普顿大学University of Southampton,150,4.18,3.23,,94.9,免费评估
10,杜伦大学Durham University,172,3.79,2.96,76.0,94.5,免费评估
11,爱丁堡大学The University of Edinburgh,181,3.94,3.02,60.0,93.9,免费评估
12,伦敦大学亚非学院SOAS University of London,164,4.11,2.8,64.0,93.0,免费评估
13,圣安德鲁斯大学University of St Andrews,183,4.33,2.67,54.0,92.9,免费评估
14,肯特大学University of Kent,135,4.05,2.63,76.0,91.9,免费评估
15,利物浦约翰摩尔斯大学Liverpool John Moores University,154,4.26,2.49,66.0,91.1,免费评估
16,阿伯丁大学University of Aberdeen,160,4.1,2.76,50.0,90.4,免费评估
17,布鲁内尔大学Brunel University,113,4.51,2.62,64.0,90.4,免费评估
18,中央兰开夏大学University of Central Lancashire,135,3.99,2.09,72.0,89.7,免费评估
19,英国女王大学Queen's University Belfast,140,4.06,3.07,46.0,89.5,免费评估
20,布里斯托大学University of Bristol,153,3.66,2.17,62.0,88.8,免费评估
21,伦敦大学金史密斯学院Goldsmiths University of London,126,3.75,2.88,54.0,88.3,免费评估
22,诺丁汉特伦特大学Nottingham Trent University,126,3.94,,74.0,87.7,免费评估
23,普利茅斯大学University of Plymouth,124,4.04,2.77,56.0,87.7,免费评估
24,哈德斯菲尔德大学University of Huddersfield,118,4.11,,68.0,86.6,免费评估
25,牛津布鲁克斯大学Oxford Brookes University,118,4.0,2.38,50.0,86.2,免费评估
26,南威尔士大学The University of South Wales,127,3.95,2.86,46.0,86.0,免费评估
27,Wrexham Glyndŵr,88,4.69,,66.0,85.9,免费评估
28,伯明翰城市大学Birmingham City University,115,3.98,2.02,66.0,85.8,免费评估
29,圣大卫三一学院University of Wales Trinity Saint David,106,4.23,2.26,48.0,85.4,免费评估
30,德比大学University of Derby,124,4.23,,,85.3,免费评估
31,罗汉普顿大学Roehampton University,110,3.18,2.65,,85.1,免费评估
32,伯恩茅斯大学Bournemouth University,107,3.98,,60.0,84.2,免费评估
33,Suffolk,106,3.95,,42.0,81.1,免费评估
34,利兹贝克特大学Leeds Beckett University,104,4.02,,40.0,80.9,免费评估
35,剑桥安鲁大学Anglia Ruskin University,101,4.06,,38.0,80.5,免费评估
