Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,213.0,4.32,3.24,81.0,100.0,免费评估
2,牛津大学University of Oxford,206.0,4.12,3.26,81.0,98.7,免费评估
3,杜伦大学Durham University,203.0,4.11,3.18,86.0,98.4,免费评估
4,圣安德鲁斯大学University of St Andrews,196.0,4.26,3.23,71.0,96.5,免费评估
5,伦敦大学学院University College London,180.0,3.92,3.22,78.0,95.7,免费评估
6,约克大学The University of York,171.0,4.08,3.31,79.0,95.4,免费评估
7,兰卡斯特大学Lancaster University,159.0,4.23,3.12,83.0,95.3,免费评估
8,伦敦政治经济学院The London School of Economics and Political Science,181.0,3.81,3.15,80.0,95.2,免费评估
9,埃克塞特大学University of Exeter,172.0,3.97,3.25,80.0,95.2,免费评估
10,谢菲尔德大学The University of Sheffield,154.0,4.11,3.3,78.0,94.7,免费评估
11,利兹大学University of Leeds,170.0,4.09,3.23,74.0,94.5,免费评估
12,伯明翰大学University of Birmingham,161.0,4.05,3.32,76.0,94.4,免费评估
13,华威大学The University of Warwick,166.0,3.98,3.28,75.0,94.4,免费评估
14,诺丁汉大学University of Nottingham,161.0,4.05,2.92,82.0,94.4,免费评估
15,布里斯托大学University of Bristol,177.0,3.92,2.95,73.0,93.8,免费评估
16,萨塞克斯大学University of Sussex,149.0,4.06,3.21,80.0,93.7,免费评估
17,格拉斯哥大学University of Glasgow,172.0,4.02,3.18,68.0,93.5,免费评估
18,拉夫堡大学Loughborough University,144.0,4.42,2.51,81.0,93.5,免费评估
19,曼彻斯特大学The University of Manchester,162.0,4.13,3.24,71.0,93.4,免费评估
20,南安普顿大学University of Southampton,152.0,4.01,3.3,72.0,93.1,免费评估
21,肯特大学University of Kent,138.0,4.11,2.96,79.0,93.0,免费评估
22,阿伯丁大学University of Aberdeen,181.0,4.08,2.95,64.0,93.0,免费评估
23,伦敦国王学院King's College London,164.0,3.84,3.29,72.0,92.9,免费评估
24,纽卡斯尔大学Newcastle University,162.0,4.01,2.81,76.0,92.8,免费评估
25,卡迪夫大学Cardiff University,159.0,4.06,3.19,71.0,92.3,免费评估
26,爱丁堡大学The University of Edinburgh,183.0,3.77,3.13,61.0,92.2,免费评估
27,思克莱德大学University of Strathclyde,181.0,4.01,2.95,57.0,92.0,免费评估
28,林肯大学University of Lincoln,125.0,4.34,2.81,80.0,91.9,免费评估
29,东英吉利大学University of East Anglia,138.0,4.09,3.09,68.0,91.6,免费评估
30,基尔大学Keele University,125.0,4.16,3.03,75.0,91.3,免费评估
31,伦敦大学皇家霍洛威学院Royal Holloway University of London,136.0,4.04,2.99,71.0,91.2,免费评估
32,利物浦霍普大学Liverpool Hope University,114.0,4.29,2.31,87.0,91.2,免费评估
33,伦敦大学玛丽女王学院Queen Mary University of London,136.0,4.08,3.21,67.0,91.0,免费评估
34,利物浦大学The University of Liverpool,137.0,4.1,3.07,68.0,90.9,免费评估
35,伦敦大学亚非学院SOAS University of London,148.0,4.13,2.58,72.0,90.7,免费评估
36,斯旺西大学Swansea University,123.0,4.15,3.07,76.0,90.5,免费评估
37,赫特福德大学University of Hertfordshire,107.0,4.11,3.29,73.0,90.4,免费评估
38,亚伯大学Aberystwyth University,124.0,4.25,2.69,75.0,90.3,免费评估
39,邓迪大学University of Dundee,137.0,4.15,2.77,65.0,90.2,免费评估
40,斯特林大学University of Stirling,164.0,4.08,2.88,56.0,89.9,免费评估
41,利物浦约翰摩尔斯大学Liverpool John Moores University,133.0,4.41,2.53,68.0,89.8,免费评估
42,诺桑比亚大学Northumbria University,136.0,4.26,2.88,61.0,89.7,免费评估
43,赫尔大学The University of Hull,123.0,4.17,2.83,70.0,89.6,免费评估
44,英国女王大学Queen's University Belfast,145.0,3.99,3.15,55.0,89.6,免费评估
45,哈德斯菲尔德大学University of Huddersfield,120.0,4.17,2.76,72.0,89.5,免费评估
46,朴茨茅斯大学University of Portsmouth,99.0,4.3,2.89,73.0,89.5,免费评估
47,莱斯特大学University of Leicester,127.0,3.98,3.14,65.0,89.2,免费评估
48,蒂赛德大学Teesside University,92.0,4.14,2.82,79.0,89.2,免费评估
49,布鲁内尔大学Brunel University,108.0,4.23,2.79,68.0,89.1,免费评估
50,班戈大学Bangor University,121.0,4.32,2.9,61.0,88.8,免费评估
51,德蒙福特大学De Montfort University,105.0,3.97,2.7,78.0,88.6,免费评估
52,牛津布鲁克斯大学Oxford Brookes University,120.0,4.07,3.01,61.0,88.4,免费评估
53,罗汉普顿大学Roehampton University,101.0,4.2,2.7,71.0,88.0,免费评估
54,雷丁大学University of Reading,126.0,3.91,2.98,57.0,87.7,免费评估
55,考文垂大学Coventry University,117.0,4.31,2.01,77.0,87.5,免费评估
56,诺丁汉特伦特大学Nottingham Trent University,117.0,4.06,2.76,66.0,87.4,免费评估
57,纽曼大学Newman University,111.0,4.29,2.43,69.0,87.3,免费评估
58,曼彻斯特城市大学Manchester Metropolitan University,117.0,4.15,2.82,63.0,87.3,免费评估
59,埃塞克斯大学University of Essex,102.0,3.99,2.87,63.0,87.3,免费评估
60,普利茅斯大学University of Plymouth,117.0,4.42,2.63,52.0,87.3,免费评估
61,北安普顿大学The University of Northampton,100.0,4.2,2.86,56.0,87.0,免费评估
62,中央兰开夏大学University of Central Lancashire,116.0,4.38,2.33,61.0,86.7,免费评估
63,伦敦大学金史密斯学院Goldsmiths University of London,113.0,4.0,2.94,51.0,86.5,免费评估
64,奇切斯特大学University of Chichester,100.0,4.4,2.46,59.0,86.4,免费评估
65,阿尔斯特大学University of Ulster,119.0,4.3,2.65,48.0,86.3,免费评估
66,伯恩茅斯大学Bournemouth University,106.0,4.17,3.1,,86.3,免费评估
67,艾芝西尔大学Edge Hill University,116.0,4.02,2.62,54.0,86.1,免费评估
68,西英格兰大学University of the West of England,108.0,4.2,2.77,46.0,85.4,免费评估
69,谢菲尔德哈莱姆大学Sheffield Hallam University,108.0,4.23,2.87,42.0,85.4,免费评估
70,温切斯特大学University of Winchester,108.0,4.11,2.59,54.0,85.2,免费评估
71,德比大学University of Derby,101.0,4.38,2.63,54.0,84.9,免费评估
72,高地与群岛大学University of the Highlands and Islands,114.0,3.99,2.8,45.0,84.6,免费评估
73,斯塔福德郡大学Staffordshire University,106.0,4.19,1.86,68.0,84.4,免费评估
74,Canterbury Christ Church,92.0,4.35,2.63,49.0,84.1,免费评估
75,巴斯斯巴大学Bath Spa University,106.0,3.86,2.18,66.0,84.1,免费评估
76,切斯特大学University of Chester,112.0,4.11,2.35,52.0,84.0,免费评估
77,索尔福德大学University of Salford,111.0,3.92,2.04,68.0,84.0,免费评估
78,格林威治大学The University of Greenwich,126.0,3.75,2.23,60.0,83.9,免费评估
79,威斯敏斯特大学University of Westminster,102.0,4.01,2.34,62.0,83.9,免费评估
80,伍斯特大学University of Worcester,111.0,3.78,2.53,55.0,83.8,免费评估
81,圣大卫三一学院University of Wales Trinity Saint David,120.0,4.24,2.26,38.0,83.7,免费评估
82,"特威克南圣玛丽大学St Mary's, Twickenham",96.0,4.32,2.22,56.0,83.6,免费评估
83,格罗斯泰斯特主教大学Bishop Grosseteste University,82.0,3.94,1.93,72.0,83.4,免费评估
84,格罗斯特大学University of Gloucestershire,101.0,4.14,1.95,54.0,83.4,免费评估
85,南威尔士大学The University of South Wales,112.0,4.15,2.69,38.0,82.8,免费评估
86,剑桥安鲁大学Anglia Ruskin University,100.0,4.26,2.12,44.0,82.6,免费评估
87,伍尔弗汉普顿大学University of Wolverhampton,95.0,4.07,2.56,44.0,82.6,免费评估
88,桑德兰大学University of Sunderland,102.0,4.03,2.16,54.0,82.1,免费评估
89,布莱顿大学University of Brighton,100.0,3.99,2.95,42.0,81.8,免费评估
90,约克圣约翰大学York St John University,108.0,4.24,,49.0,80.9,免费评估
91,利兹贝克特大学Leeds Beckett University,98.0,4.09,,56.0,80.7,免费评估
92,Suffolk,109.0,4.81,,27.0,79.7,免费评估
93,Wrexham Glyndŵr,,4.11,,49.0,79.6,免费评估
