Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,拉夫堡大学Loughborough University,153.0,4.02,3.28,96.0,100.0,免费评估
2,伦敦大学学院University College London,151.0,3.86,3.25,,99.0,免费评估
3,赫瑞瓦特大学Heriot Watt University,157.0,3.79,3.05,92.0,98.4,免费评估
4,雷丁大学University of Reading,135.0,3.88,3.22,96.0,97.8,免费评估
5,阿尔斯特大学University of Ulster,134.0,4.18,2.94,94.0,97.4,免费评估
6,诺丁汉大学University of Nottingham,144.0,4.11,2.65,,96.8,免费评估
7,牛津布鲁克斯大学Oxford Brookes University,122.0,4.23,2.89,94.0,96.1,免费评估
8,西英格兰大学University of the West of England,123.0,4.45,2.71,92.0,95.7,免费评估
9,谢菲尔德哈莱姆大学Sheffield Hallam University,116.0,4.14,3.13,94.0,95.5,免费评估
10,利物浦约翰摩尔斯大学Liverpool John Moores University,145.0,4.05,2.49,88.0,95.3,免费评估
11,罗伯特高登大学The Robert Gordon University,129.0,4.26,1.89,92.0,95.2,免费评估
12,伦敦南岸大学London South Bank University,117.0,3.54,2.59,96.0,95.1,免费评估
13,考文垂大学Coventry University,128.0,4.03,2.62,88.0,94.7,免费评估
14,诺桑比亚大学Northumbria University,131.0,3.93,2.52,90.0,94.6,免费评估
15,龙比亚大学Napier University,139.0,4.26,2.5,84.0,94.5,免费评估
16,诺丁汉特伦特大学Nottingham Trent University,118.0,4.03,2.34,96.0,94.4,免费评估
17,阿斯顿大学Aston University,141.0,4.08,2.83,76.0,94.0,免费评估
18,索尔福德大学University of Salford,127.0,3.84,2.69,84.0,93.8,免费评估
19,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,139.0,3.8,2.52,80.0,93.2,免费评估
20,威斯敏斯特大学University of Westminster,120.0,3.59,2.8,86.0,92.8,免费评估
21,普利茅斯大学University of Plymouth,121.0,3.87,2.45,82.0,92.7,免费评估
22,朴茨茅斯大学University of Portsmouth,117.0,3.88,,96.0,92.5,免费评估
23,利兹贝克特大学Leeds Beckett University,106.0,3.98,2.3,90.0,92.4,免费评估
24,格林威治大学The University of Greenwich,130.0,3.65,2.2,84.0,92.1,免费评估
25,德比大学University of Derby,106.0,4.6,2.29,82.0,92.0,免费评估
26,剑桥安鲁大学Anglia Ruskin University,108.0,4.15,2.11,86.0,91.9,免费评估
27,中央兰开夏大学University of Central Lancashire,123.0,4.03,2.23,80.0,91.7,免费评估
28,南威尔士大学The University of South Wales,119.0,3.74,,92.0,91.6,免费评估
29,伍尔弗汉普顿大学University of Wolverhampton,93.0,4.09,2.09,86.0,90.9,免费评估
30,伯明翰城市大学Birmingham City University,110.0,3.53,2.66,80.0,90.2,免费评估
31,南安普顿索伦特大学Southampton Solent University,100.0,4.3,,86.0,90.0,免费评估
32,布莱顿大学University of Brighton,102.0,3.78,,88.0,89.6,免费评估
33,波尔顿大学University of Bolton,,4.01,1.38,78.0,89.1,免费评估
34,金斯顿大学Kingston University,105.0,3.68,,80.0,88.1,免费评估
35,东伦敦大学University of East London,85.0,3.97,2.41,70.0,87.1,免费评估
36,圣大卫三一学院University of Wales Trinity Saint David,93.0,4.18,,72.0,86.6,免费评估
