Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,格拉斯哥大学University of Glasgow,201,4.51,3.2,98.0,100.0,免费评估
2,爱丁堡大学The University of Edinburgh,189,3.96,3.19,100.0,98.8,免费评估
3,曼彻斯特大学The University of Manchester,151,4.12,3.38,98.0,96.6,免费评估
4,萨里大学University of Surrey,154,4.09,3.37,98.0,96.3,免费评估
5,南安普顿大学University of Southampton,149,3.78,3.47,99.0,96.3,免费评估
6,利物浦大学The University of Liverpool,142,4.42,3.04,100.0,96.1,免费评估
7,伯明翰大学University of Birmingham,147,4.2,3.12,99.0,96.1,免费评估
8,利兹大学University of Leeds,150,3.96,3.27,100.0,96.0,免费评估
9,基尔大学Keele University,135,4.46,3.3,100.0,95.6,免费评估
10,伦敦国王学院King's College London,149,3.74,3.33,98.0,95.3,免费评估
11,东英吉利大学University of East Anglia,148,3.85,3.26,99.0,95.3,免费评估
12,卡迪夫大学Cardiff University,148,3.61,3.42,99.0,95.3,免费评估
13,阿尔斯特大学University of Ulster,132,4.37,3.04,100.0,95.3,免费评估
14,诺丁汉大学University of Nottingham,143,3.82,3.22,99.0,95.0,免费评估
15,约克大学The University of York,148,3.75,3.24,96.0,95.0,免费评估
16,诺桑比亚大学Northumbria University,142,4.04,3.12,100.0,95.0,免费评估
17,伦敦城市大学City University London,136,4.44,3.06,96.0,94.8,免费评估
18,朴茨茅斯大学University of Portsmouth,118,4.38,3.12,100.0,94.8,免费评估
19,哈德斯菲尔德大学University of Huddersfield,141,4.15,2.85,99.0,94.7,免费评估
20,曼彻斯特城市大学Manchester Metropolitan University,137,4.24,2.88,100.0,94.7,免费评估
21,英国女王大学Queen's University Belfast,132,3.98,2.91,99.0,94.7,免费评估
22,考文垂大学Coventry University,136,4.21,3.14,99.0,94.5,免费评估
23,格林威治大学The University of Greenwich,143,3.97,2.62,98.0,94.5,免费评估
24,布拉德福德大学University of Bradford,145,3.78,3.22,98.0,94.5,免费评估
25,赫尔大学The University of Hull,135,4.08,3.16,98.0,94.4,免费评估
26,斯旺西大学Swansea University,141,4.05,2.84,98.0,94.4,免费评估
27,林肯大学University of Lincoln,126,4.11,3.11,100.0,94.3,免费评估
28,普利茅斯大学University of Plymouth,152,3.92,2.58,98.0,94.3,免费评估
29,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,136,4.03,3.11,99.0,94.3,免费评估
30,班戈大学Bangor University,124,3.96,3.29,99.0,94.2,免费评估
31,斯特林大学University of Stirling,128,3.81,3.3,99.0,94.2,免费评估
32,"Kingston/St George's, University of London",142,4.01,2.82,100.0,94.2,免费评估
33,西英格兰大学University of the West of England,133,4.17,3.06,98.0,94.1,免费评估
34,牛津布鲁克斯大学Oxford Brookes University,141,3.91,2.96,99.0,94.0,免费评估
35,玛格丽特女王大学Queen Margaret University,142,4.43,2.41,98.0,94.0,免费评估
36,西苏格兰大学University of the West of Scotland,121,4.25,2.67,98.0,94.0,免费评估
37,利物浦约翰摩尔斯大学Liverpool John Moores University,141,4.12,2.75,97.0,94.0,免费评估
38,南威尔士大学The University of South Wales,141,4.07,2.68,99.0,93.8,免费评估
39,中央兰开夏大学University of Central Lancashire,146,3.76,2.63,98.0,93.7,免费评估
40,索尔福德大学University of Salford,137,4.15,2.63,98.0,93.6,免费评估
41,贝德福德大学University of Bedfordshire,120,4.0,2.92,99.0,93.5,免费评估
42,切斯特大学University of Chester,126,4.17,2.29,99.0,93.4,免费评估
43,艾芝西尔大学Edge Hill University,138,4.32,2.53,95.0,93.3,免费评估
44,谢菲尔德哈莱姆大学Sheffield Hallam University,134,3.95,2.81,98.0,93.3,免费评估
45,伦敦南岸大学London South Bank University,121,4.06,2.67,100.0,93.3,免费评估
46,邓迪大学University of Dundee,110,4.2,3.07,99.0,93.2,免费评估
47,北安普顿大学The University of Northampton,126,3.99,2.14,99.0,93.2,免费评估
48,布莱顿大学University of Brighton,126,3.73,3.17,99.0,93.1,免费评估
49,蒂赛德大学Teesside University,124,4.2,2.77,98.0,93.0,免费评估
50,剑桥安鲁大学Anglia Ruskin University,120,4.04,2.92,99.0,92.9,免费评估
51,伯明翰城市大学Birmingham City University,136,3.88,2.55,98.0,92.9,免费评估
52,米德塞斯大学Middlesex University,117,4.07,2.75,99.0,92.8,免费评估
53,德比大学University of Derby,119,4.1,2.35,100.0,92.7,免费评估
54,赫特福德大学University of Hertfordshire,114,4.08,2.99,99.0,92.7,免费评估
55,Canterbury Christ Church,129,3.92,2.56,99.0,92.6,免费评估
56,德蒙福特大学De Montfort University,122,4.04,2.58,96.0,92.6,免费评估
57,伍尔弗汉普顿大学University of Wolverhampton,128,4.04,2.54,94.0,92.6,免费评估
58,伯恩茅斯大学Bournemouth University,121,4.02,2.56,99.0,92.4,免费评估
59,伍斯特大学University of Worcester,124,4.16,2.0,99.0,92.1,免费评估
60,利兹贝克特大学Leeds Beckett University,115,4.27,1.76,100.0,91.8,免费评估
61,斯塔福德郡大学Staffordshire University,124,4.22,,99.0,91.6,免费评估
62,哥比亚大学University of Cumbria,131,3.98,,99.0,91.6,免费评估
63,泰晤士河谷大学Thames Valley University,115,4.17,2.16,95.0,91.2,免费评估
64,罗伯特高登大学The Robert Gordon University,115,3.99,,99.0,90.7,免费评估
65,龙比亚大学Napier University,107,3.49,2.65,96.0,90.4,免费评估
66,Suffolk,115,3.64,,100.0,90.2,免费评估
67,新白金汉大学Buckinghamshire New University,113,4.23,1.96,91.0,90.2,免费评估
68,埃塞克斯大学University of Essex,102,4.16,,99.0,90.1,免费评估
69,Wrexham Glyndŵr,71,4.42,1.78,100.0,89.6,免费评估
70,阿伯泰邓迪大学University of Abertay Dundee,104,3.68,,100.0,89.5,免费评估
71,波尔顿大学University of Bolton,130,4.5,,65.0,87.8,免费评估
72,高地与群岛大学University of the Highlands and Islands,91,3.88,,,87.2,免费评估
