Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,南安普顿大学University of Southampton,,4.64,3.23,100,100.0,免费评估
2,思克莱德大学University of Strathclyde,197.0,4.15,3.28,90,99.7,免费评估
3,曼彻斯特大学The University of Manchester,173.0,3.81,3.38,90,96.8,免费评估
4,东英吉利大学University of East Anglia,157.0,4.08,3.26,95,95.4,免费评估
5,雷丁大学University of Reading,157.0,3.97,3.05,85,94.3,免费评估
6,谢菲尔德大学The University of Sheffield,154.0,4.09,3.01,85,94.0,免费评估
7,纽卡斯尔大学Newcastle University,157.0,3.85,3.04,85,93.6,免费评估
8,玛格丽特女王大学Queen Margaret University,173.0,3.98,3.24,75,93.6,免费评估
9,伦敦城市大学City University London,137.0,4.43,3.06,90,93.2,免费评估
10,利兹大学University of Leeds,147.0,4.32,,100,92.7,免费评估
11,阿斯顿大学Aston University,122.0,3.74,3.37,95,91.9,免费评估
12,曼彻斯特城市大学Manchester Metropolitan University,131.0,4.02,2.88,95,91.8,免费评估
13,伯明翰城市大学Birmingham City University,143.0,4.24,,95,91.4,免费评估
14,德蒙福特大学De Montfort University,133.0,4.28,,100,91.3,免费评估
15,利兹贝克特大学Leeds Beckett University,136.0,4.64,1.76,90,91.3,免费评估
16,斯旺西大学Swansea University,121.0,3.92,,100,89.2,免费评估
17,卡迪夫都市大学Cardiff Metropolitan University,,4.49,,80,89.1,免费评估
18,阿尔斯特大学University of Ulster,155.0,4.18,,50,85.1,免费评估
19,Plymouth Marjon,114.0,4.08,,70,84.2,免费评估
