Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,241.0,4.0,3.48,94.0,100.0,免费评估
2,帝国理工学院Imperial College London,220.0,3.78,3.34,84.0,96.2,免费评估
3,格拉斯哥大学University of Glasgow,207.0,4.09,3.25,84.0,95.9,免费评估
4,布里斯托大学University of Bristol,204.0,4.23,3.3,80.0,95.7,免费评估
5,巴斯大学University of Bath,201.0,3.95,3.08,86.0,95.0,免费评估
6,南安普顿大学University of Southampton,182.0,3.95,3.23,80.0,93.7,免费评估
7,利兹大学University of Leeds,170.0,4.14,3.14,82.0,93.3,免费评估
8,拉夫堡大学Loughborough University,167.0,4.01,3.08,84.0,93.1,免费评估
9,诺丁汉大学University of Nottingham,169.0,4.11,3.16,80.0,92.9,免费评估
10,思克莱德大学University of Strathclyde,208.0,3.71,3.03,72.0,92.2,免费评估
11,斯旺西大学Swansea University,135.0,3.99,3.29,86.0,92.0,免费评估
12,曼彻斯特大学The University of Manchester,176.0,3.82,3.11,78.0,91.8,免费评估
13,谢菲尔德大学The University of Sheffield,158.0,3.76,3.11,82.0,91.4,免费评估
14,萨里大学University of Surrey,163.0,3.91,2.98,76.0,90.7,免费评估
15,利物浦大学The University of Liverpool,141.0,3.95,3.14,80.0,90.6,免费评估
16,莱斯特大学University of Leicester,127.0,3.88,2.99,84.0,90.3,免费评估
17,英国女王大学Queen's University Belfast,146.0,3.71,2.99,78.0,90.0,免费评估
18,布鲁内尔大学Brunel University,142.0,3.9,2.72,82.0,89.9,免费评估
19,考文垂大学Coventry University,136.0,4.29,2.62,80.0,89.3,免费评估
20,西英格兰大学University of the West of England,135.0,3.92,2.85,82.0,88.8,免费评估
21,普利茅斯大学University of Plymouth,126.0,3.92,2.72,84.0,88.7,免费评估
22,伦敦大学玛丽女王学院Queen Mary University of London,133.0,3.58,3.29,72.0,88.4,免费评估
23,朴茨茅斯大学University of Portsmouth,111.0,4.11,2.46,88.0,88.4,免费评估
24,赫特福德大学University of Hertfordshire,115.0,3.84,2.52,84.0,88.0,免费评估
25,西苏格兰大学University of the West of Scotland,152.0,4.44,2.48,66.0,87.7,免费评估
26,蒂赛德大学Teesside University,125.0,4.3,2.63,,86.9,免费评估
27,中央兰开夏大学University of Central Lancashire,135.0,3.92,2.63,,86.3,免费评估
28,谢菲尔德哈莱姆大学Sheffield Hallam University,122.0,3.76,2.55,70.0,86.0,免费评估
29,斯塔福德郡大学Staffordshire University,110.0,4.32,2.26,76.0,85.9,免费评估
30,阿斯顿大学Aston University,126.0,3.88,2.83,62.0,85.5,免费评估
31,索尔福德大学University of Salford,131.0,4.05,2.49,68.0,85.3,免费评估
32,伦敦城市大学City University London,124.0,4.1,2.85,56.0,85.1,免费评估
33,南威尔士大学The University of South Wales,121.0,3.63,2.47,66.0,83.2,免费评估
34,萨塞克斯大学University of Sussex,142.0,3.93,,,82.8,免费评估
35,伍尔弗汉普顿大学University of Wolverhampton,104.0,3.61,2.2,,81.9,免费评估
36,金斯顿大学Kingston University,120.0,3.75,2.32,58.0,81.8,免费评估
37,布莱顿大学University of Brighton,124.0,3.34,2.67,52.0,81.1,免费评估
38,高地与群岛大学University of the Highlands and Islands,,4.0,,40.0,75.9,免费评估
