Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,圣安德鲁斯大学University of St Andrews,204.0,4.34,3.16,100.0,100.0,免费评估
2,纽卡斯尔大学Newcastle University,180.0,4.5,3.4,92.0,98.2,免费评估
3,牛津大学University of Oxford,225.0,4.01,3.4,76.0,97.1,免费评估
4,邓迪大学University of Dundee,195.0,4.17,3.5,80.0,96.6,免费评估
5,格拉斯哥大学University of Glasgow,198.0,4.07,3.0,84.0,96.0,免费评估
6,伦敦大学学院University College London,193.0,3.87,3.25,80.0,95.4,免费评估
7,南安普顿大学University of Southampton,149.0,4.05,2.99,94.0,94.7,免费评估
8,拉夫堡大学Loughborough University,,4.41,3.24,78.0,94.6,免费评估
9,"圣乔治医学院St George's, University of London",158.0,3.9,2.95,98.0,94.6,免费评估
10,利兹大学University of Leeds,165.0,4.12,3.19,82.0,94.2,免费评估
11,卡迪夫大学Cardiff University,149.0,4.43,3.23,,94.0,免费评估
12,利物浦大学The University of Liverpool,144.0,4.52,3.09,84.0,93.8,免费评估
13,布里斯托大学University of Bristol,176.0,3.98,3.16,74.0,93.4,免费评估
14,萨塞克斯大学University of Sussex,151.0,3.95,3.28,84.0,93.4,免费评估
15,曼彻斯特大学The University of Manchester,167.0,4.03,3.12,78.0,93.2,免费评估
16,伦敦国王学院King's College London,172.0,3.92,3.07,78.0,93.2,免费评估
17,英国女王大学Queen's University Belfast,156.0,3.87,2.88,86.0,93.1,免费评估
18,索尔福德大学University of Salford,140.0,4.48,2.63,94.0,92.9,免费评估
19,爱丁堡大学The University of Edinburgh,188.0,3.65,3.35,68.0,92.6,免费评估
20,阿伯丁大学University of Aberdeen,180.0,4.11,3.11,68.0,92.4,免费评估
21,伯明翰大学University of Birmingham,159.0,3.82,3.04,,92.3,免费评估
22,哈德斯菲尔德大学University of Huddersfield,139.0,4.03,2.09,100.0,92.0,免费评估
23,西英格兰大学University of the West of England,100.0,4.09,3.06,100.0,91.6,免费评估
24,诺丁汉大学University of Nottingham,155.0,3.92,2.88,78.0,91.4,免费评估
25,朴茨茅斯大学University of Portsmouth,,4.13,2.54,84.0,91.2,免费评估
26,曼彻斯特城市大学Manchester Metropolitan University,133.0,4.18,2.88,82.0,90.6,免费评估
27,考文垂大学Coventry University,121.0,4.31,3.14,82.0,90.5,免费评估
28,东伦敦大学University of East London,123.0,4.14,3.05,84.0,90.4,免费评估
29,中央兰开夏大学University of Central Lancashire,,4.52,2.63,74.0,90.4,免费评估
30,基尔大学Keele University,130.0,4.24,3.3,66.0,89.1,免费评估
31,普利茅斯大学University of Plymouth,139.0,4.12,2.58,76.0,89.1,免费评估
32,班戈大学Bangor University,128.0,4.06,3.29,60.0,88.0,免费评估
33,牛津布鲁克斯大学Oxford Brookes University,135.0,4.14,2.67,64.0,88.0,免费评估
34,威斯敏斯特大学University of Westminster,118.0,4.21,2.75,68.0,87.8,免费评估
35,剑桥安鲁大学Anglia Ruskin University,123.0,3.76,1.73,88.0,86.9,免费评估
36,伦敦大学玛丽女王学院Queen Mary University of London,139.0,4.15,,,85.8,免费评估
37,阿尔斯特大学University of Ulster,130.0,3.81,,76.0,85.1,免费评估
