Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,196.0,,3.07,90.0,100.0,免费评估
2,杜伦大学Durham University,196.0,4.06,2.98,90.0,98.5,免费评估
3,圣安德鲁斯大学University of St Andrews,188.0,4.22,3.23,,98.2,免费评估
4,爱丁堡大学The University of Edinburgh,182.0,4.03,2.91,90.0,97.0,免费评估
5,曼彻斯特大学The University of Manchester,161.0,3.71,3.16,75.0,93.4,免费评估
6,伦敦大学亚非学院SOAS University of London,152.0,4.11,2.78,75.0,91.9,免费评估
7,埃克塞特大学University of Exeter,155.0,3.4,3.25,75.0,91.5,免费评估
8,利兹大学University of Leeds,146.0,4.23,2.91,70.0,91.2,免费评估
9,伯明翰大学University of Birmingham,,3.83,3.37,50.0,89.4,免费评估
10,"University of Westminster, London",98.0,4.13,1.99,65.0,81.0,免费评估
