Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,邓迪大学University of Dundee,209.0,4.08,3.31,94.0,100.0,免费评估
2,思克莱德大学University of Strathclyde,190.0,3.61,3.28,100.0,99.0,免费评估
3,斯旺西大学Swansea University,150.0,4.37,3.49,100.0,97.5,免费评估
4,卡迪夫大学Cardiff University,157.0,4.08,3.42,98.0,96.7,免费评估
5,埃克塞特大学University of Exeter,149.0,4.25,3.12,100.0,96.5,免费评估
6,利兹大学University of Leeds,152.0,4.17,3.27,100.0,96.4,免费评估
7,班戈大学Bangor University,155.0,3.75,3.29,100.0,95.9,免费评估
8,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,163.0,4.05,3.11,96.0,95.1,免费评估
9,罗伯特高登大学The Robert Gordon University,168.0,4.62,,100.0,94.8,免费评估
10,利物浦大学The University of Liverpool,133.0,4.17,3.09,98.0,94.2,免费评估
11,布拉德福德大学University of Bradford,152.0,3.5,3.22,100.0,94.1,免费评估
12,阿尔斯特大学University of Ulster,142.0,4.14,3.24,86.0,93.5,免费评估
13,德比大学University of Derby,149.0,4.6,,100.0,93.2,免费评估
14,索尔福德大学University of Salford,144.0,4.13,2.63,98.0,92.5,免费评估
15,"Bristol, University of the West of England",121.0,4.34,3.06,96.0,92.2,免费评估
16,玛格丽特女王大学Queen Margaret University,153.0,3.91,2.41,98.0,92.0,免费评估
17,"Teesside University, Middlesbrough",132.0,4.17,2.77,98.0,91.9,免费评估
18,赫特福德大学University of Hertfordshire,123.0,4.27,2.99,96.0,91.8,免费评估
19,谢菲尔德哈莱姆大学Sheffield Hallam University,136.0,4.14,2.81,94.0,91.7,免费评估
20,伦敦城市大学City University London,128.0,4.3,3.06,86.0,91.5,免费评估
21,哥比亚大学University of Cumbria,129.0,4.35,2.5,100.0,91.5,免费评估
22,"Kingston/St George's, University of London",130.0,3.57,2.82,96.0,90.4,免费评估
23,伯明翰城市大学Birmingham City University,134.0,3.92,,98.0,90.4,免费评估
24,坎特伯雷大学Canterbury Christ Church University,126.0,3.88,2.56,98.0,90.3,免费评估
25,莱斯特大学University of Leicester,130.0,4.6,,,90.2,免费评估
26,朴茨茅斯大学University of Portsmouth,141.0,3.73,,96.0,90.2,免费评估
27,萨福克学院University Campus Suffolk,114.0,4.15,,96.0,88.9,免费评估
28,卡迪夫都市大学Cardiff Metropolitan University,124.0,4.16,,,88.5,免费评估
29,波尔顿大学University of Bolton,101.0,4.32,,,86.5,免费评估
30,曼彻斯特城市大学Manchester Metropolitan University,,3.73,2.88,44.0,81.0,免费评估
