Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,228.0,,3.34,84.0,100.0,免费评估
2,牛津大学University of Oxford,209.0,,3.36,82.0,98.0,免费评估
3,帝国理工学院Imperial College London,181.0,4.52,3.34,88.0,97.5,免费评估
4,杜伦大学Durham University,171.0,4.17,3.15,92.0,95.6,免费评估
5,圣安德鲁斯大学University of St Andrews,204.0,4.18,3.24,76.0,94.6,免费评估
6,布里斯托大学University of Bristol,170.0,4.37,3.34,74.0,94.1,免费评估
7,格拉斯哥大学University of Glasgow,196.0,4.05,3.04,74.0,93.1,免费评估
8,埃克塞特大学University of Exeter,143.0,4.4,3.11,78.0,93.0,免费评估
9,利兹大学University of Leeds,156.0,4.11,3.26,80.0,92.7,免费评估
10,南安普顿大学University of Southampton,149.0,4.15,3.29,74.0,92.1,免费评估
11,伦敦大学皇家霍洛威学院Royal Holloway University of London,125.0,4.2,3.2,82.0,92.1,免费评估
12,阿伯丁大学University of Aberdeen,156.0,4.07,3.06,78.0,92.0,免费评估
13,曼彻斯特大学The University of Manchester,152.0,4.15,3.18,74.0,91.7,免费评估
14,爱丁堡大学The University of Edinburgh,193.0,3.98,2.94,68.0,91.6,免费评估
15,伯明翰大学University of Birmingham,140.0,4.01,3.06,80.0,91.5,免费评估
16,University of East Anglia UEA,131.0,4.15,3.19,78.0,91.4,免费评估
17,朴茨茅斯大学University of Portsmouth,106.0,4.12,2.78,86.0,90.2,免费评估
18,诺丁汉大学University of Nottingham,133.0,4.13,2.92,,90.1,免费评估
19,卡迪夫大学Cardiff University,131.0,4.22,3.07,76.0,90.0,免费评估
20,莱斯特大学University of Leicester,128.0,4.15,3.06,72.0,90.0,免费评估
21,伦敦大学学院University College London,146.0,3.96,3.25,68.0,89.9,免费评估
22,利物浦大学The University of Liverpool,130.0,4.12,3.04,72.0,89.5,免费评估
23,基尔大学Keele University,109.0,4.26,2.57,78.0,88.4,免费评估
24,德比大学University of Derby,97.0,4.46,1.9,82.0,87.0,免费评估
25,普利茅斯大学University of Plymouth,118.0,4.04,2.98,64.0,86.9,免费评估
26,赫尔大学The University of Hull,97.0,4.06,2.96,66.0,86.6,免费评估
27,艾芝西尔大学Edge Hill University,,3.91,1.83,68.0,83.3,免费评估
28,布莱顿大学University of Brighton,95.0,4.28,2.59,54.0,82.9,免费评估
29,南威尔士大学The University of South Wales,,3.89,,42.0,76.3,免费评估
