Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,193.0,,3.12,90.0,100.0,免费评估
2,牛津大学University of Oxford,179.0,,3.02,80.0,96.7,免费评估
3,杜伦大学Durham University,166.0,4.15,3.34,85.0,95.5,免费评估
4,埃克塞特大学University of Exeter,156.0,4.32,3.01,85.0,94.6,免费评估
5,圣安德鲁斯大学University of St Andrews,192.0,4.59,2.93,70.0,94.4,免费评估
6,布里斯托大学University of Bristol,147.0,4.1,2.85,90.0,94.0,免费评估
7,兰卡斯特大学Lancaster University,154.0,3.97,3.15,80.0,93.3,免费评估
8,伯明翰大学University of Birmingham,145.0,3.83,3.26,85.0,92.5,免费评估
9,爱丁堡大学The University of Edinburgh,156.0,4.1,3.09,75.0,92.5,免费评估
10,诺丁汉大学University of Nottingham,135.0,4.18,3.01,80.0,92.3,免费评估
11,利兹大学University of Leeds,146.0,4.1,3.15,75.0,92.1,免费评估
12,伦敦大学亚非学院SOAS University of London,,3.93,3.04,75.0,90.7,免费评估
13,利物浦霍普大学Liverpool Hope University,120.0,4.46,2.37,80.0,90.2,免费评估
14,阿伯丁大学University of Aberdeen,,4.34,2.88,65.0,90.0,免费评估
15,"King's College London, University of London",156.0,3.88,3.08,65.0,89.9,免费评估
16,格拉斯哥大学University of Glasgow,139.0,4.23,2.56,70.0,89.7,免费评估
17,曼彻斯特大学The University of Manchester,145.0,3.92,2.97,65.0,89.5,免费评估
18,肯特大学University of Kent,119.0,4.0,3.11,65.0,88.5,免费评估
19,罗汉普顿大学Roehampton University,105.0,4.33,2.47,70.0,87.9,免费评估
20,卡迪夫大学Cardiff University,131.0,3.57,3.06,65.0,87.6,免费评估
21,"特威克南圣玛丽大学St Mary's, Twickenham",97.0,4.13,2.2,75.0,86.2,免费评估
22,切斯特大学University of Chester,112.0,4.43,2.35,60.0,86.0,免费评估
23,温切斯特大学University of Winchester,100.0,4.36,2.33,60.0,85.9,免费评估
24,格罗斯泰斯特主教大学Bishop Grosseteste University,101.0,3.71,,85.0,85.2,免费评估
25,坎特伯雷大学Canterbury Christ Church University,88.0,4.39,2.52,60.0,85.2,免费评估
26,纽曼大学Newman University,,4.36,1.79,65.0,85.0,免费评估
27,格罗斯特大学University of Gloucestershire,103.0,4.29,2.21,55.0,83.8,免费评估
28,约克圣约翰大学York St John University,95.0,3.96,2.07,65.0,83.6,免费评估
29,圣大卫三一学院University of Wales Trinity Saint David,,4.18,2.64,40.0,83.5,免费评估
30,巴斯斯巴大学Bath Spa University,107.0,4.03,2.15,60.0,83.3,免费评估
31,奇切斯特大学University of Chichester,,3.91,,65.0,82.9,免费评估
32,伍尔弗汉普顿大学University of Wolverhampton,97.0,4.13,,,82.0,免费评估
33,利兹圣三一大学Leeds Trinity University,,3.89,,60.0,81.7,免费评估
