Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,卡迪夫大学Cardiff University,181,91,3.42,96.0,100.0,免费评估
2,南安普顿大学University of Southampton,156,72,3.47,96.0,95.9,免费评估
3,布拉德福德大学University of Bradford,144,89,3.22,94.0,91.7,免费评估
4,利物浦大学The University of Liverpool,134,83,3.04,96.0,91.5,免费评估
5,普利茅斯大学University of Plymouth,153,88,2.58,94.0,91.2,免费评估
6,牛津布鲁克斯大学Oxford Brookes University,133,92,2.96,98.0,90.7,免费评估
7,哈德斯菲尔德大学University of Huddersfield,137,95,2.85,,90.7,免费评估
8,伯恩茅斯大学Bournemouth University,160,82,2.56,92.0,90.6,免费评估
9,玛格丽特女王大学Queen Margaret University,163,84,2.41,90.0,89.7,免费评估
10,考文垂大学Coventry University,133,85,3.14,92.0,88.4,免费评估
11,"Northumbria University, Newcastle",147,75,3.12,88.0,88.4,免费评估
12,北安普顿大学The University of Northampton,126,83,2.14,96.0,88.1,免费评估
13,伍斯特大学University of Worcester,152,82,2.0,92.0,87.7,免费评估
14,University of East Anglia UEA,147,85,,96.0,87.6,免费评估
15,德比大学University of Derby,139,88,,98.0,87.3,免费评估
16,"Bristol, University of the West of England",122,82,3.06,94.0,87.2,免费评估
17,索尔福德大学University of Salford,135,95,2.63,90.0,87.2,免费评估
18,伦敦南岸大学London South Bank University,120,87,2.67,94.0,87.1,免费评估
19,谢菲尔德哈莱姆大学Sheffield Hallam University,125,93,2.81,92.0,86.8,免费评估
20,"Kingston/St George's, University of London",142,65,2.82,,86.6,免费评估
21,布鲁内尔大学Brunel University,125,63,2.63,94.0,86.2,免费评估
22,罗伯特高登大学The Robert Gordon University,153,96,,88.0,86.1,免费评估
23,哥比亚大学University of Cumbria,131,76,2.5,94.0,85.9,免费评估
24,坎特伯雷大学Canterbury Christ Church University,122,72,2.56,96.0,85.4,免费评估
25,"Glyndwr University, Wrexham",124,96,,96.0,84.9,免费评估
26,阿尔斯特大学University of Ulster,140,59,3.04,80.0,83.4,免费评估
27,约克圣约翰大学York St John University,113,82,2.13,92.0,81.9,免费评估
28,"Teesside University, Middlesbrough",119,85,2.77,84.0,81.7,免费评估
29,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,141,78,3.11,70.0,80.1,免费评估
30,埃塞克斯大学University of Essex,106,78,,,76.2,免费评估
