Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,206,,3.2,90.0,100.0,免费评估
2,牛津大学University of Oxford,194,,2.88,80.0,95.3,免费评估
3,兰卡斯特大学Lancaster University,159,4.25,3.14,80.0,92.7,免费评估
4,曼彻斯特大学The University of Manchester,161,3.98,3.16,80.0,91.9,免费评估
5,阿伯丁大学University of Aberdeen,162,4.03,3.24,,91.8,免费评估
6,"King's College London, University of London",169,3.92,3.42,70.0,90.8,免费评估
7,华威大学The University of Warwick,141,4.21,3.09,,90.4,免费评估
8,谢菲尔德大学The University of Sheffield,150,4.03,3.2,75.0,90.4,免费评估
9,肯特大学University of Kent,120,4.07,3.24,80.0,89.6,免费评估
10,爱丁堡大学The University of Edinburgh,184,3.82,3.29,55.0,89.5,免费评估
11,伦敦大学学院University College London,160,4.08,3.0,65.0,89.4,免费评估
12,卡迪夫大学Cardiff University,136,4.16,3.27,,89.3,免费评估
13,纽卡斯尔大学Newcastle University,148,4.13,3.04,70.0,89.2,免费评估
14,伦敦大学玛丽女王学院Queen Mary University of London,136,3.84,3.58,70.0,89.1,免费评估
15,约克大学The University of York,145,4.03,3.16,70.0,88.7,免费评估
16,利兹大学University of Leeds,154,4.24,2.91,65.0,88.6,免费评估
17,埃塞克斯大学University of Essex,111,3.84,3.2,80.0,87.6,免费评估
18,中央兰开夏大学University of Central Lancashire,124,4.18,2.78,80.0,87.5,免费评估
19,曼彻斯特城市大学Manchester Metropolitan University,114,4.21,3.07,70.0,87.0,免费评估
20,雷丁大学University of Reading,133,3.76,3.04,,85.6,免费评估
21,诺丁汉特伦特大学Nottingham Trent University,116,4.2,2.81,70.0,85.2,免费评估
22,罗汉普顿大学Roehampton University,96,4.08,2.72,75.0,85.1,免费评估
23,班戈大学Bangor University,108,4.13,3.13,55.0,84.7,免费评估
24,布莱顿大学University of Brighton,103,4.14,2.9,,83.6,免费评估
25,"Bristol, University of the West of England",107,4.19,2.43,65.0,82.9,免费评估
26,"University of Westminster, London",103,4.05,3.11,50.0,82.7,免费评估
27,伍尔弗汉普顿大学University of Wolverhampton,99,3.93,2.46,70.0,82.5,免费评估
28,约克圣约翰大学York St John University,101,4.12,2.14,60.0,80.5,免费评估
29,阿尔斯特大学University of Ulster,122,3.68,2.42,35.0,78.8,免费评估
